 	grande	brousse	qui	pousse	après	la	plantation	</S>
a25	0.110812	0.141138	0.160799	0.171675	0.14004	0.111511	0.0879466	0.0760786
a38	0.0356107	0.0501351	0.0696535	0.155328	0.220698	0.18343	0.149485	0.135659
a76	0.0426288	0.0625868	0.0835975	0.157383	0.185804	0.160385	0.154382	0.153233
a73	0.0903992	0.109962	0.11811	0.154357	0.142379	0.124374	0.127076	0.133342
a76	0.047309	0.0630273	0.0725418	0.112983	0.154661	0.163057	0.180145	0.206277
a94	0.0689037	0.0872862	0.0873239	0.0970159	0.131847	0.151012	0.174885	0.201727
a90	0.0388654	0.0437841	0.0516839	0.070103	0.120147	0.185995	0.228384	0.261038
a76	0.0537634	0.0571737	0.06148	0.0762067	0.113149	0.167749	0.213653	0.256825
a94	0.080549	0.0645979	0.0589981	0.0650744	0.090943	0.151065	0.215518	0.273254
a35	0.0305376	0.0218748	0.0220684	0.034097	0.0668418	0.145557	0.269831	0.409192
a90	0.0198669	0.0154803	0.0153088	0.0243595	0.0562539	0.130883	0.269888	0.467959
a76	0.0374522	0.0268373	0.0247232	0.0336441	0.0697278	0.144546	0.257991	0.405079
a20	0.0344842	0.02275	0.0186932	0.0249212	0.0547676	0.124059	0.263993	0.456332
a84	0.063345	0.0502171	0.0359548	0.0407879	0.0769174	0.137219	0.229762	0.365797
a87	0.0475702	0.0273418	0.0191958	0.0275742	0.0488226	0.105985	0.253698	0.469812
a23	0.0338794	0.0282446	0.0173203	0.0173209	0.0355492	0.110023	0.293681	0.463981
a87	0.0510857	0.047749	0.0361462	0.0420055	0.0932048	0.201407	0.259661	0.268741
a23	0.0296006	0.0252589	0.0161891	0.0202888	0.0592575	0.156358	0.289598	0.403448
a10	0.0574522	0.0537718	0.0416623	0.0434774	0.104678	0.203106	0.232074	0.263778
a11	0.00569239	0.0047335	0.00475168	0.0153876	0.0601563	0.153929	0.319824	0.435525
a54	0.00715032	0.00768541	0.00780897	0.0191594	0.0542556	0.130085	0.305091	0.468764
a35	0.0124818	0.0124498	0.0134871	0.0315096	0.0826566	0.165296	0.284034	0.398085
a90	0.00554817	0.00640041	0.0081699	0.021219	0.063458	0.144584	0.312491	0.43813
a76	0.00327588	0.00386201	0.00500409	0.0112349	0.0366362	0.112688	0.301088	0.526211
a94	0.0118489	0.0115819	0.0122828	0.0202004	0.045986	0.122419	0.301864	0.473816
a35	0.00180005	0.00179392	0.00237957	0.0067964	0.0206568	0.0709242	0.261892	0.633757
a75	0.00442882	0.0030456	0.00346339	0.00831732	0.0234327	0.0748858	0.267597	0.614829
a14	0.00801134	0.00643992	0.00716149	0.0134827	0.0304697	0.0819489	0.251712	0.600774
a41	0.00413082	0.00317358	0.00360962	0.00850434	0.0235102	0.0768125	0.266335	0.613923
a2	0.00678206	0.00446101	0.00445676	0.00949417	0.0262484	0.0887861	0.276247	0.583524
a40	0.00347413	0.0026964	0.00217566	0.00467676	0.0160151	0.0645855	0.250417	0.655959
a75	0.00907922	0.00511108	0.00423875	0.00891905	0.0230479	0.0742507	0.266055	0.609298
a14	0.018229	0.012263	0.00839345	0.0110045	0.0222889	0.0710359	0.242688	0.614098
a56	0.00680499	0.00472715	0.00388477	0.00796138	0.0223207	0.0719321	0.252488	0.629881
a54	0.00422735	0.00287547	0.00240786	0.00581155	0.0182963	0.0634277	0.244219	0.658734
a30	0.00766291	0.00536538	0.00432399	0.00927078	0.0231271	0.0666427	0.236196	0.647411
a57	0.00951369	0.00661938	0.00472129	0.0103897	0.0298997	0.0914148	0.27102	0.576421
a87	0.0385	0.0299948	0.0187685	0.0223841	0.0439806	0.116131	0.255835	0.474407
</S>	0.0258936	0.0232777	0.0150056	0.0184764	0.0475714	0.140684	0.26451	0.464582
