 	akumé	n'	arrive	plus	à	marcher	à	cause	des	chiques	qui	l'	ont	infecté	</S>
a5	0.148546	0.141321	0.179383	0.161318	0.104229	0.089113	0.053742	0.0323076	0.018083	0.0121114	0.00997646	0.00978893	0.0114905	0.0134132	0.0151777
a23	0.135725	0.125226	0.158944	0.150165	0.109173	0.092405	0.0670218	0.0463076	0.0246237	0.012454	0.0100982	0.0111138	0.015208	0.0196436	0.0218909
a40	0.0803463	0.103438	0.146815	0.155179	0.132414	0.118443	0.076108	0.0463512	0.0263303	0.0159481	0.0128716	0.0140963	0.0182879	0.0234991	0.0298715
a47	0.0813368	0.105771	0.147059	0.155472	0.123223	0.117873	0.0845665	0.0567752	0.0301657	0.0156126	0.0127268	0.0128921	0.0153596	0.0189364	0.0222311
a92	0.057866	0.0855219	0.124105	0.147272	0.132295	0.127718	0.0928454	0.0616552	0.0369587	0.0220204	0.0176531	0.0177373	0.0208353	0.0249632	0.0305537
a37	0.0520818	0.0716241	0.101403	0.12673	0.121576	0.119958	0.099783	0.0760512	0.0550542	0.0321597	0.0247942	0.0233656	0.0268274	0.0316106	0.0369814
a25	0.0223592	0.046953	0.0784248	0.123937	0.141964	0.154507	0.126435	0.0890512	0.0502217	0.0302237	0.0237154	0.0216271	0.024345	0.0265384	0.0396978
a92	0.0157553	0.044036	0.0865564	0.140146	0.159013	0.153837	0.1166	0.0777485	0.0487259	0.0282834	0.0225411	0.0180224	0.0203623	0.0273004	0.0410727
a37	0.00856405	0.0188426	0.0352015	0.0793857	0.130917	0.14512	0.141122	0.104518	0.0697828	0.044271	0.0359047	0.0334588	0.0383213	0.045518	0.0690727
a98	0.00885296	0.0174591	0.0304371	0.0648981	0.115918	0.140935	0.146154	0.109989	0.0717027	0.0471446	0.0361693	0.0341531	0.0415145	0.0511379	0.0835349
a85	0.00725662	0.0163149	0.0335166	0.0739139	0.128997	0.137993	0.134916	0.0971503	0.0786612	0.0638932	0.0443008	0.035218	0.0350208	0.0437306	0.0691162
a47	0.00714404	0.0163814	0.0305909	0.061559	0.115297	0.127733	0.136648	0.107474	0.0935623	0.0786046	0.0515455	0.0400306	0.0339319	0.0392725	0.0602258
a36	0.00589923	0.0114067	0.0220919	0.049972	0.0937351	0.103806	0.119824	0.0981228	0.0975709	0.0839647	0.0501457	0.0418636	0.0445691	0.0642366	0.112791
a2	0.00395456	0.00739781	0.0125284	0.0297701	0.0771707	0.0979762	0.129682	0.104398	0.0830949	0.0661203	0.0440171	0.0455544	0.0569743	0.0857294	0.155632
a26	0.0132411	0.0183962	0.0239237	0.0357766	0.0761752	0.0967283	0.129411	0.11829	0.0864133	0.0654781	0.0449157	0.0468605	0.0528303	0.0812118	0.110349
a83	0.016208	0.0222059	0.0305302	0.040321	0.065784	0.076899	0.103648	0.104883	0.0840578	0.0721457	0.0542809	0.0608589	0.0659369	0.0978629	0.104378
a21	0.0142616	0.014563	0.0165955	0.0224989	0.0414476	0.0532467	0.0863817	0.0974837	0.0900572	0.0867835	0.0684548	0.074696	0.0832573	0.120493	0.129779
a5	0.00342414	0.00327418	0.00397989	0.00720085	0.0189366	0.0267509	0.0494508	0.0598505	0.0718159	0.0837387	0.0854635	0.12998	0.152149	0.137636	0.16635
a12	0.00249441	0.00317232	0.00473475	0.00901723	0.0228182	0.0315309	0.0551047	0.0658965	0.0719783	0.0863608	0.0847916	0.132718	0.141831	0.133013	0.154538
a18	0.00270642	0.00361048	0.00579222	0.0108124	0.0254075	0.0326516	0.0462246	0.0508541	0.0546851	0.0714861	0.0691462	0.115583	0.153361	0.175138	0.182542
a11	0.00407999	0.00639672	0.0088248	0.0123279	0.0218433	0.0199548	0.0242706	0.0236923	0.0253172	0.0394644	0.0455066	0.0806933	0.118213	0.224883	0.344533
a88	0.00415116	0.00533906	0.00724313	0.0102379	0.0189899	0.0175362	0.0227463	0.0235384	0.0257175	0.0380065	0.0462126	0.0820939	0.123061	0.224547	0.350579
a62	0.00250988	0.0034194	0.00473828	0.00757375	0.0159647	0.0146502	0.0160884	0.0145071	0.0178085	0.0321505	0.0391513	0.0821668	0.118501	0.210695	0.420075
a96	0.00137881	0.00215865	0.0037898	0.00665783	0.0135746	0.0133285	0.0152706	0.0156595	0.0199566	0.0350299	0.0453279	0.107045	0.164049	0.239692	0.317082
a98	0.00103867	0.00186088	0.00334718	0.00592242	0.0125554	0.0118439	0.0131252	0.0129336	0.0166846	0.0309034	0.0389749	0.0927465	0.149932	0.242328	0.365803
a47	0.000202744	0.000380877	0.000714388	0.00167777	0.00493712	0.00635865	0.00953089	0.0111999	0.0185209	0.0328717	0.0378728	0.0882223	0.164554	0.262186	0.360769
a36	0.000150171	0.000248724	0.000414137	0.00100708	0.0035967	0.00504736	0.00663958	0.00635008	0.0100196	0.0233431	0.0272916	0.0724406	0.137426	0.236056	0.469969
a85	0.0113425	0.0114264	0.0109696	0.0116947	0.0200189	0.0161813	0.0171189	0.0170264	0.0312636	0.0599846	0.0634029	0.100068	0.122267	0.186694	0.320541
a37	0.00143831	0.00194059	0.00284071	0.00444636	0.0104854	0.00947005	0.00882434	0.0074757	0.0128024	0.0264053	0.0340274	0.0744745	0.132597	0.239801	0.432971
a26	0.00212057	0.0033332	0.00416499	0.00593487	0.0115916	0.00924172	0.00984022	0.0085145	0.0165817	0.0384561	0.0481307	0.0892967	0.128178	0.194998	0.429618
a57	0.0360479	0.0428015	0.0424977	0.0381998	0.0440424	0.0287663	0.0289079	0.0253631	0.0360865	0.0618661	0.0542929	0.0681407	0.0802028	0.142703	0.270082
a87	0.0678602	0.037717	0.0289773	0.0254662	0.0276012	0.0276482	0.0323556	0.0380586	0.0391628	0.053012	0.0588921	0.0688144	0.0872894	0.155449	0.251696
a23	0.0479901	0.0250696	0.0172824	0.0175451	0.0242571	0.0321699	0.0463272	0.0581334	0.0548144	0.0721994	0.0824699	0.0869618	0.101202	0.137199	0.196378
a99	0.0101734	0.00558273	0.00459548	0.00492246	0.00854206	0.00898448	0.0121463	0.0134182	0.0161165	0.0215998	0.0404744	0.0841735	0.177061	0.25344	0.33877
a97	0.00589444	0.00384519	0.00400107	0.00553475	0.0110281	0.0120886	0.0132246	0.0123219	0.0138461	0.0193759	0.0359786	0.0723708	0.159019	0.274043	0.357428
</S>	0.00308589	0.00215136	0.00256611	0.00439248	0.00892018	0.0109616	0.0103057	0.0079868	0.00680522	0.00951171	0.0167232	0.0348864	0.102269	0.264196	0.515239
