 	le	vent	a	emporté	la	toiture	de	la	maison	du	cultivateur	</S>
a12	0.00320868	0.00275735	0.00443454	0.00758068	0.0217854	0.0562926	0.11402	0.125916	0.125908	0.124478	0.148779	0.264839
a56	0.00305779	0.00269316	0.00391123	0.00666149	0.0165904	0.0395132	0.088942	0.110858	0.117932	0.132897	0.182534	0.29441
a69	0.00240912	0.00227801	0.00353292	0.0065548	0.0155646	0.0357465	0.0838408	0.10572	0.11099	0.130485	0.190555	0.312324
a44	0.00173704	0.0017475	0.00273932	0.00669657	0.0160075	0.0421116	0.100527	0.122525	0.126236	0.138989	0.172296	0.268387
a58	0.00104725	0.000964726	0.0015202	0.00322392	0.00792329	0.0219769	0.0644864	0.0887422	0.109159	0.151006	0.205935	0.344015
a11	0.000540669	0.000457999	0.000696581	0.00119564	0.00315562	0.00856292	0.0268123	0.0397673	0.0646398	0.127097	0.246398	0.480677
a12	0.000584069	0.000507927	0.000687263	0.00118734	0.00286339	0.00724255	0.0233125	0.0377696	0.0659243	0.13459	0.263569	0.461762
a18	0.000678868	0.000634746	0.000794145	0.00115545	0.00213557	0.00467611	0.0146593	0.0251826	0.0456734	0.111678	0.279575	0.513157
a13	0.000690005	0.000598506	0.000869836	0.00127956	0.0022934	0.00415186	0.0101567	0.015737	0.0311932	0.0900281	0.289703	0.553299
a57	0.000772745	0.00057991	0.000673416	0.000753808	0.00128092	0.00267874	0.00796514	0.0135857	0.0281231	0.0931561	0.319139	0.531292
a3	0.00389798	0.00224093	0.00209267	0.00192069	0.00273185	0.0048613	0.0114908	0.0176338	0.030508	0.0977488	0.308445	0.516428
a87	0.0949712	0.0405602	0.0209845	0.0170039	0.016837	0.0204009	0.0349703	0.0482495	0.068691	0.134603	0.236751	0.265978
a23	0.196993	0.12252	0.0536742	0.0419919	0.036584	0.0468	0.0626412	0.077264	0.0840462	0.0941458	0.094053	0.0892873
a87	0.210743	0.116552	0.0559419	0.025582	0.0202924	0.0284395	0.049268	0.051303	0.0692354	0.0752232	0.101732	0.195688
</S>	0.0946721	0.0685474	0.036682	0.0225422	0.0227063	0.0252645	0.0451657	0.051915	0.069277	0.0861471	0.131318	0.345762
