 	autant	hier	j'	étais	heureux	autant	je	suis	triste	aujourd'	hui	</S>
a75	0.0550014	0.104388	0.132987	0.167802	0.15101	0.0931855	0.0878393	0.0649784	0.0383898	0.0309856	0.036537	0.0368958
a56	0.0306832	0.0690346	0.0981559	0.13491	0.169747	0.109214	0.0954475	0.0632078	0.0465124	0.0520326	0.0671555	0.0638996
a32	0.0477782	0.0980886	0.123528	0.143688	0.155231	0.119251	0.0984394	0.0725023	0.0408308	0.030642	0.0338316	0.036189
a75	0.051996	0.0751772	0.0972366	0.114848	0.146308	0.118143	0.120635	0.0958688	0.0514834	0.0362999	0.0424332	0.0495704
a98	0.0423213	0.080101	0.0973638	0.11458	0.133387	0.0980556	0.0905237	0.0618095	0.0451755	0.0598801	0.0874528	0.0893499
a73	0.0408837	0.0777512	0.0967422	0.111342	0.118019	0.115811	0.102455	0.0707003	0.0474953	0.0571197	0.0768076	0.0848735
a84	0.0309804	0.0579365	0.0762331	0.0956324	0.120499	0.124088	0.115091	0.0828505	0.0539535	0.0627215	0.0856971	0.0943172
a53	0.0163573	0.0317578	0.050895	0.0820169	0.162059	0.133089	0.150454	0.0960634	0.0740967	0.0577313	0.0674165	0.0780634
a69	0.0207839	0.0319714	0.0464913	0.0614107	0.086992	0.107818	0.124817	0.0905144	0.0772777	0.0936131	0.122724	0.135586
a20	0.0291632	0.0485914	0.0587004	0.0758367	0.0795044	0.102818	0.109653	0.0814749	0.0615245	0.0824293	0.125616	0.144688
a84	0.0269465	0.043429	0.0478363	0.0680097	0.066923	0.0938848	0.114766	0.0885157	0.0700817	0.0920292	0.13387	0.153708
a87	0.0194648	0.0281646	0.0361725	0.0584335	0.0932494	0.0814609	0.125277	0.100301	0.0935945	0.0941414	0.117476	0.152264
a23	0.0133261	0.0144213	0.0187033	0.0232919	0.0494007	0.0574352	0.0834492	0.0638866	0.0734654	0.11937	0.170459	0.312791
a20	0.0144441	0.0140556	0.0163271	0.0207386	0.0380709	0.0411073	0.0596815	0.0514838	0.0571245	0.114096	0.17253	0.400341
a44	0.0431148	0.0641915	0.0828485	0.0916154	0.11255	0.108068	0.0857192	0.0585097	0.0352288	0.0409953	0.0750283	0.20213
a56	0.0290884	0.0422448	0.0570397	0.078246	0.132611	0.105349	0.117546	0.088844	0.0560018	0.0504623	0.0752742	0.167293
a66	0.0433024	0.0573746	0.074092	0.089968	0.113081	0.099343	0.117479	0.0956908	0.0571441	0.0480843	0.0680272	0.136414
a38	0.0136833	0.0171337	0.0224284	0.0382071	0.0792666	0.0758632	0.124013	0.113137	0.104225	0.0962738	0.110297	0.205473
a11	0.0195363	0.0229455	0.0297002	0.044055	0.0708269	0.0879886	0.122624	0.113777	0.101315	0.0908058	0.105989	0.190436
a56	0.0142638	0.0180261	0.0240423	0.0388011	0.0696485	0.072755	0.112769	0.106005	0.10478	0.105064	0.117461	0.216384
a54	0.0223836	0.0303082	0.0377638	0.0531076	0.0786204	0.0942723	0.120871	0.119329	0.10191	0.0849384	0.0939702	0.162526
a41	0.023819	0.0375964	0.0409337	0.0638603	0.080065	0.0899508	0.106474	0.0894497	0.0730796	0.0757626	0.112153	0.206856
a56	0.0240416	0.0419374	0.0503233	0.076103	0.107706	0.104963	0.123241	0.0886858	0.0690145	0.0612782	0.0925995	0.160107
a70	0.0127375	0.0211169	0.0266939	0.0435154	0.0807403	0.0662444	0.0974983	0.0825302	0.0993046	0.105239	0.130704	0.233675
a93	0.0110626	0.0172942	0.0213737	0.0349516	0.0640229	0.0539011	0.08049	0.073442	0.105451	0.127331	0.144215	0.266465
a90	0.0102271	0.0173844	0.0226268	0.0368723	0.0616609	0.0697617	0.096036	0.0835388	0.110476	0.125074	0.140289	0.226053
a93	0.00860142	0.0136219	0.0181435	0.0308124	0.0541998	0.0723951	0.0952071	0.0842308	0.115022	0.127939	0.143288	0.236539
a70	0.0077425	0.0114121	0.0146983	0.0232708	0.0419918	0.0510624	0.0750886	0.0701899	0.118792	0.159349	0.158912	0.267491
a54	0.00465085	0.00642444	0.00803714	0.0124884	0.0271533	0.0250164	0.0450092	0.044269	0.0952112	0.182577	0.192005	0.357158
a73	0.0055245	0.00827863	0.00979169	0.0178773	0.0342535	0.039514	0.058121	0.0557927	0.0983188	0.151491	0.169201	0.351836
a44	0.00827563	0.0127981	0.014824	0.0253682	0.0418354	0.0458339	0.0634494	0.0576628	0.0804881	0.118265	0.157858	0.373341
a15	0.0067884	0.0111412	0.0132816	0.0233782	0.0416405	0.0402021	0.0605399	0.054543	0.0865335	0.134793	0.167056	0.360103
a73	0.0071038	0.0112457	0.01404	0.0253385	0.0457494	0.0386699	0.0569224	0.0478101	0.0738467	0.123536	0.17669	0.379047
a69	0.00522383	0.00828386	0.0104286	0.0191681	0.038713	0.0293754	0.0451547	0.0337121	0.0565374	0.122299	0.186268	0.444836
a58	0.00744059	0.0132156	0.0168247	0.0291944	0.0495362	0.0450538	0.0570049	0.0498627	0.0763104	0.133077	0.16697	0.35551
a53	0.00163908	0.00258639	0.00335922	0.00539235	0.0134581	0.00915749	0.0159868	0.0133673	0.0315562	0.131879	0.221372	0.550246
a4	0.00233107	0.00363627	0.00488752	0.00786168	0.0180694	0.0203098	0.0310864	0.0302052	0.0661517	0.171628	0.202111	0.441722
a57	0.00414382	0.0054866	0.00604309	0.00862317	0.0191126	0.0170458	0.0286224	0.0314847	0.0652285	0.159342	0.192763	0.462104
a9	0.00159379	0.00217205	0.00277346	0.00435587	0.0115132	0.00875184	0.0156087	0.0136678	0.0371923	0.140503	0.230019	0.531848
a87	0.00110334	0.00164646	0.00250734	0.0034987	0.00761986	0.00733261	0.0125965	0.0104513	0.0314306	0.149684	0.250782	0.521348
</S>	0.00261363	0.00251058	0.00381701	0.00419106	0.0083954	0.0114704	0.0237944	0.0219609	0.0543947	0.176688	0.249812	0.440352
