 	mon	cadet	est	jaloux	de	moi	parce	que	notre	père	m'	a	donné	de	l'	argent	et	lui	en	a	refusé	</S>
a92	0.032159	0.0452548	0.0767264	0.086372	0.0961305	0.0831636	0.0772967	0.0672311	0.0589891	0.050465	0.0456298	0.0383024	0.0329341	0.0318677	0.0310317	0.0259943	0.0214991	0.0177564	0.0159991	0.015913	0.0207342	0.02855
a85	0.0197353	0.0220044	0.0414974	0.0501568	0.0692269	0.0782332	0.0807473	0.0792876	0.0780511	0.0739306	0.0682159	0.0592932	0.0512879	0.0486979	0.0455058	0.0341447	0.0248061	0.0157947	0.0114172	0.0102182	0.0146401	0.0231078
a73	0.0205048	0.0230207	0.0408646	0.051347	0.0613947	0.066528	0.0634126	0.0633503	0.0641109	0.0629493	0.057755	0.0564942	0.053495	0.0540995	0.055132	0.0484982	0.0358757	0.0248352	0.0179746	0.0165795	0.0242916	0.0374865
a69	0.00639763	0.00690242	0.0144541	0.0307725	0.0529061	0.0714573	0.0751298	0.0790688	0.0828801	0.0725424	0.0614969	0.0569498	0.0536131	0.0552789	0.0558702	0.0476925	0.0387575	0.0263484	0.0206072	0.0186562	0.0280557	0.0441624
a15	0.00519304	0.00529423	0.00763604	0.010133	0.0202599	0.039269	0.0497437	0.0691521	0.0898765	0.0900304	0.0852163	0.084783	0.0793058	0.081565	0.0759362	0.0576279	0.042463	0.0213077	0.0144113	0.0124332	0.0215958	0.0367669
a79	0.00738829	0.00810973	0.0100803	0.0136505	0.0237922	0.0442788	0.0499163	0.0618983	0.0748875	0.0734672	0.0667753	0.0696269	0.0689107	0.0785806	0.0832816	0.076079	0.0575896	0.03174	0.0192719	0.0151793	0.0245962	0.0408998
a94	0.00580608	0.00569814	0.00774684	0.0103806	0.0197144	0.043577	0.0546888	0.0713188	0.0905847	0.0866958	0.0743086	0.0753016	0.0718114	0.0766041	0.0771989	0.0654226	0.0482229	0.0244417	0.0148533	0.0125655	0.0226246	0.0404335
a75	0.00267482	0.00291416	0.00470131	0.00659909	0.0122734	0.0274871	0.044335	0.0628902	0.0807349	0.0732147	0.0683386	0.0687647	0.069557	0.079094	0.0797694	0.0665784	0.0526106	0.0299157	0.0230331	0.0233437	0.0450033	0.0761667
a66	0.00738333	0.00717096	0.00728721	0.0072225	0.010603	0.022094	0.031169	0.0473563	0.0706323	0.073039	0.0672442	0.0734941	0.0758499	0.0924168	0.101263	0.0891595	0.0718919	0.0344035	0.0205641	0.0162803	0.0270429	0.0464321
a9	0.00319969	0.0032031	0.00545835	0.00844592	0.0144034	0.0238576	0.0407702	0.0599306	0.0767837	0.068598	0.068947	0.0698537	0.0747996	0.0886025	0.0891728	0.0746419	0.0577279	0.0304857	0.0217148	0.0210635	0.0382694	0.0600707
a57	0.00389695	0.00330521	0.00527086	0.00977849	0.016857	0.0256451	0.0411541	0.0625457	0.0913253	0.0892539	0.100207	0.0921845	0.0822156	0.0856583	0.0743411	0.0500435	0.0364805	0.0173505	0.0128119	0.0136868	0.0322015	0.0537856
a4	0.00413528	0.00239792	0.00313306	0.00465634	0.00836159	0.0168301	0.0323063	0.0546901	0.0886052	0.100894	0.127893	0.124943	0.10947	0.0983382	0.0748311	0.039639	0.0271584	0.0140506	0.00998742	0.0102233	0.0185606	0.0288958
a57	0.00470167	0.0032822	0.00409821	0.00644899	0.011199	0.018506	0.0270498	0.0409389	0.0545241	0.055395	0.0645137	0.074265	0.0849118	0.0987858	0.0916996	0.0720314	0.0627437	0.037538	0.0287563	0.0296547	0.0492535	0.0797025
a9	0.00113603	0.000834748	0.00132229	0.00284907	0.00789998	0.0206307	0.0390277	0.0638663	0.0818852	0.0772903	0.0879253	0.0884689	0.0891146	0.0919337	0.0823566	0.0595946	0.0475351	0.0247785	0.0163856	0.0169075	0.0366064	0.0616508
a99	0.00182109	0.00118374	0.00187667	0.00317503	0.0060483	0.0138022	0.0294044	0.052359	0.0849558	0.0977242	0.125015	0.126249	0.11239	0.101768	0.0777322	0.0464147	0.0317825	0.0161936	0.0105373	0.0102278	0.0198073	0.0295325
a87	0.00419764	0.0025378	0.00369612	0.00552597	0.00890007	0.0165334	0.0322582	0.049291	0.0741215	0.083102	0.104803	0.108122	0.101883	0.0955863	0.0773266	0.0512762	0.0397054	0.0243912	0.0172982	0.0180226	0.0327727	0.0486487
a97	0.0155861	0.00925297	0.0150518	0.0287068	0.0385987	0.0453172	0.0447531	0.0438336	0.0483494	0.0532341	0.0655158	0.067014	0.0643974	0.0590089	0.0515064	0.0424936	0.0400844	0.0438485	0.0404492	0.0482079	0.0637461	0.0710442
a62	0.0234912	0.0133338	0.0228911	0.0479079	0.0528364	0.0428216	0.0395783	0.0353926	0.0372396	0.0415312	0.0522665	0.0544306	0.0543938	0.0505297	0.0451131	0.0366711	0.0335376	0.0391787	0.0418983	0.0612152	0.0821804	0.0915614
a75	0.00171689	0.00116716	0.00196551	0.00484579	0.0113464	0.0163568	0.0230424	0.0298397	0.0344835	0.0368391	0.0412443	0.0403766	0.0428818	0.0412663	0.0368951	0.0306216	0.031519	0.0361745	0.0457365	0.0738351	0.160415	0.25743
a5	0.00352284	0.00284463	0.00409921	0.0090429	0.0183368	0.033371	0.0438729	0.0571162	0.0676312	0.0743359	0.0764873	0.0709981	0.0657232	0.0592386	0.0513851	0.0381068	0.0354961	0.0315793	0.0303123	0.0370261	0.0711698	0.118304
a18	0.00849057	0.00684356	0.00899836	0.0159271	0.0253672	0.0474332	0.0594815	0.0736643	0.0831752	0.0819818	0.0817248	0.0776297	0.0730502	0.0669019	0.0595166	0.0434503	0.0353032	0.0262938	0.021167	0.0220413	0.0341101	0.0474483
a9	0.00114483	0.00094706	0.00180533	0.0033913	0.00691158	0.015104	0.0296624	0.0477383	0.0703114	0.084427	0.0976541	0.0937353	0.0922028	0.0876814	0.076222	0.0542516	0.0492731	0.0367199	0.0262114	0.0240932	0.0405337	0.0599785
a75	0.0013342	0.000905011	0.00186148	0.00388264	0.00772101	0.0153948	0.0287509	0.046529	0.063248	0.0724221	0.0934321	0.0938035	0.0937887	0.0923088	0.0809861	0.0621119	0.0547437	0.0419969	0.0299607	0.0278333	0.0394651	0.0475202
a47	0.00822522	0.00632082	0.00806123	0.0107905	0.0129048	0.0223575	0.0310623	0.0449651	0.0614433	0.0615886	0.0596944	0.0590305	0.0573889	0.0603007	0.0598259	0.0534874	0.0500107	0.0415079	0.0376756	0.0447	0.0823022	0.126356
a7	0.00403704	0.00325093	0.00397036	0.0061971	0.00923299	0.0222793	0.0339025	0.0562301	0.0827557	0.0935607	0.0948929	0.0952185	0.0859872	0.0767078	0.0652208	0.0447715	0.0354476	0.0227765	0.0183186	0.0211109	0.044959	0.079172
a26	0.00145989	0.00119249	0.00182762	0.00275403	0.00524839	0.0124823	0.0224935	0.0425777	0.0687992	0.0718389	0.078136	0.0826782	0.0848023	0.0953885	0.0893711	0.0675109	0.056962	0.0302373	0.0224557	0.0250775	0.0530549	0.0836517
a57	0.00151043	0.00101006	0.00156041	0.00295583	0.00510189	0.00863422	0.0166896	0.033548	0.0582032	0.0701923	0.0935117	0.10064	0.0982359	0.100019	0.0828494	0.0569489	0.0464738	0.0263773	0.02043	0.0255178	0.0589347	0.0906558
a75	0.00577906	0.00314035	0.00484448	0.00773297	0.00966715	0.0151393	0.0236678	0.0324553	0.0457651	0.0550948	0.0757206	0.0848632	0.085086	0.0902615	0.0830444	0.0640034	0.0557655	0.0452701	0.0371272	0.0425645	0.0583641	0.0746435
a5	0.00442624	0.00305013	0.00409993	0.00468778	0.00527368	0.00804376	0.0121134	0.0179017	0.0277878	0.029844	0.0315342	0.0335447	0.0353966	0.0413772	0.0418554	0.0385244	0.0412536	0.0399205	0.0455612	0.0804769	0.17614	0.277187
a96	0.00594341	0.00495855	0.00618261	0.00890745	0.00961652	0.018194	0.0250595	0.0363493	0.0529196	0.0528859	0.0542393	0.0557721	0.0520193	0.056416	0.0584855	0.0533322	0.0502166	0.0454058	0.0494469	0.0668538	0.10575	0.131046
a75	0.00176701	0.00152125	0.00224607	0.00328242	0.00421329	0.00880264	0.0148725	0.0252066	0.0451453	0.0504263	0.0530069	0.0539958	0.0504183	0.0587924	0.0635334	0.0559352	0.0565475	0.0501145	0.0579659	0.0790746	0.120503	0.14263
a73	0.00336845	0.00296229	0.00350432	0.00455029	0.00536586	0.0115083	0.0174842	0.0290541	0.0471422	0.048393	0.0477589	0.0482774	0.0468503	0.0527314	0.0557095	0.0504209	0.053644	0.0479391	0.0573025	0.0807426	0.130119	0.155172
a44	0.00152284	0.00131131	0.00163913	0.00181209	0.00227227	0.00476031	0.00852119	0.0164603	0.0324198	0.038891	0.0401322	0.0419158	0.041777	0.0493511	0.0530558	0.0445804	0.0520046	0.0430413	0.0577662	0.092221	0.166505	0.208039
a13	0.00101702	0.000800114	0.00109565	0.00122577	0.00178557	0.00354312	0.00608056	0.0123721	0.0262663	0.0334129	0.0364709	0.0385399	0.0381739	0.0453347	0.0475902	0.0385391	0.0451512	0.0340953	0.0461361	0.0832236	0.195337	0.263809
a90	0.00103451	0.000742526	0.00111019	0.00146585	0.0024366	0.00422144	0.00630421	0.0118204	0.0218834	0.0271996	0.0342085	0.0368202	0.0387381	0.0455228	0.0446869	0.0340875	0.0380912	0.0268322	0.0359074	0.0744555	0.212699	0.299733
a94	0.00115297	0.000989191	0.00138382	0.00164441	0.00213209	0.00359506	0.00593273	0.011082	0.02103	0.0254208	0.0263583	0.0289906	0.0317535	0.0420187	0.0486614	0.0474587	0.0586369	0.0483746	0.0619215	0.0991792	0.195427	0.236856
a98	0.000719017	0.00054345	0.000752789	0.00100782	0.00155855	0.00263476	0.00396035	0.00708333	0.0136453	0.018543	0.0216855	0.0229454	0.0240823	0.0287859	0.0306371	0.0240008	0.0312908	0.0267191	0.0408949	0.0907831	0.259307	0.34842
a6	0.00210668	0.00146355	0.00179621	0.00192372	0.00279455	0.00387973	0.00627211	0.0105101	0.0190969	0.0251952	0.0281651	0.0308557	0.0347415	0.0442883	0.0481794	0.0404865	0.0482001	0.0341866	0.042857	0.076664	0.193394	0.302943
a96	0.00290586	0.00205565	0.00252433	0.00238591	0.00310646	0.00392691	0.00595133	0.00933082	0.016296	0.0216035	0.0235123	0.0255533	0.0287292	0.035933	0.0397684	0.0349946	0.0433746	0.0346711	0.0477128	0.0913523	0.213298	0.311014
a62	0.000868997	0.000618509	0.000907389	0.00129345	0.00223722	0.00345331	0.00484001	0.00736262	0.0123012	0.0160591	0.0182947	0.0186059	0.0191333	0.0224069	0.0232224	0.0172727	0.021694	0.0186879	0.0324075	0.0839892	0.258901	0.415443
a96	0.000763003	0.000513674	0.00075398	0.00111435	0.0019634	0.00314754	0.00467043	0.00703551	0.0119208	0.0157618	0.0192568	0.019725	0.0198917	0.0233435	0.0231687	0.0162756	0.0187017	0.0155281	0.0276365	0.0729068	0.247815	0.448106
a93	0.000783358	0.000553206	0.000814907	0.00129986	0.00231577	0.00350859	0.00517852	0.00755493	0.0124755	0.0163991	0.0203587	0.0210265	0.0209955	0.0244559	0.0244485	0.0172638	0.019691	0.016475	0.0286003	0.0727687	0.244928	0.438104
a53	0.000621966	0.000440859	0.00058481	0.000824906	0.00155069	0.00258495	0.00394955	0.00643122	0.0108333	0.0138403	0.0168601	0.0177386	0.0185361	0.0226584	0.0230968	0.0170256	0.0200907	0.0162788	0.0258605	0.0629384	0.24829	0.468964
a7	0.000344466	0.000255223	0.000391824	0.000686931	0.00142246	0.00248882	0.00392306	0.00614748	0.010224	0.0126759	0.0147688	0.015202	0.0163272	0.0211116	0.0217703	0.0162473	0.0197961	0.0152358	0.0251995	0.063491	0.2523	0.47999
a57	0.000475743	0.000272101	0.000374708	0.000636759	0.00161233	0.00217912	0.00292316	0.00422534	0.00545365	0.00591929	0.00697726	0.00746642	0.00823272	0.00987798	0.00938896	0.00815313	0.0101758	0.0083213	0.0164644	0.0545515	0.276876	0.559442
a99	0.00470217	0.00231659	0.00351052	0.00432139	0.0057799	0.00600882	0.00742926	0.00944748	0.0114711	0.0126634	0.0133004	0.0137755	0.0135478	0.013503	0.0115936	0.00999796	0.014037	0.0167814	0.0366794	0.100738	0.271203	0.417193
a97	0.0121466	0.0060105	0.00813038	0.00874835	0.0080759	0.00675563	0.00712582	0.00764008	0.00855097	0.00947239	0.0101738	0.0118979	0.0137061	0.0156973	0.0160082	0.0174704	0.0273891	0.040691	0.0755548	0.150016	0.242563	0.296176
a87	0.045953	0.0247885	0.0256436	0.0257897	0.0182136	0.0150378	0.0156065	0.0163303	0.0194435	0.0205987	0.0220469	0.0266235	0.0311358	0.0376129	0.0394733	0.0419682	0.0565895	0.0623745	0.0741456	0.101404	0.123161	0.15606
a97	0.0324041	0.0174818	0.0203706	0.0270185	0.0247803	0.0257395	0.0308224	0.0313755	0.0355909	0.0357061	0.0377429	0.041933	0.0445452	0.0493394	0.0481025	0.047622	0.0599087	0.0559	0.0585856	0.0714875	0.0854857	0.118058
a87	0.0383501	0.0189585	0.0213683	0.02893	0.0326959	0.0333128	0.0372611	0.0342344	0.0360456	0.0376329	0.0404252	0.0438124	0.0454921	0.0481442	0.0454188	0.0430677	0.0489486	0.0440395	0.0450444	0.0552373	0.0839439	0.137636
a23	0.035429	0.01893	0.0224092	0.0340366	0.0440516	0.0404282	0.0423811	0.036733	0.0374274	0.0375296	0.0385212	0.0393074	0.0385348	0.0394201	0.036315	0.0331799	0.0374295	0.0328818	0.036239	0.0512088	0.0936704	0.173936
a99	0.00851822	0.00458908	0.00679083	0.00915876	0.0153221	0.0144576	0.0152952	0.0135204	0.0155106	0.0179397	0.0163312	0.0175522	0.0194977	0.0207563	0.0210368	0.019791	0.0249885	0.0320386	0.0545678	0.103787	0.195537	0.353014
a87	0.00629567	0.00330151	0.00569941	0.00919222	0.0153794	0.0120312	0.0114162	0.0109803	0.0130024	0.0150994	0.0146128	0.0160901	0.0180741	0.0206817	0.021715	0.0209879	0.0273121	0.0374446	0.0619814	0.119325	0.200578	0.338799
</S>	0.0102068	0.00556709	0.00965733	0.0133361	0.0211238	0.0154365	0.0142726	0.0117378	0.013065	0.0146161	0.0146468	0.0168277	0.0185459	0.0199742	0.0199095	0.0177886	0.020958	0.0255496	0.0420304	0.08998	0.197254	0.387516
