 	mais	c'	est	toi	qui	met	en	doute	tout	ce	que	dit	le	curé	</S>
a31	0.00986469	0.010506	0.014027	0.0161245	0.0185828	0.0267215	0.0244658	0.0195949	0.0278764	0.0320636	0.0769763	0.15568	0.147956	0.16722	0.252341
a21	0.00830052	0.00887753	0.0121155	0.0135004	0.0158414	0.0235675	0.022126	0.0190279	0.0281002	0.0286543	0.0596618	0.120206	0.143194	0.197395	0.299432
a61	0.00490647	0.00503761	0.00647217	0.00691565	0.00786314	0.010915	0.0105478	0.00838891	0.00992708	0.0100698	0.0258752	0.0923041	0.163389	0.25856	0.378828
a18	0.00348146	0.00357455	0.00451281	0.00476887	0.00531893	0.00738849	0.00724585	0.00658065	0.00933116	0.00899367	0.0238137	0.0778721	0.138522	0.242313	0.456283
a21	0.00507516	0.00593744	0.00658078	0.00738193	0.00709929	0.0084207	0.010264	0.0136669	0.0261167	0.0221433	0.0357348	0.066712	0.120336	0.22732	0.437211
a61	0.00197405	0.00204796	0.0025109	0.00240978	0.00228103	0.0027278	0.00242343	0.00191973	0.00286897	0.00292635	0.0111062	0.0641505	0.143192	0.236012	0.521449
a96	0.000831255	0.00094535	0.00112692	0.0012506	0.00124354	0.00166468	0.00187351	0.00226692	0.00430782	0.00395335	0.0121245	0.0502932	0.118916	0.220449	0.578753
a62	0.000546605	0.000674173	0.000766349	0.000907839	0.000838622	0.00112278	0.00135952	0.00172632	0.00441712	0.00430857	0.0147936	0.0532761	0.131259	0.21465	0.569354
a88	0.000862418	0.00104604	0.00113764	0.00142083	0.00131483	0.00172253	0.00219111	0.00268983	0.0047453	0.00444155	0.0141421	0.0506353	0.124963	0.213187	0.5755
a71	0.00164826	0.00202084	0.00200659	0.0021206	0.00182532	0.00215324	0.00233479	0.00279027	0.00672189	0.00742239	0.0239527	0.0579512	0.119652	0.221821	0.545579
a9	0.0220258	0.0228076	0.0211916	0.0225692	0.0186977	0.02	0.0212829	0.0193991	0.0295093	0.0342876	0.0631704	0.0910875	0.116199	0.1556	0.342173
a99	0.0965165	0.0776611	0.0699196	0.0682083	0.0560768	0.055407	0.052216	0.0305842	0.0303194	0.0309089	0.036626	0.0510744	0.0670182	0.0907284	0.186735
a87	0.0799745	0.0641955	0.0518198	0.0505811	0.0428297	0.0456223	0.0484658	0.0368676	0.035972	0.0375477	0.0408414	0.0602995	0.0952898	0.120852	0.188841
a23	0.0853277	0.06995	0.0537433	0.0507405	0.0420086	0.0445731	0.0506748	0.0450626	0.0418392	0.0401796	0.0472842	0.0585174	0.0833965	0.102501	0.184201
a87	0.0714123	0.0562259	0.0380284	0.0329947	0.0197455	0.0166021	0.017298	0.0146346	0.0125322	0.0116473	0.0236313	0.045697	0.101964	0.143456	0.39413
</S>	0.017734	0.0162422	0.0125781	0.0125537	0.00873999	0.00771318	0.00901515	0.00820673	0.00972974	0.0109659	0.0258309	0.0502871	0.104239	0.170622	0.535542
