 	mon	coeur	palpite	parce	que	la	nourriture	que	j'	ai	mangée	était	trop	salée	</S>
a93	0.0186858	0.0326367	0.0508476	0.114908	0.137696	0.133197	0.104614	0.0772989	0.0606287	0.0534956	0.0565316	0.045442	0.0386891	0.034432	0.0408967
a96	0.0137263	0.0225925	0.0336677	0.090749	0.126157	0.134567	0.114406	0.0947746	0.0778936	0.0716255	0.0781386	0.0544018	0.0364897	0.024834	0.0259777
a62	0.00790228	0.0119587	0.0174389	0.0631675	0.108652	0.126126	0.114278	0.0990126	0.0841403	0.0790696	0.0877973	0.0635209	0.0490689	0.0421045	0.0457637
a21	0.00648814	0.00939848	0.0135499	0.049717	0.105595	0.127936	0.11819	0.10675	0.0915914	0.0845597	0.0907381	0.0632931	0.0471672	0.0410479	0.0439775
a47	0.00546229	0.00707084	0.00950639	0.0304282	0.0670769	0.0932744	0.102376	0.10714	0.0986091	0.0886114	0.0965642	0.0733732	0.0654854	0.0732918	0.08173
a75	0.00554143	0.00741051	0.0102045	0.0432119	0.100816	0.132545	0.127702	0.121319	0.095204	0.0812731	0.0785409	0.0514201	0.0422302	0.0488031	0.0537785
a5	0.00191095	0.00253432	0.00399544	0.0223914	0.0615086	0.0982937	0.114305	0.130111	0.103597	0.0838296	0.0799468	0.0552853	0.0550688	0.0841682	0.103055
a37	0.00386952	0.00459118	0.0063794	0.0235254	0.0625125	0.0977111	0.106057	0.124108	0.100052	0.0831033	0.0821099	0.0548195	0.0515813	0.0881138	0.111466
a27	0.00291448	0.00392124	0.00581842	0.0206627	0.0531011	0.0872073	0.0993295	0.124314	0.105951	0.092982	0.0909361	0.0580673	0.0513766	0.085041	0.118378
a11	0.00534116	0.00956864	0.0175424	0.0275046	0.0512013	0.0677602	0.0781918	0.115707	0.126867	0.117856	0.11923	0.0764095	0.0594106	0.0570564	0.0703544
a62	0.00661963	0.0105448	0.018107	0.0228232	0.0403638	0.0516552	0.0638934	0.0995213	0.125215	0.117553	0.119916	0.0796177	0.0655332	0.0761451	0.102492
a75	0.00273485	0.00387521	0.00548832	0.010463	0.0229588	0.0338374	0.0429956	0.0673242	0.0815004	0.088754	0.104534	0.0869394	0.0988586	0.160529	0.189207
a37	0.000862801	0.00103227	0.00184171	0.00706705	0.0183142	0.0321031	0.0467224	0.0690559	0.0758862	0.0670796	0.068354	0.0564783	0.0755298	0.18735	0.292322
a61	0.00117666	0.00176784	0.00292139	0.00739475	0.0179044	0.0293102	0.0396825	0.0593565	0.066567	0.0683306	0.0720932	0.0559272	0.0722734	0.197705	0.30759
a21	0.00168301	0.0020162	0.00273458	0.006307	0.0158032	0.0273181	0.0390833	0.0621664	0.0704761	0.0664775	0.0681844	0.0546455	0.0715425	0.199435	0.312128
a12	0.00219781	0.00228876	0.00260315	0.00537323	0.0127126	0.0223173	0.034058	0.0581791	0.0698787	0.0638362	0.0633006	0.0537928	0.0725384	0.208637	0.328286
a96	0.00205868	0.00249741	0.00314817	0.00628255	0.0126269	0.0195569	0.0277403	0.0436017	0.0517097	0.0495631	0.0497275	0.0418816	0.0642798	0.232499	0.392826
a62	0.00139441	0.00220293	0.00335487	0.00659002	0.0120281	0.0159866	0.0211721	0.0336112	0.0450653	0.0509859	0.0578063	0.0456075	0.0608964	0.206074	0.437224
a88	0.00152822	0.00196753	0.00252161	0.00565035	0.0107809	0.0150077	0.0202224	0.0316321	0.0409237	0.0442975	0.0486819	0.0379404	0.0550456	0.208319	0.475481
a62	0.00210481	0.00344927	0.00472596	0.00848735	0.0145903	0.0187065	0.0243208	0.0355708	0.04973	0.0537204	0.0604583	0.0478658	0.0606593	0.188964	0.426647
a93	0.00108408	0.0012824	0.001578	0.00334998	0.00687475	0.0102965	0.015471	0.0263338	0.0372096	0.0375067	0.0395566	0.0321009	0.0525299	0.212359	0.522466
a13	0.000839827	0.00118711	0.00159074	0.00352994	0.00756059	0.0106151	0.0152487	0.0275595	0.0412444	0.0463358	0.0509532	0.0407109	0.0575868	0.197641	0.497396
a62	0.00283973	0.00432315	0.00494042	0.00946017	0.0181099	0.0241593	0.0307679	0.0408361	0.0508716	0.0502179	0.0580912	0.048273	0.0556515	0.175321	0.426137
a96	0.00328058	0.00468543	0.00492021	0.0103152	0.0190852	0.0241121	0.030144	0.0410288	0.0508737	0.051081	0.0586652	0.0523327	0.0653859	0.196819	0.387271
a90	0.000582104	0.000974777	0.00133108	0.0046236	0.00995959	0.0124795	0.0163932	0.0234122	0.0315934	0.0343093	0.0400212	0.0380053	0.0610567	0.236425	0.488833
a69	0.000114832	0.00020181	0.000382769	0.00153935	0.00367685	0.00523552	0.00771239	0.0121071	0.0184888	0.0213463	0.0276662	0.0298983	0.0546603	0.258568	0.558402
a58	0.000195091	0.000340442	0.000625407	0.00240655	0.00553527	0.00777498	0.010666	0.0163028	0.0226946	0.0254745	0.0301988	0.0276811	0.0472248	0.239648	0.563232
a7	0.00687605	0.00657384	0.00551715	0.00900269	0.0163525	0.0191207	0.0210746	0.0263366	0.0247995	0.0244712	0.0267149	0.0292533	0.0589748	0.238106	0.486826
a84	0.0110752	0.00898323	0.00653442	0.0116876	0.0196129	0.0225583	0.0245792	0.0281015	0.0254562	0.0240815	0.0238724	0.0334089	0.0700866	0.224439	0.465523
a57	0.0748953	0.0348456	0.019881	0.0233411	0.0382272	0.0383424	0.0380235	0.045388	0.0383712	0.0349193	0.0405414	0.050531	0.07981	0.178607	0.264276
a87	0.124167	0.0582062	0.0252253	0.0246076	0.0291013	0.0291454	0.0276186	0.0313108	0.0299784	0.0274562	0.0402167	0.0584264	0.0833727	0.169587	0.241581
a23	0.087841	0.0574337	0.0285461	0.0263338	0.0307429	0.0306498	0.0282584	0.0337092	0.0353246	0.0331537	0.0564752	0.0719313	0.0954138	0.154243	0.229943
a87	0.0330669	0.0195874	0.0137796	0.0269695	0.0356912	0.0404576	0.0394229	0.0448975	0.041401	0.0374678	0.0574802	0.102169	0.133855	0.161039	0.212715
</S>	0.0144539	0.00756712	0.00539834	0.0167182	0.0296083	0.0372826	0.0393504	0.0458748	0.0386658	0.0333766	0.0445562	0.0658204	0.0839458	0.15993	0.377452
