 	maman	a	mis	le	manioc	dans	un	panier	pour	faire	couler	l'	eau	</S>
a5	0.00728905	0.00679911	0.00956726	0.0136545	0.0254427	0.0339361	0.0455856	0.0556123	0.0723704	0.0723632	0.0766604	0.111582	0.180479	0.288658
a61	0.0069935	0.00637558	0.00858224	0.0124312	0.0239211	0.0321373	0.0465734	0.0620715	0.0836356	0.0874581	0.0877665	0.119263	0.169762	0.253029
a31	0.00839958	0.00764637	0.00918153	0.0119431	0.0201814	0.0257565	0.0368983	0.051683	0.077393	0.0853783	0.0923105	0.133906	0.175251	0.264071
a88	0.0078664	0.0078994	0.0106125	0.0136431	0.0207541	0.0264217	0.0380592	0.0582577	0.0970914	0.102239	0.105061	0.145034	0.154457	0.212604
a31	0.00714595	0.00682786	0.00924786	0.0129439	0.0203875	0.0270367	0.0359078	0.0476183	0.0745833	0.0679811	0.0695833	0.129084	0.180817	0.310836
a88	0.00323886	0.00340896	0.00486928	0.00680243	0.0107906	0.0138349	0.0192432	0.0294045	0.0551816	0.0627584	0.0811015	0.172246	0.222219	0.314902
a75	0.002537	0.00250037	0.00345115	0.00510386	0.00909175	0.0129454	0.0178433	0.0271045	0.0475424	0.051186	0.0685888	0.149521	0.220266	0.382319
a5	0.00129745	0.00126017	0.00193825	0.00278429	0.00637433	0.00826209	0.0114615	0.0155383	0.0277986	0.0313205	0.0477107	0.14766	0.262525	0.434069
a18	0.00202822	0.00196789	0.00267707	0.00322011	0.0052783	0.00624011	0.00789566	0.0107248	0.0192685	0.0247702	0.0394646	0.125828	0.26368	0.486957
a43	0.00123353	0.00130115	0.00200932	0.00267239	0.00459232	0.00565983	0.00694752	0.00985092	0.018856	0.0232268	0.036146	0.112551	0.241371	0.533581
a75	0.00658983	0.00677487	0.00823307	0.00889037	0.0159185	0.0214726	0.0273643	0.0361573	0.05075	0.0481758	0.0516523	0.115504	0.200356	0.402162
a5	0.000820379	0.000910501	0.00146908	0.00175648	0.00329007	0.00425202	0.00571368	0.00879112	0.0193714	0.0234983	0.0408711	0.121028	0.254033	0.514194
a36	0.000514803	0.000561258	0.000881174	0.00104658	0.00183807	0.00218311	0.00272582	0.00412385	0.00896474	0.0130429	0.0250182	0.0997831	0.256844	0.582472
a61	0.00117287	0.00136898	0.00204755	0.00257671	0.00541694	0.00731207	0.00916311	0.0127788	0.0222307	0.0258658	0.0386277	0.115139	0.240854	0.515446
a12	0.00111789	0.00126324	0.00193962	0.0023686	0.00373175	0.00412997	0.00482176	0.00702884	0.0136523	0.0182252	0.0308254	0.105546	0.243644	0.561705
a23	0.000789864	0.000882182	0.00129109	0.00158788	0.00262346	0.00302925	0.00349273	0.00492107	0.00928141	0.0122419	0.0221744	0.0883703	0.236974	0.61234
a27	0.000962761	0.00130725	0.0021465	0.00299136	0.00590791	0.00805913	0.0107089	0.0169551	0.029286	0.0319838	0.0399287	0.114455	0.237424	0.497883
a82	0.0238157	0.026044	0.0308796	0.0290264	0.0427291	0.0498875	0.0577799	0.0675928	0.0779613	0.0708965	0.0668048	0.108032	0.142828	0.205722
a87	0.122172	0.0729797	0.0549783	0.0423489	0.0511581	0.0575767	0.060867	0.0600249	0.0635133	0.0596563	0.0578901	0.0802096	0.0960099	0.120616
a23	0.168546	0.0992903	0.0552686	0.035444	0.0415074	0.0549063	0.0606869	0.0582388	0.0617911	0.0562292	0.0559849	0.0699644	0.081958	0.100184
a87	0.107289	0.0666872	0.0430595	0.0309115	0.0308881	0.0354937	0.0375595	0.0392116	0.0502157	0.0545149	0.0699846	0.110645	0.14323	0.18031
</S>	0.0236204	0.0175086	0.0149706	0.0121809	0.0136399	0.0168677	0.0204024	0.0233169	0.0381937	0.041118	0.0590531	0.116513	0.218152	0.384463
