 	il	y	a	un	endroit	diffìcile	à	pénétrer	devant	mon	champ	où	un	grand	arbre	est	tombé	</S>
a61	0.0072702	0.00725321	0.00926089	0.0122682	0.0168105	0.0243107	0.048537	0.0644131	0.0793754	0.101734	0.100952	0.118303	0.107516	0.0953657	0.0773566	0.0565363	0.0367428	0.0359947
a62	0.00425788	0.0039829	0.00501884	0.00688898	0.00912909	0.0145484	0.0362503	0.0529384	0.0612012	0.0853594	0.0789607	0.100345	0.100793	0.110508	0.113672	0.0911903	0.0602693	0.0646862
a47	0.00321748	0.00293525	0.00340489	0.0044835	0.00582552	0.00801706	0.0214759	0.0297161	0.0377926	0.0561525	0.0538141	0.0728274	0.0785592	0.102065	0.134654	0.153771	0.115218	0.11607
a96	0.0048555	0.00483826	0.00542469	0.00671788	0.00850127	0.0111376	0.026663	0.0401882	0.0572302	0.0908318	0.0914052	0.0922949	0.0873654	0.0865919	0.0970153	0.108066	0.0810002	0.0998727
a88	0.00286869	0.00247088	0.00267581	0.00325792	0.00369923	0.00413841	0.0107811	0.0189147	0.0236415	0.0345592	0.032249	0.0410497	0.0471862	0.0707892	0.123624	0.187154	0.185066	0.205875
a94	0.00152544	0.00133128	0.0014144	0.00177295	0.0021732	0.00243634	0.00678726	0.0123777	0.0161923	0.0279112	0.0278722	0.0351325	0.0391044	0.05262	0.0958838	0.178668	0.212515	0.284282
a90	0.00134287	0.00115102	0.0012221	0.00152104	0.00180447	0.00186822	0.00451803	0.00818403	0.0121234	0.0226555	0.0250794	0.0309148	0.0320168	0.0387063	0.0674444	0.150584	0.224296	0.374568
a98	0.00107737	0.000999344	0.00112418	0.00140759	0.00152582	0.00181062	0.00443448	0.00922444	0.00899377	0.0148043	0.0138334	0.0175387	0.0196292	0.0302173	0.0695455	0.164276	0.258001	0.381557
a15	0.00104518	0.0010367	0.00131907	0.00184475	0.0021162	0.00215183	0.00444478	0.00968727	0.0101613	0.0143399	0.0121559	0.012874	0.0146166	0.0209569	0.0489777	0.131507	0.254222	0.456543
a36	0.000654921	0.000605701	0.000735372	0.00104225	0.00136985	0.00164436	0.00330838	0.00545835	0.00688576	0.0107569	0.0102744	0.011685	0.0124757	0.0141364	0.0338794	0.0973291	0.236686	0.551072
a2	0.0186139	0.0137637	0.0112321	0.0107241	0.0103652	0.00877171	0.00701412	0.00745024	0.0121967	0.0183272	0.019841	0.0230053	0.0269986	0.0224748	0.045559	0.115639	0.215037	0.412986
a84	0.0901306	0.0667513	0.0474319	0.0412671	0.0438225	0.037132	0.0278158	0.0212984	0.0281448	0.0390697	0.0444902	0.0420685	0.0468935	0.0391357	0.0494171	0.0720889	0.110268	0.152774
a57	0.119565	0.0964674	0.0631632	0.0483703	0.0489314	0.0423676	0.0325436	0.0246134	0.034717	0.0441355	0.0532252	0.0392712	0.0385165	0.0323753	0.0366261	0.0529344	0.0826812	0.109495
a10	0.123103	0.0895666	0.0590383	0.047105	0.0432336	0.0401525	0.0379387	0.0303233	0.0363856	0.0510515	0.0589601	0.0439698	0.0400727	0.0369059	0.0439114	0.0570927	0.0677302	0.0934588
a87	0.0614997	0.0505726	0.0380268	0.0352373	0.0322815	0.0336634	0.0413696	0.0393878	0.0422894	0.0696707	0.077727	0.0614641	0.0536339	0.0457928	0.0485751	0.0636814	0.079678	0.125449
a23	0.0485243	0.0440777	0.039631	0.0416449	0.0412222	0.0499744	0.0615285	0.0558605	0.0576549	0.0790419	0.0839124	0.062065	0.0527989	0.0413624	0.0382892	0.0445626	0.0579607	0.0998885
a87	0.0161338	0.0161764	0.0158163	0.0180916	0.0177658	0.0206722	0.0316629	0.0280521	0.0274952	0.0406019	0.0376507	0.0378263	0.0412107	0.0397258	0.0600349	0.0960753	0.152821	0.302187
</S>	0.0185554	0.0207323	0.0217673	0.0218684	0.0188134	0.0175806	0.0200275	0.0156196	0.0188563	0.0249147	0.0286818	0.0263378	0.0280264	0.0264838	0.0466101	0.0863222	0.158036	0.400767
