 	de	la	manière	dont	mon	coeur	palpite	je	ne	tiendrai	pas	jusqu'	à	demain	</S>
a75	0.0198207	0.0317948	0.072074	0.115658	0.148664	0.185131	0.136213	0.0779359	0.0463604	0.0458188	0.0397504	0.0249161	0.0189455	0.01859	0.0183286
a56	0.0176685	0.0257443	0.0642601	0.0988996	0.135003	0.153953	0.117144	0.0832336	0.0564218	0.0534634	0.0492809	0.0393333	0.031648	0.0340676	0.0398779
a34	0.0139804	0.0184885	0.0355611	0.0617197	0.109693	0.171984	0.163288	0.116613	0.0704974	0.0704255	0.0599396	0.035693	0.0249118	0.0231796	0.0240257
a98	0.0133087	0.016092	0.0288389	0.0483324	0.0923329	0.1562	0.165378	0.121284	0.0782076	0.0815463	0.0705362	0.0427104	0.0305947	0.0275117	0.0271264
a47	0.00750425	0.00758426	0.0148504	0.0268464	0.0715584	0.146953	0.178431	0.137252	0.0960347	0.0839646	0.0662696	0.0529613	0.0373104	0.0341171	0.0383626
a92	0.00713976	0.00612557	0.0106998	0.018999	0.0630608	0.175327	0.238713	0.132093	0.0712539	0.0510914	0.0413093	0.0377337	0.036094	0.0466473	0.0637123
a37	0.00469667	0.00412554	0.00744888	0.0131548	0.0452522	0.134202	0.220572	0.140569	0.0868491	0.0671149	0.0548963	0.0487201	0.0431958	0.0529617	0.0762414
a85	0.00629623	0.00559433	0.00767946	0.0129407	0.0375853	0.0909267	0.186203	0.140817	0.101916	0.0971227	0.0679015	0.054408	0.0477676	0.059699	0.0831432
a15	0.00317229	0.00280887	0.00558828	0.00930367	0.0274059	0.07073	0.155103	0.111841	0.0845633	0.0591081	0.0460873	0.0625547	0.0751396	0.115619	0.170975
a98	0.00463097	0.00398215	0.00627047	0.00958515	0.0222103	0.0559123	0.161435	0.113836	0.0946569	0.0672781	0.0505602	0.0663749	0.0783927	0.111623	0.153253
a85	0.00403344	0.00356386	0.0071399	0.00957039	0.0222419	0.0542118	0.130944	0.0952297	0.0795834	0.0524119	0.0440842	0.0661944	0.0873203	0.138657	0.204814
a5	0.00209332	0.00183312	0.00372685	0.00490225	0.0121264	0.0356312	0.104895	0.0813412	0.0711089	0.0490308	0.044675	0.0760702	0.107046	0.169825	0.235694
a18	0.00477598	0.00375365	0.00491125	0.00670523	0.0178438	0.0407054	0.0963976	0.0787205	0.0773807	0.0677689	0.0653364	0.0855375	0.101963	0.140036	0.208164
a71	0.00573663	0.00435244	0.00481364	0.00599062	0.0136991	0.0258027	0.0621498	0.0578186	0.0622248	0.0586978	0.0565396	0.0831268	0.116698	0.171964	0.270385
a9	0.00970101	0.00856689	0.00901792	0.0129948	0.0209447	0.0304797	0.0582137	0.0414851	0.0430801	0.0550004	0.0608127	0.0894191	0.137021	0.183685	0.239579
a87	0.0196347	0.0181267	0.0207087	0.0281282	0.033173	0.0288166	0.0440997	0.0408689	0.055876	0.0849417	0.0886322	0.115227	0.138477	0.140878	0.142412
a23	0.0443887	0.0217193	0.0127748	0.0186677	0.0277517	0.0232133	0.0383256	0.0674218	0.109716	0.161912	0.123155	0.12173	0.103928	0.071159	0.0541361
a83	0.00897457	0.00471365	0.00416983	0.00654098	0.0113711	0.0122863	0.0295494	0.0716462	0.107949	0.151905	0.0927068	0.125629	0.115031	0.127548	0.12998
a71	0.000559436	0.000401448	0.000481589	0.000592855	0.00215198	0.00343724	0.0127043	0.0322332	0.0797148	0.146878	0.109379	0.142627	0.145348	0.16035	0.163142
a24	0.00059051	0.000399738	0.000423779	0.00055414	0.00204705	0.00387983	0.012217	0.0249089	0.0585426	0.110282	0.0841565	0.121608	0.146612	0.202047	0.231732
a62	0.000536559	0.000323272	0.00033357	0.000443342	0.00120294	0.00171139	0.00515977	0.0111593	0.0325334	0.0753049	0.0632369	0.105792	0.154204	0.246778	0.30128
a83	0.000922757	0.000729866	0.0010394	0.00157228	0.00397719	0.00487831	0.0107219	0.0183378	0.0354886	0.0657991	0.0565861	0.0911175	0.1418	0.249392	0.317637
a62	0.000743529	0.000609014	0.00084534	0.00133013	0.00358273	0.00411822	0.00957723	0.0168828	0.0344461	0.0625256	0.0521445	0.083487	0.131163	0.248341	0.350203
a75	0.00125913	0.00114676	0.00182244	0.00265183	0.00584308	0.00621602	0.0130183	0.0207855	0.04064	0.0700548	0.0565958	0.0838161	0.124148	0.233957	0.338045
a56	0.000125244	9.11332e-05	0.000144464	0.000293114	0.0009167	0.00154922	0.00561314	0.00929144	0.021897	0.0432669	0.0449523	0.0918309	0.166184	0.269514	0.34433
a93	0.000227584	0.000177534	0.000270795	0.000478954	0.00128104	0.00148796	0.00400981	0.00619278	0.0140301	0.0285374	0.0263968	0.0572403	0.119868	0.286918	0.452884
a90	0.000170936	0.000142055	0.000244924	0.00046443	0.00117269	0.0016624	0.00542088	0.00727963	0.0142472	0.02772	0.0232111	0.0507716	0.107929	0.280482	0.479082
a56	6.06634e-05	5.00675e-05	9.56413e-05	0.000186543	0.000610697	0.00121829	0.00537004	0.00667531	0.012586	0.0253205	0.0219044	0.0482942	0.113625	0.290619	0.473383
a54	0.000120373	9.45001e-05	0.000142293	0.000238578	0.000729607	0.00121987	0.00416206	0.00555332	0.0117426	0.0225464	0.0224818	0.0523916	0.121087	0.292825	0.464665
a7	5.87517e-05	4.78078e-05	8.48558e-05	0.000140535	0.000404815	0.000934521	0.0048761	0.00645372	0.0126352	0.0211911	0.0175939	0.0434041	0.102818	0.282951	0.506406
a40	0.000304572	0.000203713	0.000230079	0.000302967	0.000903142	0.00157916	0.00485422	0.0063533	0.011987	0.0194	0.0190849	0.0416166	0.0958517	0.259421	0.537907
a26	0.000377237	0.000253465	0.00028519	0.000348009	0.000935879	0.0019906	0.00622131	0.00844781	0.0152468	0.0234258	0.0217489	0.0506207	0.112299	0.278419	0.479381
a57	0.00251905	0.00189297	0.00208881	0.00209224	0.00447777	0.00640698	0.0128977	0.0167322	0.0264645	0.0319518	0.032634	0.0541324	0.117019	0.26245	0.42624
a87	0.0615287	0.0283471	0.0167666	0.0137337	0.0199894	0.0185598	0.0233088	0.0499194	0.0667703	0.0674112	0.0578634	0.0662357	0.103134	0.170578	0.235854
a23	0.157757	0.0805354	0.0325006	0.0282363	0.035462	0.0312287	0.0393091	0.0880628	0.0925195	0.0717385	0.0532974	0.0596338	0.0689855	0.081635	0.0790989
a87	0.0531349	0.0265348	0.00968313	0.00666379	0.0117806	0.0165893	0.0424003	0.107865	0.148855	0.135592	0.0837666	0.0961715	0.0914333	0.0873756	0.0821542
</S>	0.0279457	0.0128007	0.00499016	0.00367935	0.00998583	0.0174957	0.0373235	0.116635	0.159421	0.151332	0.0703943	0.0761379	0.0820309	0.103271	0.126557
