 	parmi	vous	deux	qui	ira	à	l'	étranger	avant	l'	autre	</S>
a75	0.0038974	0.0046181	0.0127655	0.0187567	0.0460909	0.0512338	0.0666935	0.0665388	0.113182	0.141248	0.20354	0.271435
a98	0.00343116	0.00444872	0.0125247	0.0192712	0.0486778	0.050144	0.0625204	0.058399	0.099591	0.129182	0.210891	0.300919
a44	0.00315005	0.00494787	0.0142284	0.0204452	0.0523874	0.0539582	0.0639262	0.0575018	0.105827	0.136251	0.19807	0.289307
a58	0.00164209	0.00176521	0.0037042	0.00424945	0.0102974	0.00989576	0.0113676	0.0124567	0.0491597	0.096444	0.24868	0.550338
a53	0.00687704	0.00566328	0.00820598	0.00775131	0.0136317	0.0129598	0.0155951	0.0190813	0.0626074	0.0956552	0.231286	0.520686
a93	0.00164364	0.00162259	0.00389076	0.00481281	0.0119742	0.0118765	0.0152598	0.0200327	0.0589808	0.109253	0.274911	0.485742
a4	0.0004447	0.000490502	0.00145505	0.00220775	0.00663517	0.00623953	0.00780141	0.00953276	0.0292994	0.06595	0.2429	0.627044
a13	0.000301587	0.00035478	0.00106722	0.00161511	0.00462734	0.00407456	0.00487582	0.00604112	0.0226707	0.0565053	0.24289	0.654977
a93	0.000282831	0.000280264	0.000662689	0.000866595	0.00227804	0.00203345	0.00222246	0.00329804	0.0194492	0.0550272	0.246006	0.667594
a0	0.000190791	0.000208947	0.0006122	0.000902627	0.00272058	0.00240451	0.00283607	0.00404074	0.0161705	0.0434186	0.224853	0.701642
a75	0.000197576	0.000221135	0.000619619	0.000845189	0.00199316	0.00151291	0.00139928	0.00189155	0.0129037	0.0429627	0.234525	0.700928
a56	0.000929231	0.0010367	0.00224607	0.0027046	0.00642977	0.00496455	0.0044541	0.00427438	0.0198605	0.0528554	0.243247	0.656997
a70	0.000298055	0.000358002	0.000933652	0.00114281	0.00234251	0.00165051	0.00140455	0.00172561	0.0117089	0.0397393	0.215923	0.722773
a56	0.000361777	0.000405621	0.000850018	0.00100388	0.00214269	0.00155618	0.00123097	0.00175526	0.0162512	0.0537909	0.242243	0.678409
a27	0.000641014	0.000692059	0.00170143	0.00190364	0.00345375	0.00230484	0.0020207	0.00251953	0.0137674	0.042809	0.226251	0.701936
a30	0.00197856	0.00189184	0.00287125	0.00314402	0.00533541	0.00427982	0.00332786	0.00450225	0.0318173	0.0801659	0.26094	0.599746
a57	0.0486145	0.033054	0.03374	0.0246387	0.0222955	0.0142286	0.0110375	0.0157921	0.0555958	0.096511	0.223555	0.420938
a87	0.0822048	0.0374247	0.0286859	0.0221041	0.0254533	0.0233023	0.0199993	0.0296763	0.0600858	0.0943385	0.188239	0.388486
a10	0.0918125	0.0395439	0.0263689	0.0177453	0.0235434	0.0261936	0.0311173	0.0513779	0.0852279	0.122753	0.183451	0.300865
a87	0.141488	0.0616235	0.034398	0.021283	0.0297529	0.0380952	0.0439431	0.057526	0.0738393	0.102308	0.144513	0.25123
a23	0.0943213	0.0464318	0.0290582	0.0195729	0.0317877	0.0406643	0.0465587	0.0636878	0.088636	0.117311	0.161559	0.260411
a97	0.0674132	0.0422696	0.0361916	0.0221872	0.0236811	0.0207332	0.0218193	0.035731	0.0659231	0.11112	0.181791	0.37114
</S>	0.0798865	0.0417909	0.033114	0.0193681	0.030032	0.028744	0.0243749	0.0345775	0.049598	0.0848738	0.156812	0.416829
