 	ceux-ci	sont	des	habits	à	vendre	ceux-là	sont	à	porter	pour	tes	cadets	toi	</S>
a24	0.00157453	0.00200169	0.00300103	0.00670286	0.010065	0.0137208	0.0195672	0.0299808	0.0601897	0.0664825	0.133282	0.16894	0.13311	0.171929	0.179453
a41	0.00203849	0.00222948	0.00298231	0.00584352	0.0103844	0.0120205	0.0181783	0.0306479	0.0653376	0.0687649	0.125393	0.142994	0.101065	0.185096	0.227024
a85	0.00168069	0.00171146	0.00218555	0.00396716	0.00586434	0.0062952	0.00978374	0.020571	0.0488987	0.0558172	0.102172	0.120137	0.0936309	0.20388	0.323405
a5	0.000486651	0.000557334	0.000763042	0.00149782	0.00175292	0.0024694	0.00419551	0.00841227	0.0189463	0.0235906	0.0507289	0.0899167	0.150883	0.251857	0.393943
a21	0.00119593	0.00107232	0.00141114	0.00248717	0.00375376	0.0049955	0.00730315	0.0131327	0.0278752	0.032491	0.0725661	0.12316	0.120553	0.249798	0.338205
a85	0.00122466	0.00121869	0.00132556	0.0022436	0.00338188	0.00465658	0.00708314	0.0114391	0.0222892	0.0277796	0.0553491	0.0922649	0.160239	0.25346	0.356045
a5	0.00145518	0.00176618	0.00188478	0.00282135	0.00380315	0.00599622	0.0109252	0.0203928	0.0349506	0.035235	0.0493478	0.0763325	0.160646	0.252953	0.34149
a0	0.0019754	0.00201929	0.00232819	0.00368534	0.00579648	0.00856511	0.0132563	0.0224377	0.0401305	0.0426829	0.0631485	0.0850845	0.109923	0.231565	0.367402
a43	0.00209814	0.00247082	0.00284701	0.00446255	0.00735013	0.00886698	0.0121665	0.023989	0.0421565	0.0377031	0.07234	0.0831797	0.0753142	0.219116	0.40594
a88	0.00412823	0.0050402	0.00483754	0.00703707	0.0118331	0.0146945	0.0207082	0.0431946	0.0756197	0.0671104	0.0901493	0.0867468	0.07291	0.172745	0.323245
a71	0.00753472	0.00781964	0.00778557	0.0105186	0.0177131	0.019471	0.027462	0.0544628	0.0864068	0.0713968	0.0974	0.0920451	0.0756675	0.162036	0.26228
a9	0.0235083	0.024085	0.0221077	0.0283751	0.0385551	0.0428586	0.0520112	0.0711469	0.0923139	0.0737755	0.0798536	0.0721836	0.0657563	0.128957	0.184512
a87	0.0626638	0.050596	0.0429975	0.051324	0.0489737	0.0553899	0.0568289	0.0566276	0.0597538	0.0538298	0.0589296	0.0611561	0.0694608	0.123741	0.147728
a23	0.150736	0.0696297	0.0487548	0.0465334	0.0368863	0.0404275	0.0353154	0.033035	0.0330108	0.0390517	0.0621657	0.0744234	0.0867253	0.124867	0.118438
a87	0.0597605	0.0254387	0.0193823	0.0161745	0.0155071	0.0166186	0.0137838	0.0190087	0.024352	0.0243616	0.0599882	0.0909417	0.143811	0.221857	0.249014
</S>	0.0424268	0.0189593	0.0134342	0.0125321	0.0133959	0.0140464	0.0129391	0.0169895	0.0202224	0.0198917	0.0532673	0.0782207	0.14978	0.233956	0.299939
