 	les	anciens	du	villages	se	sont	réunis	pour	la	palabre	</S>
a41	0.00568738	0.00402749	0.00603069	0.00705989	0.010445	0.0204014	0.0301802	0.0632078	0.0999422	0.263507	0.489511
a35	0.00156746	0.00121553	0.0019777	0.00214247	0.00332729	0.00679972	0.0124011	0.0335511	0.0660274	0.261182	0.609808
a76	0.00240948	0.00165098	0.00231153	0.00232552	0.00351063	0.00698895	0.0138459	0.0351282	0.0683426	0.24555	0.617936
a90	0.00414241	0.0019219	0.00298734	0.00352955	0.00505307	0.0103322	0.0186351	0.0519417	0.0940899	0.267424	0.539942
a35	0.00757742	0.00351835	0.00511199	0.00556177	0.0071499	0.0117991	0.0182221	0.0447162	0.0805422	0.247727	0.568074
a41	0.00274878	0.00110297	0.00131888	0.00134221	0.00179413	0.00293675	0.0051477	0.0185041	0.0472307	0.249943	0.66793
a92	0.00429759	0.00137463	0.00167803	0.00185709	0.00264889	0.00499046	0.00922077	0.0284427	0.0595364	0.257597	0.628357
a79	0.0102824	0.00381982	0.00419407	0.00420205	0.00517528	0.00781295	0.0134349	0.0398571	0.079447	0.28218	0.549595
a44	0.00694338	0.00239148	0.00271347	0.00294568	0.00406589	0.00701601	0.0121383	0.0346087	0.0719957	0.270528	0.584654
a25	0.00594573	0.00207457	0.00220345	0.00209165	0.00254826	0.00394461	0.00660144	0.0198184	0.0467005	0.245291	0.66278
a87	0.0016692	0.000736684	0.000824659	0.000832637	0.00118072	0.00206659	0.00416732	0.0141446	0.0400282	0.237844	0.696505
a23	0.00199044	0.000901001	0.000971008	0.000881778	0.000802218	0.00114633	0.00207863	0.0123499	0.0426183	0.2717	0.664561
a87	0.0176519	0.00656852	0.00769611	0.00669538	0.00640998	0.0111784	0.0214808	0.0510649	0.0844776	0.271681	0.515095
a23	0.0111502	0.00315653	0.00337141	0.00373301	0.00393968	0.00760412	0.0166284	0.0516513	0.109176	0.325938	0.463651
a87	0.0358473	0.0189746	0.02353	0.0213779	0.0196466	0.0258511	0.0394372	0.0742927	0.114183	0.269882	0.356978
</S>	0.014664	0.00590556	0.00613683	0.00622934	0.00664061	0.0131829	0.0271015	0.0639955	0.126948	0.324643	0.404553
