 	le	panier	qu'	il	a	fabriqué	pour	transporter	du	poisson	n'	est	pas	solide	</S>
a47	0.00691324	0.00790406	0.0156662	0.0477503	0.0955659	0.110803	0.148768	0.110898	0.116171	0.0983483	0.0626991	0.046325	0.0371782	0.0386077	0.0564022
a88	0.00544701	0.00576889	0.0110374	0.0353082	0.0750718	0.101064	0.131228	0.0930248	0.119266	0.113731	0.0730987	0.0564232	0.0501988	0.0572827	0.0720493
a66	0.0057014	0.00555614	0.0113588	0.0372827	0.0760561	0.0921451	0.122441	0.0883144	0.105375	0.102267	0.0718359	0.0610309	0.0578823	0.0716025	0.0911513
a21	0.00573363	0.00530125	0.00949929	0.0281093	0.0587861	0.0851413	0.107842	0.0711244	0.0951406	0.0976316	0.0670136	0.0626657	0.0678375	0.100931	0.137242
a85	0.0155151	0.0171533	0.0271341	0.0607204	0.0897386	0.0974767	0.105789	0.0751656	0.0794901	0.0797571	0.064207	0.0625407	0.0715462	0.0717093	0.0820567
a5	0.0115101	0.0127717	0.0198514	0.0380156	0.0595472	0.0719385	0.0947729	0.0792007	0.0828055	0.0857007	0.0621553	0.0641935	0.0751932	0.105921	0.136423
a43	0.0137788	0.0162226	0.0249253	0.0499353	0.0730446	0.0887026	0.103171	0.0760783	0.0721623	0.0725054	0.0553633	0.0577447	0.0801573	0.0978767	0.118331
a11	0.00386128	0.00360994	0.00626666	0.0180671	0.0331596	0.0383911	0.056393	0.0425598	0.054707	0.0573885	0.0476455	0.0515256	0.0910733	0.182596	0.312756
a47	0.00326689	0.0025646	0.00396703	0.0113679	0.0228283	0.0249992	0.0378378	0.0330535	0.043044	0.0466066	0.0401681	0.0468273	0.0856368	0.202958	0.394874
a88	0.00423348	0.00339802	0.0049033	0.0124667	0.0224877	0.0256544	0.0363033	0.0322102	0.0443132	0.0475976	0.0464253	0.0537832	0.0986438	0.212764	0.354816
a98	0.00280589	0.00204253	0.00249004	0.00605859	0.0113704	0.0139789	0.0253028	0.0253443	0.0437973	0.0547203	0.0529767	0.0616098	0.112949	0.229607	0.354946
a9	0.00319706	0.00271881	0.0037122	0.00864304	0.0159365	0.0203513	0.03324	0.0269417	0.0373689	0.0480184	0.0436275	0.0520887	0.0985546	0.204409	0.401192
a75	0.00343255	0.00232699	0.00213959	0.00387413	0.00564033	0.0075896	0.0121726	0.0106349	0.022985	0.0344114	0.0371335	0.0497605	0.0984726	0.226523	0.482903
a92	0.00275031	0.00267737	0.00420385	0.0102911	0.0165078	0.0173516	0.0261733	0.0191928	0.0213924	0.0293867	0.0287458	0.0421032	0.0826598	0.227871	0.468693
a96	0.00137463	0.00125062	0.00204852	0.00527521	0.00860036	0.00810291	0.0132629	0.010366	0.0131945	0.0196644	0.0220278	0.0331569	0.0827231	0.250136	0.528816
a62	0.00120364	0.00106931	0.00150411	0.00335573	0.00535384	0.00515804	0.0103026	0.00923562	0.0139256	0.0207556	0.0246988	0.0353778	0.091599	0.242817	0.533643
a66	0.00122653	0.000854758	0.000954288	0.00212063	0.00311452	0.00329068	0.00700807	0.0074785	0.0158797	0.027571	0.0368896	0.0531352	0.115421	0.243595	0.481461
a38	0.0039725	0.00214915	0.00188005	0.00417431	0.0048689	0.00504145	0.00524394	0.00420735	0.008299	0.0151716	0.0226644	0.0430009	0.102528	0.266303	0.510495
a41	0.00462074	0.00229063	0.00177045	0.00317342	0.00341608	0.00344692	0.00345366	0.00267335	0.00481611	0.0083325	0.0143551	0.029613	0.0882045	0.244924	0.58491
a73	0.00149086	0.000958369	0.000867187	0.00176066	0.00210037	0.00235376	0.00312466	0.00278155	0.00621213	0.011999	0.0209464	0.03852	0.110332	0.239108	0.557445
a57	0.000419419	0.000319343	0.000374474	0.000878331	0.00117933	0.00118935	0.00260174	0.00278321	0.0056332	0.0137161	0.023699	0.0448338	0.124064	0.278862	0.499446
a10	0.00521789	0.00296296	0.00232107	0.0041125	0.00443996	0.00389614	0.00359295	0.00267675	0.005978	0.0129979	0.024424	0.0464117	0.100474	0.254233	0.526261
a87	0.00882422	0.00411664	0.00249016	0.00356231	0.00332247	0.0023056	0.00196134	0.00147009	0.00445052	0.0108882	0.0240404	0.0454145	0.0920451	0.29123	0.503878
a23	0.0380176	0.0155195	0.00779122	0.00952946	0.00979758	0.00596417	0.00519967	0.00457594	0.0125464	0.0233569	0.03918	0.0579648	0.0835544	0.259039	0.427964
a99	0.0115608	0.00534064	0.00354046	0.00581443	0.00861326	0.00596867	0.00677123	0.0066747	0.0124764	0.0218928	0.0331179	0.0545978	0.0857422	0.274195	0.463693
a97	0.00879994	0.0044772	0.00365696	0.00809608	0.0122991	0.00928354	0.0108636	0.0104544	0.0152094	0.0228396	0.0327921	0.0541827	0.0896235	0.262293	0.455128
a82	0.012452	0.00673882	0.00603785	0.0142525	0.0167075	0.0113983	0.0108555	0.00910046	0.0116022	0.016528	0.0254975	0.041142	0.0680562	0.234978	0.514654
</S>	0.048853	0.0198686	0.0140438	0.0221511	0.0225692	0.0194281	0.0175412	0.016157	0.0226746	0.0274172	0.0393835	0.0535481	0.0686721	0.194626	0.413066
