 	le	furoncle	qu'	il	avait	à	la	cuisse	est	crevé	</S>
a13	6.74696e-05	0.000129604	0.000347804	0.00105337	0.00291712	0.00935578	0.0188374	0.0348559	0.0865303	0.182849	0.663056
a30	0.000127602	0.000210456	0.000557822	0.00145098	0.00341462	0.00957727	0.0176721	0.0304123	0.0754773	0.158113	0.702987
a13	0.000783942	0.000726862	0.00171057	0.00306957	0.00517518	0.00906991	0.013151	0.0193956	0.0415481	0.107679	0.79769
a26	0.00151902	0.00128757	0.00253897	0.00461309	0.00714041	0.0112493	0.0154389	0.0200531	0.0428431	0.101738	0.791579
a57	0.012024	0.0062029	0.00843408	0.0116578	0.015418	0.0200856	0.025607	0.0308563	0.0527526	0.10364	0.713322
a99	0.0491543	0.0143041	0.0141585	0.0167507	0.0232559	0.0300497	0.0416358	0.0552993	0.0903666	0.156614	0.508411
a97	0.0400788	0.0104558	0.0118304	0.0153772	0.0234454	0.0336782	0.0506673	0.0720223	0.117978	0.189445	0.435021
a87	0.0449524	0.0127569	0.00944129	0.0114684	0.0192565	0.0316723	0.0574151	0.0884548	0.141267	0.216193	0.367122
a97	0.0417984	0.0142143	0.00960858	0.0123119	0.0229743	0.0386255	0.0666422	0.0967545	0.136976	0.220305	0.33979
a57	0.0352946	0.0146836	0.0135962	0.0237495	0.0442569	0.0598609	0.0894251	0.115804	0.1449	0.208895	0.249535
</S>	0.0273017	0.0165608	0.0153785	0.0227286	0.040631	0.055775	0.0941333	0.122281	0.142151	0.207185	0.255874
