 	cette	femme	qui	arrive	est	veuve	son	mari	est	mort	du	sida	</S>
a93	0.000715816	0.000756107	0.00108391	0.00211197	0.00546628	0.0138863	0.0183359	0.0257987	0.0402444	0.0671793	0.13388	0.285802	0.40474
a11	0.000579282	0.000586477	0.000828796	0.00178123	0.005027	0.0141264	0.0171775	0.0241335	0.0412212	0.0731574	0.14857	0.269152	0.403658
a24	0.000559747	0.000551241	0.000701258	0.00114584	0.00283176	0.00989116	0.0135639	0.0224254	0.0414664	0.0717238	0.128465	0.225174	0.4815
a38	0.000564907	0.000603347	0.000749619	0.00105489	0.00214889	0.00789379	0.0114518	0.0207579	0.0383369	0.069488	0.115895	0.200143	0.530912
a36	0.000295729	0.000351526	0.000439583	0.000591901	0.00127484	0.00458931	0.00675757	0.0129076	0.0268168	0.0557227	0.105971	0.193506	0.590775
a27	0.00288764	0.00267694	0.00303435	0.0036546	0.00624899	0.0124252	0.0147666	0.0229422	0.0435216	0.0785793	0.117323	0.175236	0.516704
a57	0.0363057	0.0281752	0.0252249	0.0221116	0.0259058	0.0289715	0.0327592	0.0489017	0.0789118	0.108079	0.131036	0.152373	0.281245
a87	0.0883423	0.0614626	0.0514689	0.0380713	0.0340685	0.039008	0.0478966	0.0664444	0.0874467	0.108195	0.106169	0.114219	0.157208
a23	0.0620739	0.0535612	0.0537502	0.0491202	0.0577387	0.0814304	0.0830151	0.085191	0.0901779	0.0875875	0.0813418	0.10484	0.110172
a3	0.0350429	0.0272692	0.0190513	0.0161998	0.023008	0.0267843	0.0354098	0.0572696	0.0952113	0.11695	0.150514	0.187996	0.209294
a99	0.0238204	0.0246005	0.0214668	0.0201339	0.0243627	0.0236891	0.0279645	0.0400941	0.0576517	0.0671642	0.104168	0.190247	0.374637
a97	0.0258507	0.0267053	0.022885	0.0208312	0.0232961	0.0220332	0.0255057	0.0367036	0.0574826	0.0702397	0.115517	0.200661	0.352289
a87	0.0452255	0.0474854	0.0397373	0.0336024	0.0318978	0.0297474	0.0322087	0.0382839	0.049923	0.0565151	0.0835824	0.164388	0.347403
a23	0.0582744	0.06393	0.0560134	0.0512107	0.0502111	0.0445834	0.0438284	0.0458681	0.0510845	0.0510269	0.0710227	0.151031	0.261916
a87	0.0220586	0.0212161	0.0172721	0.0170466	0.0213799	0.0175367	0.0227861	0.0384597	0.0705607	0.0919427	0.14086	0.213425	0.305456
a23	0.0259151	0.0239946	0.0171833	0.016164	0.0184283	0.0154817	0.0179857	0.0265153	0.0451638	0.0610778	0.116719	0.237071	0.3783
a87	0.0232888	0.0225366	0.0161518	0.0160777	0.0220427	0.019049	0.026012	0.0416281	0.0751451	0.0972424	0.15045	0.221259	0.269116
</S>	0.0242106	0.0231936	0.0153891	0.0143349	0.0165054	0.0136112	0.0175084	0.0288299	0.052326	0.0741735	0.133918	0.245173	0.340827
