 	c'	est	une	chance	si	quelqu'	un	vient	épouser	votre	fille	aujourd'	hui	</S>
a5	0.018416	0.02132	0.0356516	0.0806551	0.0923704	0.100309	0.086154	0.0792323	0.0865307	0.0764586	0.0614085	0.0605822	0.0783296	0.122582
a61	0.0243268	0.0249613	0.0357301	0.0755715	0.1038	0.129576	0.110862	0.0982877	0.0975279	0.0779982	0.0558225	0.0444176	0.0508361	0.0702818
a75	0.0177021	0.0185088	0.0287501	0.0720961	0.110525	0.151549	0.125072	0.109683	0.102741	0.073629	0.0503957	0.0387856	0.0425192	0.0580435
a98	0.00967953	0.0111086	0.0172258	0.0405959	0.0608621	0.0739007	0.073094	0.0754897	0.0995163	0.117427	0.108444	0.0896531	0.0959238	0.127079
a79	0.0136424	0.0161632	0.0274024	0.0555009	0.0702536	0.0798723	0.0847554	0.0863676	0.0994508	0.116594	0.103324	0.081026	0.0759182	0.0897288
a98	0.00982141	0.0122679	0.0225641	0.0560439	0.0770997	0.0885798	0.0953766	0.105944	0.121578	0.122195	0.0938359	0.0663311	0.0584355	0.0699265
a85	0.0102309	0.0111743	0.0178123	0.0477236	0.0796957	0.0882157	0.0871187	0.0895864	0.101262	0.112769	0.102127	0.0839579	0.0784267	0.0898998
a37	0.00768326	0.00848807	0.0149715	0.0421171	0.0678691	0.0704474	0.0739198	0.0820362	0.0994901	0.110629	0.108668	0.101009	0.100011	0.11266
a85	0.00471259	0.00505262	0.00859517	0.0335378	0.0759665	0.0944875	0.0900778	0.106537	0.132361	0.125656	0.0936557	0.0693817	0.0680715	0.0919074
a6	0.00468099	0.00454408	0.00652449	0.0181663	0.0394775	0.044615	0.0489057	0.0619885	0.0885387	0.105267	0.122465	0.128663	0.143959	0.182204
a92	0.00333027	0.00328546	0.0049154	0.0159126	0.0392542	0.0480556	0.0541657	0.076271	0.111568	0.121243	0.128025	0.114281	0.12085	0.158842
a37	0.00275614	0.00269434	0.00399244	0.0127539	0.031037	0.0395747	0.0460667	0.0679758	0.105144	0.117232	0.130635	0.121902	0.136123	0.182112
a98	0.00437402	0.00442398	0.00615059	0.0186245	0.0408409	0.0564863	0.0538892	0.0779574	0.124593	0.129453	0.120149	0.0998267	0.108473	0.154759
a79	0.00270163	0.00241704	0.00297492	0.00808772	0.0229821	0.0283314	0.032544	0.0568409	0.110273	0.125293	0.149758	0.127429	0.140613	0.189754
a56	0.00204864	0.00194776	0.00254662	0.0079935	0.0224287	0.0270088	0.030926	0.0546366	0.114328	0.127037	0.153267	0.131112	0.14378	0.18094
a93	0.00218272	0.00227336	0.00317382	0.010347	0.0229754	0.0281603	0.0285786	0.0463006	0.0904337	0.114372	0.153274	0.152037	0.157079	0.188813
a96	0.00183077	0.00200237	0.00267741	0.0075747	0.0165677	0.0234167	0.0230995	0.0399059	0.0874882	0.112044	0.157294	0.159316	0.172587	0.194196
a70	0.00360073	0.00366844	0.00437202	0.00918829	0.0168008	0.0236088	0.0221157	0.0379759	0.0724801	0.077133	0.123541	0.152759	0.200959	0.251798
a13	0.00516169	0.00538906	0.00669535	0.0139116	0.0204705	0.0271938	0.0249137	0.0393282	0.0713455	0.0656909	0.102559	0.139106	0.206141	0.272094
a57	0.0138241	0.0130611	0.014941	0.0262817	0.0419482	0.0502443	0.0439395	0.0643298	0.0860008	0.0622286	0.0836625	0.111501	0.163498	0.224539
a38	0.0173868	0.0157003	0.0180407	0.0285318	0.0445325	0.0736385	0.0617147	0.0913013	0.123499	0.0809117	0.0938045	0.106387	0.117007	0.127545
a98	0.0113433	0.00954363	0.00993687	0.0156035	0.0275268	0.0338334	0.0274878	0.0418615	0.0559437	0.0440616	0.0732279	0.122857	0.223715	0.303058
a15	0.000692825	0.000751726	0.000818736	0.00157754	0.0030345	0.00431524	0.00491365	0.0104476	0.0257779	0.0272743	0.0582669	0.105702	0.260405	0.496023
a7	0.000667364	0.000707407	0.000744069	0.00132996	0.00255073	0.00351996	0.00382705	0.00785655	0.0201667	0.0262374	0.0559148	0.108721	0.264736	0.503021
a54	0.00137282	0.00128549	0.0013299	0.00233731	0.00426316	0.00542687	0.00581261	0.0105306	0.0217728	0.0226989	0.0460537	0.113814	0.27478	0.488522
a47	0.000563892	0.00062881	0.000645843	0.000993145	0.00178184	0.00236785	0.00275791	0.00609044	0.0167555	0.0199308	0.0444523	0.0994432	0.271403	0.532185
a36	0.000963352	0.00112204	0.00123432	0.00196133	0.00302965	0.00396268	0.00384967	0.00718976	0.0153669	0.0164562	0.0362052	0.0983179	0.28128	0.529061
a2	0.00436134	0.00417431	0.00416175	0.00649701	0.00744472	0.00832638	0.00689947	0.0109606	0.0187801	0.0204828	0.0402527	0.117171	0.282833	0.467654
a84	0.0307845	0.0235131	0.0206196	0.0195568	0.021143	0.0253851	0.0207438	0.0271911	0.0390946	0.0521226	0.0944873	0.17776	0.210454	0.237144
a57	0.0659237	0.0388684	0.0254923	0.0254628	0.0340102	0.0545844	0.0380805	0.0517735	0.0578617	0.0717092	0.101101	0.14012	0.144222	0.15079
a82	0.0806657	0.047857	0.0329759	0.0462227	0.0705701	0.100832	0.0702192	0.0839608	0.0621298	0.0770096	0.0837417	0.0847316	0.0814014	0.0776829
a87	0.0520842	0.0388194	0.0335212	0.0717083	0.117897	0.129571	0.0977269	0.10526	0.067877	0.0717767	0.0642259	0.0525327	0.0493427	0.0476578
a23	0.046206	0.0363203	0.0335025	0.0717442	0.113426	0.105982	0.0929161	0.10382	0.0768363	0.0782869	0.0627404	0.0546184	0.0578304	0.0657701
a50	0.0482164	0.0357774	0.0227839	0.0190583	0.0288933	0.0267498	0.0365688	0.0455189	0.0548803	0.101755	0.0992076	0.115749	0.163884	0.200958
a88	0.0278686	0.0178399	0.012265	0.0195119	0.0341163	0.0331022	0.0303326	0.0402757	0.0514489	0.079429	0.0892026	0.128181	0.19536	0.241066
a50	0.0072579	0.00434101	0.00322536	0.0105915	0.0211593	0.0278126	0.0200719	0.0246168	0.0322052	0.0492449	0.0682281	0.129151	0.241219	0.360875
a88	0.0070572	0.00511811	0.00526464	0.0198923	0.0417248	0.0711755	0.0542075	0.0614081	0.0704981	0.0735467	0.0849381	0.112734	0.16309	0.229344
a90	0.00542837	0.0041885	0.00418452	0.0147088	0.0305295	0.0640759	0.0485028	0.056413	0.0714416	0.0811062	0.100173	0.131507	0.174266	0.213475
a93	0.000632975	0.000592033	0.00058826	0.00181093	0.00460252	0.00870034	0.0080035	0.0126248	0.0225823	0.0345747	0.0666297	0.145562	0.279571	0.413525
a94	0.000410906	0.000440269	0.000524566	0.00212627	0.0057949	0.00960096	0.0102983	0.0161538	0.0278727	0.0306995	0.0542883	0.125248	0.262773	0.453769
a4	0.000619203	0.000611608	0.000654343	0.00173467	0.00463468	0.00794624	0.0084548	0.0139672	0.0245589	0.0273834	0.0518046	0.137039	0.284085	0.436507
a57	0.00047015	0.000491458	0.000563445	0.00170202	0.00421317	0.00643854	0.00707	0.0124427	0.0208703	0.025386	0.0515014	0.138721	0.289499	0.44063
a3	0.00204563	0.00193928	0.00185088	0.0032472	0.00683874	0.0126277	0.0130908	0.0212552	0.0359453	0.04394	0.0865063	0.164606	0.265903	0.340204
a87	0.0213491	0.0159699	0.0133576	0.0209014	0.0294884	0.0427211	0.0298165	0.0426584	0.0570264	0.0649566	0.104733	0.149585	0.189889	0.217548
a23	0.0514624	0.03336	0.0280442	0.0463157	0.0742533	0.0876292	0.0594446	0.0735186	0.0576284	0.0649878	0.0802748	0.0987849	0.11535	0.128946
a87	0.0207122	0.0117816	0.006493	0.00709373	0.0112725	0.0158117	0.0136243	0.0171079	0.0220326	0.0408847	0.0625219	0.110619	0.250725	0.40932
</S>	0.0241427	0.0149959	0.00995126	0.0191577	0.0294126	0.0316961	0.0255384	0.0267778	0.0241065	0.0365885	0.0448814	0.0856375	0.204031	0.423083
