 	le	chef	du	village	a	établi	une	loi	selon	laquelle	les	petits	enfants	ne	doivent	plus	aller	s'	amuser	dans	la	cour	de	l'	école	</S>
a85	0.000147789	0.000150043	0.000170807	0.000253127	0.000396066	0.000902152	0.00206504	0.00255219	0.0084579	0.00980885	0.0213827	0.076316	0.03796	0.0174498	0.035989	0.0368198	0.0211426	0.0105944	0.0137759	0.0218246	0.0285908	0.0371446	0.0555321	0.100024	0.171615	0.288934
a37	0.000529408	0.000478531	0.000519677	0.000873116	0.0014943	0.00295665	0.00556702	0.00661312	0.0135931	0.0133729	0.0226865	0.0709069	0.0387237	0.0221336	0.0433025	0.0431135	0.0291818	0.0140174	0.0155428	0.0218077	0.027538	0.038723	0.0587981	0.0945462	0.159891	0.253089
a75	0.000295885	0.000267929	0.000285738	0.000421085	0.000713344	0.00178781	0.00539044	0.00713632	0.0179508	0.0153048	0.0225325	0.0627325	0.0445555	0.0307986	0.0529759	0.0490084	0.028702	0.015943	0.02029	0.0300925	0.0419037	0.0443992	0.0565489	0.0858765	0.132214	0.231873
a61	0.000438387	0.000369946	0.000366205	0.000566434	0.000945181	0.00189311	0.004156	0.00571035	0.0121879	0.0101215	0.0191447	0.0714251	0.0410816	0.0273944	0.0549683	0.0528715	0.0338157	0.0159673	0.0183338	0.0249624	0.034982	0.0422545	0.0584297	0.0894654	0.145964	0.232184
a43	0.000440765	0.000403509	0.000444505	0.000585952	0.000812006	0.00150094	0.0036523	0.00486665	0.0117652	0.012386	0.0219441	0.0605786	0.0444896	0.0347563	0.0497881	0.046281	0.0302518	0.0169912	0.0181337	0.02678	0.0415127	0.0461287	0.0627079	0.0935754	0.140599	0.228624
a75	0.000583323	0.000487508	0.000530522	0.000836024	0.00122124	0.00187909	0.00365241	0.00409077	0.00813047	0.0126915	0.0215005	0.0574636	0.0436557	0.0267776	0.0403978	0.0309983	0.0214261	0.0109846	0.0118735	0.0180415	0.0275653	0.0356704	0.0557372	0.100644	0.16975	0.293411
a92	0.000196898	0.000166054	0.00015933	0.000201299	0.000262318	0.000407434	0.00103229	0.00137459	0.00362611	0.00470061	0.0136134	0.0624777	0.0417151	0.0266087	0.0513123	0.0413716	0.0259169	0.0118033	0.0127137	0.0160784	0.0234759	0.0253775	0.0419126	0.0847137	0.164214	0.344568
a37	0.000287658	0.000253861	0.000243088	0.000304898	0.000384296	0.000601515	0.00149056	0.00208994	0.00554751	0.00621409	0.01422	0.0576158	0.0419215	0.032052	0.0693931	0.0526951	0.0320969	0.0139658	0.0145593	0.0183507	0.027725	0.0308394	0.0486063	0.0860909	0.14945	0.293
a56	0.000422141	0.00034803	0.000372169	0.000594878	0.000876255	0.00142122	0.00300509	0.00338609	0.00651893	0.00748858	0.013587	0.0480259	0.0402086	0.0253022	0.0396797	0.0271523	0.0163046	0.00754772	0.00863456	0.0119587	0.0193082	0.0244242	0.0401225	0.0817542	0.16215	0.409406
a44	0.000290273	0.000245225	0.000267215	0.00043749	0.00066187	0.00111466	0.00250507	0.00296542	0.00598839	0.00682281	0.0139488	0.0462878	0.0395696	0.027477	0.041933	0.0290364	0.0185012	0.00883909	0.00977091	0.0125565	0.019979	0.0244579	0.0413989	0.08708	0.167225	0.390641
a11	0.00043676	0.000355314	0.000370098	0.000590437	0.000778905	0.00122849	0.00214741	0.00207956	0.0033992	0.00435954	0.00924641	0.030265	0.0264555	0.0145724	0.0222447	0.0149537	0.010237	0.00507872	0.00543511	0.00699338	0.00995343	0.0140064	0.0290055	0.0758393	0.18636	0.523607
a90	0.000530831	0.000450647	0.000466615	0.000766267	0.000923555	0.00124818	0.00183143	0.00159193	0.00267191	0.00318068	0.00569905	0.0193374	0.0164148	0.00737669	0.0114937	0.00769649	0.00528409	0.002573	0.00289476	0.00448819	0.00667369	0.0117112	0.02857	0.0834547	0.21354	0.55913
a92	0.00031217	0.000279161	0.000297557	0.000449555	0.000569821	0.000896479	0.0016929	0.00160318	0.00287361	0.00398491	0.00962188	0.0351355	0.0327533	0.018536	0.0283915	0.0181038	0.0128964	0.0058882	0.00598305	0.00772277	0.0113072	0.0155561	0.032301	0.0783354	0.186048	0.488461
a56	0.000413464	0.000390631	0.000394218	0.000556122	0.000617823	0.000804828	0.00135212	0.00127229	0.00252385	0.00378297	0.0102969	0.0461918	0.0374219	0.0199403	0.0368959	0.0243446	0.0172207	0.00711353	0.00694056	0.00916516	0.0131672	0.0173338	0.0329317	0.0721644	0.174639	0.462125
a11	0.000290672	0.000264873	0.000273511	0.00046253	0.000591139	0.00080854	0.001502	0.00136105	0.0025842	0.00334327	0.00697152	0.024557	0.0198901	0.0101227	0.0152741	0.0109918	0.00658824	0.00295862	0.00324554	0.004757	0.00726796	0.011554	0.0244405	0.0680801	0.19662	0.575199
a75	0.000402941	0.000352455	0.000354898	0.000565389	0.000660458	0.000846434	0.00137982	0.00132452	0.00291146	0.00478981	0.00814253	0.023208	0.0180875	0.00809028	0.0133426	0.00929428	0.00594412	0.00285589	0.00320867	0.00511085	0.00746838	0.0134017	0.0294646	0.0817803	0.210055	0.546957
a92	0.000613926	0.000597751	0.000592417	0.000791518	0.000761543	0.000912616	0.00139961	0.0013345	0.00266929	0.00457412	0.0104157	0.0337169	0.0238676	0.0110139	0.0184113	0.0129295	0.008651	0.00422497	0.00424437	0.00672556	0.00907944	0.0144774	0.0290779	0.0700469	0.202787	0.526083
a85	0.000517414	0.000495561	0.000483416	0.00063017	0.000646022	0.000810715	0.00139565	0.00138741	0.0027726	0.00402059	0.0101662	0.0418816	0.032325	0.0168997	0.030976	0.020394	0.0129579	0.00558608	0.00560087	0.00781106	0.011305	0.0166335	0.0327766	0.0749708	0.190238	0.476319
a0	0.000888811	0.000916694	0.000866755	0.00107878	0.000950589	0.00103448	0.00146685	0.00113968	0.00231952	0.00498229	0.0126653	0.0781394	0.0513024	0.0226313	0.0573325	0.0345724	0.0213211	0.00575863	0.00532708	0.0074755	0.0108616	0.0129117	0.0235334	0.0518712	0.149312	0.43934
a75	0.000776241	0.000754116	0.000806284	0.00112887	0.00123826	0.001594	0.00271822	0.0029206	0.00747017	0.0104065	0.015841	0.0382253	0.0290813	0.0113922	0.0189953	0.0149939	0.0110196	0.00612116	0.00700943	0.0122542	0.0154701	0.0220011	0.0360486	0.0835013	0.184743	0.46349
a21	0.000835402	0.000825327	0.00078462	0.000960484	0.000811166	0.00090863	0.001347	0.00135326	0.00267002	0.00557668	0.0127086	0.0361128	0.024304	0.010331	0.0170521	0.0131445	0.00931259	0.00468757	0.00468892	0.00777844	0.00978857	0.0156789	0.0294494	0.0705131	0.207361	0.511016
a12	0.000773965	0.000748558	0.000749113	0.00113584	0.00120181	0.00133164	0.00205955	0.00179637	0.00395047	0.0059546	0.0130644	0.048843	0.0325102	0.0135884	0.0213918	0.0158304	0.00968445	0.00426375	0.00476495	0.007881	0.0115061	0.0158665	0.0281705	0.0673173	0.184	0.501616
a18	0.000774821	0.0007307	0.000705655	0.00105231	0.00116413	0.00121717	0.00174474	0.00157822	0.00383081	0.00642901	0.0124641	0.037324	0.0246984	0.0109726	0.0166886	0.0130731	0.00874861	0.00394649	0.00407625	0.00601194	0.00836236	0.0134476	0.0254654	0.064783	0.18516	0.54555
a27	0.0138528	0.0118402	0.0102369	0.0113346	0.0121567	0.014733	0.0197863	0.0216991	0.0365461	0.0400331	0.032322	0.0449015	0.0347543	0.0201434	0.0319404	0.0300502	0.0213245	0.0165595	0.0192073	0.0299782	0.0362171	0.0441907	0.0536913	0.077984	0.117058	0.197459
a90	0.0411057	0.0300303	0.0221526	0.0195858	0.0158197	0.0158679	0.019882	0.0231884	0.0347867	0.042785	0.0365583	0.0522742	0.034246	0.0245179	0.0392593	0.0415532	0.0237235	0.0196261	0.0253786	0.0306141	0.0367059	0.0402641	0.0458303	0.0640813	0.0877422	0.132421
a56	0.00159371	0.000953878	0.000740979	0.000815903	0.000773098	0.001202	0.00183707	0.00207157	0.00326998	0.00572214	0.00829767	0.0162256	0.0111023	0.00480302	0.00937557	0.00769986	0.00548602	0.00325984	0.00358997	0.00779485	0.0107999	0.0224375	0.0456044	0.100442	0.235365	0.488737
a96	0.00019359	0.000147506	0.000127427	0.00016476	0.000176055	0.000301563	0.000712785	0.00102008	0.00222951	0.00240186	0.00522493	0.0183382	0.0125314	0.00705177	0.0139578	0.00973224	0.0059728	0.0028727	0.00321652	0.00498013	0.00747298	0.0132545	0.0276854	0.0717372	0.209394	0.579102
a18	0.000276087	0.000217141	0.000199029	0.000290525	0.000356811	0.000653626	0.00143138	0.00168425	0.00363751	0.00346215	0.00662106	0.0240104	0.020064	0.0103692	0.0178203	0.0117872	0.00733583	0.00340247	0.00395625	0.0059909	0.00991253	0.0164768	0.0325047	0.0789123	0.197872	0.540756
a38	0.00236937	0.0018646	0.00157409	0.00192791	0.00201395	0.0027517	0.00380892	0.00406175	0.00739956	0.00849246	0.0113232	0.0289621	0.0212437	0.00926897	0.0190088	0.0150042	0.00956225	0.00547017	0.00619244	0.0121617	0.0189707	0.0314406	0.0505001	0.100512	0.200197	0.423917
a36	0.00266452	0.00204362	0.0016829	0.00199869	0.00206998	0.00286638	0.00393988	0.00439541	0.00751598	0.00931551	0.012677	0.0284153	0.0206334	0.00945302	0.0177179	0.0150598	0.0105388	0.00641476	0.00705744	0.0134207	0.0194602	0.0317633	0.0487839	0.0968154	0.197425	0.425871
a2	0.00962171	0.00702184	0.00547641	0.00582565	0.00500587	0.00589788	0.0072907	0.00834528	0.0115797	0.0149436	0.0178663	0.0310194	0.020315	0.0116248	0.0202367	0.0191881	0.01309	0.0103066	0.0121436	0.0207384	0.0273669	0.0388149	0.0568985	0.101922	0.181812	0.335649
a57	0.0458709	0.0275101	0.0186044	0.0162398	0.0111907	0.0115551	0.0139116	0.0182381	0.0230212	0.0250325	0.0255823	0.0399843	0.0254191	0.0164979	0.031376	0.0321778	0.0193412	0.0171585	0.0211446	0.029441	0.0389806	0.0485457	0.063195	0.09108	0.121139	0.167762
a87	0.104817	0.0572071	0.0299085	0.0202486	0.0153689	0.015786	0.0157088	0.0198464	0.0203904	0.0202107	0.0170491	0.0232254	0.0168407	0.0152102	0.0240821	0.0242371	0.0168017	0.016565	0.0195245	0.0227196	0.0320127	0.0379799	0.0512645	0.0812389	0.12059	0.161165
a97	0.0590728	0.0383066	0.0226699	0.0170546	0.0133093	0.0161328	0.0161694	0.0190192	0.0195099	0.0153853	0.0170012	0.0284229	0.0204147	0.0218713	0.0314485	0.0326986	0.0207419	0.0171108	0.0196637	0.0210061	0.0330253	0.0412894	0.0571806	0.0932285	0.134953	0.173314
a99	0.059371	0.0386694	0.0216354	0.0161598	0.0147406	0.0218579	0.021681	0.0225943	0.0212743	0.0168565	0.0224456	0.0370766	0.0314532	0.0306872	0.0343023	0.0369866	0.0306324	0.0280561	0.0295338	0.0286315	0.034176	0.0386648	0.0421391	0.0665449	0.103082	0.150748
a97	0.0206574	0.0143115	0.00885045	0.00711112	0.00561768	0.00933462	0.0103623	0.0099715	0.00892297	0.0099933	0.0193902	0.0397242	0.0294843	0.0220851	0.0276802	0.0292558	0.0242526	0.0188501	0.0210377	0.022434	0.0259432	0.0321945	0.0459766	0.0841817	0.159265	0.293112
</S>	0.0278912	0.0174506	0.0114502	0.0114299	0.0123834	0.0198904	0.0177599	0.0149407	0.0138907	0.0153505	0.0234792	0.0435521	0.0310579	0.0195535	0.0234493	0.0242198	0.0205367	0.015917	0.0173183	0.0186685	0.0216951	0.0279358	0.0416251	0.0822933	0.151082	0.275179
