 	l'	habitude	d'	abattre	les	vieillards	sous	prétexte	qu'	ils	sont	des	sorciers	s'	est	installée	à	boundji	</S>
a47	0.0019315	0.00164437	0.00298669	0.00758833	0.0143758	0.0129481	0.0287004	0.0331802	0.0563105	0.0691	0.078681	0.0851998	0.0732975	0.085358	0.081534	0.0805593	0.0705734	0.0866989	0.129332
a98	0.00421299	0.00312704	0.00499132	0.0123056	0.0213197	0.0209981	0.0395515	0.0410795	0.0630816	0.0717393	0.081238	0.0819706	0.0640488	0.0735148	0.0662362	0.0666117	0.0668358	0.0885176	0.12862
a47	0.00340264	0.00268477	0.00397607	0.00853308	0.0151151	0.0134322	0.0259234	0.0310686	0.0513493	0.0611987	0.0684793	0.0717195	0.0610821	0.0697381	0.0686027	0.0760398	0.0781851	0.110126	0.179343
a85	0.00313553	0.00226476	0.00351019	0.00860388	0.0148094	0.0141256	0.0281152	0.0347498	0.0632073	0.0721055	0.0795733	0.0816001	0.0624102	0.0749297	0.0686061	0.0742764	0.072255	0.0942537	0.147468
a92	0.00203931	0.00178033	0.00255345	0.00420353	0.00728758	0.00615422	0.0144967	0.0186442	0.0357587	0.0468203	0.0503965	0.059234	0.0539409	0.0609625	0.062171	0.0888395	0.109502	0.153365	0.22185
a37	0.00117165	0.00091364	0.0012345	0.00281751	0.00550103	0.00454214	0.0128808	0.0196429	0.0368472	0.0498003	0.0575155	0.0658262	0.0603121	0.0668644	0.0676453	0.0970924	0.115602	0.137991	0.1958
a56	0.00138618	0.000892605	0.00110592	0.00239914	0.0046042	0.00449249	0.014143	0.0208277	0.0372515	0.0466357	0.0486914	0.0563621	0.0500852	0.0620108	0.0637663	0.110799	0.139536	0.14076	0.19425
a37	0.0012233	0.000709002	0.000872063	0.00195547	0.0038249	0.00409573	0.0135896	0.0167686	0.0319907	0.0369724	0.0386065	0.0484762	0.0484286	0.0644488	0.0715905	0.121303	0.149961	0.148889	0.196295
a18	0.00120937	0.000701828	0.000862019	0.0017728	0.00310134	0.00340703	0.0102435	0.0127095	0.0224204	0.0259891	0.0262261	0.0342339	0.0381874	0.0570357	0.0711958	0.131132	0.159732	0.169882	0.229959
a9	0.00315662	0.00155762	0.00197817	0.00312892	0.00404202	0.00463114	0.00855406	0.0119544	0.0178212	0.0233051	0.0194477	0.0226652	0.0290032	0.0485024	0.0723307	0.158739	0.172702	0.17495	0.221532
a30	0.0094992	0.00554821	0.00598018	0.00749523	0.00942094	0.0111915	0.016257	0.0202119	0.0318654	0.0472255	0.0430207	0.0545085	0.068415	0.0861243	0.103919	0.138471	0.119569	0.108833	0.112445
a90	0.0127978	0.00569302	0.00470328	0.00483565	0.00614864	0.00904443	0.012681	0.0165099	0.0277095	0.0403556	0.0368995	0.0548004	0.0795198	0.104902	0.128436	0.16131	0.117143	0.0929059	0.0836048
a98	0.000844798	0.000480255	0.000480318	0.000516042	0.000729002	0.000906702	0.00213027	0.00295364	0.00667984	0.00677483	0.00578242	0.00903974	0.0129364	0.0228232	0.0348866	0.0813669	0.179077	0.259104	0.372488
a85	0.000390781	0.00028734	0.000428139	0.000943508	0.00158135	0.00170177	0.00422305	0.00563049	0.0121336	0.013502	0.0123831	0.0162014	0.02151	0.0344483	0.0447297	0.0841259	0.16797	0.239319	0.338491
a6	0.000302593	0.000227704	0.000288667	0.00052747	0.000996275	0.000978864	0.00316442	0.00458547	0.00895719	0.0103557	0.0113477	0.0142514	0.0189802	0.0257337	0.0348971	0.069808	0.153518	0.257268	0.383812
a37	0.000209664	0.000153609	0.000187116	0.000401532	0.000818081	0.000850655	0.00299171	0.00465424	0.010183	0.0114856	0.011922	0.0155899	0.0214961	0.0301012	0.0413006	0.0806888	0.164697	0.24204	0.360229
a61	0.000312534	0.000173253	0.0002045	0.000350883	0.000593645	0.000645857	0.00247473	0.0040244	0.00857027	0.0094087	0.00861354	0.0107468	0.0145207	0.0244423	0.0372609	0.092928	0.189365	0.244147	0.351216
a96	0.000232985	0.000118952	0.00015812	0.000333112	0.000615758	0.000767916	0.00264856	0.00269705	0.00735486	0.00805898	0.00766731	0.01131	0.0180028	0.0310745	0.0507036	0.113149	0.165129	0.227347	0.35263
a83	0.000212023	0.000113634	0.000150098	0.000346032	0.000709814	0.000875874	0.00245525	0.00284404	0.00684661	0.00829861	0.00775376	0.0108935	0.0193822	0.0293985	0.0532153	0.131581	0.17004	0.223183	0.331701
a98	0.000243625	0.000139423	0.000163689	0.000327868	0.000602717	0.000922339	0.00200412	0.00254933	0.00520999	0.00595486	0.00500957	0.00611702	0.0104551	0.0197013	0.03738	0.115444	0.184177	0.24765	0.355948
a47	9.38293e-05	5.60563e-05	7.69497e-05	0.000161074	0.000272763	0.000386593	0.00109598	0.00126923	0.00255043	0.00277059	0.00249118	0.00332868	0.0057236	0.0137269	0.0289755	0.0845368	0.161522	0.267621	0.423341
a36	0.000167305	9.23943e-05	0.000126664	0.000222017	0.000364254	0.000559971	0.00178012	0.00194144	0.00371787	0.00339105	0.00297679	0.00393687	0.00656838	0.0168959	0.0331916	0.0906067	0.156864	0.247841	0.428756
a12	0.00110529	0.000615006	0.00078124	0.000921658	0.00123361	0.00159659	0.00303721	0.00371116	0.00654596	0.00622469	0.00474651	0.0050798	0.00888502	0.0190175	0.0372214	0.126087	0.175465	0.241811	0.355915
a96	0.000226757	0.000113495	0.000161559	0.00034164	0.000661221	0.000784989	0.00216163	0.00256746	0.00517208	0.00627699	0.00577861	0.00751392	0.0139158	0.0250173	0.0498383	0.140567	0.176016	0.230026	0.332859
a62	0.000211179	0.000119967	0.000163029	0.000329622	0.000654506	0.000902108	0.0020306	0.00241708	0.00505223	0.00534324	0.00440853	0.00494751	0.00905586	0.0173006	0.0369831	0.131019	0.189357	0.245107	0.344598
a21	0.000213048	0.000118812	0.000163517	0.000381142	0.000836889	0.00109247	0.00236897	0.00259727	0.00520081	0.00580424	0.0052355	0.0066139	0.0118318	0.0217046	0.0419044	0.126155	0.186576	0.240737	0.340465
a85	0.000143607	8.86056e-05	0.000134608	0.000290476	0.000589761	0.000686776	0.00185719	0.00196224	0.00427581	0.00535272	0.00515131	0.00720908	0.0142406	0.0239048	0.0508676	0.140639	0.184165	0.236961	0.321479
a6	9.61711e-05	5.1232e-05	6.84282e-05	0.000122961	0.000191445	0.000260814	0.000871896	0.00104465	0.001848	0.00196613	0.00187312	0.00254562	0.00405483	0.0117112	0.0250897	0.0747874	0.144609	0.265284	0.463523
a0	0.00012287	7.69947e-05	0.000104949	0.000208015	0.000363503	0.000521755	0.00199778	0.00228387	0.00469365	0.00518017	0.00478905	0.00661664	0.0103149	0.0251675	0.0445123	0.096843	0.160956	0.244791	0.390456
a54	0.000750943	0.000506762	0.000743106	0.00103035	0.00137232	0.00195215	0.00328074	0.00408542	0.00728746	0.00725752	0.00518929	0.00508882	0.00856735	0.0175015	0.0357446	0.13311	0.188108	0.251683	0.326741
a92	0.000363933	0.000218876	0.000293418	0.000517098	0.000852875	0.00122294	0.00213504	0.0021484	0.00354264	0.00313342	0.00258219	0.0025805	0.00449556	0.00852864	0.0198011	0.0799843	0.167617	0.2757	0.424282
a37	0.000164181	8.68086e-05	0.000122407	0.000235634	0.000423425	0.000521718	0.001408	0.00169589	0.00319627	0.00366028	0.00318694	0.0036462	0.00609158	0.012355	0.0267722	0.0942087	0.16824	0.264082	0.409903
a44	0.000321967	0.000182842	0.000249193	0.000464456	0.000886671	0.00127914	0.00286108	0.00326361	0.00641761	0.00652847	0.00542862	0.00577214	0.0103509	0.019251	0.0387263	0.119238	0.16989	0.241972	0.366915
a13	0.000260695	0.000161727	0.000221268	0.000415136	0.000800799	0.00116024	0.00268214	0.00305421	0.00534642	0.00500764	0.00410638	0.00426291	0.00698449	0.0129695	0.0277122	0.103656	0.174602	0.258022	0.388575
a38	0.00173886	0.00121734	0.00152637	0.00190688	0.00259452	0.0036911	0.00621387	0.00717388	0.0127626	0.0138341	0.0104787	0.0107241	0.0181948	0.0349069	0.0593906	0.132874	0.180294	0.223869	0.276609
a9	0.0157529	0.0111744	0.0121716	0.0111553	0.011851	0.0128336	0.0147242	0.0140978	0.0259819	0.0297671	0.025147	0.0254524	0.0355684	0.0512713	0.067008	0.115916	0.145027	0.171521	0.20358
a10	0.0723833	0.045397	0.0364905	0.0262904	0.0212918	0.0199627	0.0200907	0.021614	0.0403257	0.0509486	0.0462688	0.0440417	0.0437004	0.0577204	0.0572722	0.087131	0.0926185	0.101704	0.114749
a87	0.0823902	0.035481	0.0190436	0.0161942	0.0145203	0.0209145	0.0196075	0.0244589	0.0396125	0.055316	0.0526039	0.0627115	0.0623385	0.0815003	0.0807764	0.0996517	0.0845981	0.0760184	0.0722625
a23	0.0492303	0.0205912	0.0111512	0.0103448	0.0110916	0.0163065	0.0204229	0.0273308	0.0532044	0.076716	0.0682438	0.0837737	0.0841669	0.0868669	0.0702347	0.0861095	0.0786136	0.0733381	0.0722631
a99	0.0298538	0.0111912	0.00609539	0.0043018	0.00388484	0.00655806	0.00767388	0.00959963	0.028903	0.0295067	0.0212944	0.0215753	0.0221774	0.0286366	0.0302357	0.0681676	0.160424	0.218606	0.291314
a97	0.0305218	0.0133614	0.00927449	0.00675607	0.00750944	0.0119864	0.0134838	0.014889	0.0304843	0.0300283	0.0248439	0.023017	0.023393	0.0309109	0.033594	0.0693278	0.131846	0.193652	0.30112
a87	0.0181918	0.00839589	0.0066302	0.00714835	0.0100933	0.0177628	0.0182885	0.0181156	0.0296487	0.0299168	0.0286537	0.0277345	0.0279357	0.0314437	0.0314756	0.0526138	0.108429	0.190835	0.336687
</S>	0.039676	0.0173415	0.010343	0.00869667	0.011606	0.0211544	0.0226899	0.0243041	0.0371774	0.0402951	0.0376347	0.0365387	0.0342004	0.0359622	0.0322418	0.0488601	0.0899211	0.16126	0.290097
