 	les	gens	se	sont	réunis	en	masse	dans	la	salle	de	l'	école	</S>
a62	0.0844479	0.0487093	0.0340899	0.0343341	0.0334227	0.0406329	0.0535704	0.0424836	0.061466	0.106551	0.0803586	0.0890806	0.11928	0.171573
a88	0.0044986	0.00273295	0.00191631	0.00234862	0.0026031	0.00360221	0.00833671	0.0138972	0.0403355	0.120063	0.134317	0.138914	0.213437	0.312999
a62	0.0028734	0.00210484	0.0016835	0.00225917	0.00253612	0.00338223	0.00854385	0.0141252	0.0351427	0.10709	0.159453	0.189254	0.221039	0.250513
a61	0.00472358	0.00409673	0.00368618	0.00505216	0.00581172	0.0073455	0.0164173	0.0229641	0.0490263	0.120009	0.169736	0.183801	0.201333	0.205996
a0	0.00276674	0.00269406	0.00250151	0.00325884	0.00381689	0.00499968	0.0117812	0.0182878	0.033653	0.0796206	0.150529	0.19029	0.239961	0.25584
a56	0.0055646	0.00486351	0.00429013	0.00602898	0.00761721	0.0108634	0.0230428	0.0283854	0.0438446	0.0925501	0.145521	0.167998	0.216199	0.243232
a61	0.000793972	0.000796975	0.000764192	0.00107942	0.00144709	0.00211058	0.00469488	0.00628686	0.0105141	0.0426333	0.118415	0.172974	0.282953	0.354537
a12	0.00123037	0.00117275	0.00107515	0.00163965	0.00224362	0.00316141	0.00582561	0.00612332	0.00906687	0.0370403	0.105693	0.155403	0.288269	0.382055
a18	0.00143557	0.0013603	0.00124558	0.00191741	0.00259088	0.00346789	0.00616176	0.0060661	0.00906434	0.0395868	0.104232	0.15121	0.285571	0.386091
a53	0.00442667	0.00380811	0.00339808	0.00485883	0.00610751	0.00854689	0.0131905	0.0112553	0.0137615	0.043882	0.0976732	0.142599	0.273376	0.373116
a69	0.000206035	0.000183188	0.000165872	0.000285157	0.000415032	0.00055647	0.00101817	0.00120744	0.00268096	0.0190642	0.080351	0.145833	0.311212	0.436821
a58	0.000330139	0.000270952	0.000250677	0.000443664	0.000600105	0.000739429	0.00139551	0.00175821	0.00364736	0.0172799	0.0644224	0.129786	0.313236	0.46584
a82	0.00252834	0.00200597	0.0019299	0.00303279	0.00422045	0.00580604	0.00797489	0.00621039	0.00905755	0.0325336	0.0765132	0.138361	0.306039	0.403787
a87	0.14728	0.0822759	0.0525003	0.0554523	0.0457945	0.0451235	0.0626986	0.0478491	0.0515948	0.041761	0.0528819	0.071104	0.115021	0.128663
a23	0.216439	0.138108	0.0840787	0.0843074	0.059367	0.0544068	0.0635919	0.042846	0.04518	0.0350476	0.0322265	0.0362146	0.050207	0.0579793
a87	0.136033	0.0886013	0.0487527	0.0501434	0.0311594	0.0279649	0.039792	0.0308085	0.0346185	0.0471493	0.0679658	0.102277	0.13141	0.163324
a23	0.0181923	0.0126868	0.00700589	0.00904871	0.00654283	0.0054972	0.0106076	0.00921605	0.0181187	0.0508872	0.105047	0.164536	0.233468	0.349146
a87	0.0361908	0.0261244	0.0166235	0.022161	0.0159924	0.0130189	0.0253654	0.0223011	0.0348725	0.058057	0.0910107	0.144339	0.201155	0.292789
</S>	0.0146662	0.00925377	0.00598327	0.00937548	0.00751215	0.00646226	0.0152842	0.0136638	0.0252281	0.0584117	0.110966	0.171181	0.220434	0.331578
