 	la	manière	dont	il	voulait	nous	faire	traverser	le	fleuve	était	suicidaire	</S>
a47	0.000386949	0.000685975	0.00233859	0.00735231	0.0279496	0.0323286	0.0911995	0.0704265	0.161247	0.109299	0.10753	0.173396	0.215859
a62	0.000287549	0.000524659	0.00203674	0.00632218	0.0206331	0.0257782	0.0826365	0.0600997	0.152099	0.102225	0.10296	0.161068	0.283328
a0	0.000273726	0.000473778	0.00204188	0.00672923	0.0304189	0.0329567	0.0826297	0.0665544	0.1339	0.0932086	0.0962002	0.169675	0.284937
a75	0.000369107	0.000659136	0.00235945	0.00751444	0.0391225	0.0373104	0.0930751	0.0666727	0.156905	0.0948579	0.0880504	0.18278	0.230324
a5	0.000137674	0.000274084	0.00119656	0.00313564	0.0125616	0.020551	0.0612696	0.0540111	0.127101	0.0809129	0.0830631	0.191945	0.363841
a18	0.00016804	0.000237931	0.0010257	0.0034016	0.0135642	0.0164811	0.0542324	0.0450633	0.121437	0.0779039	0.0850815	0.184731	0.396672
a43	0.000466617	0.000628436	0.00164569	0.00567682	0.0286719	0.0318861	0.0846054	0.0634936	0.172427	0.0912583	0.0852339	0.176756	0.25725
a21	0.00147024	0.00171407	0.00336614	0.00788963	0.037321	0.0363651	0.0832588	0.0651734	0.152706	0.0924016	0.0834426	0.205783	0.229109
a92	0.00019968	0.000261818	0.00080736	0.00238537	0.0100515	0.0121478	0.0329025	0.0291834	0.0827261	0.0577989	0.071436	0.227862	0.472238
a37	0.00013854	0.000225082	0.000810775	0.00244029	0.0113926	0.0144774	0.0402432	0.0329404	0.0905879	0.0573141	0.0647029	0.191843	0.492883
a98	0.000254444	0.000423836	0.00114185	0.00365036	0.019168	0.019926	0.0519854	0.0378449	0.111937	0.0684895	0.0726454	0.190349	0.422185
a47	7.9083e-05	0.000156354	0.000648273	0.00211642	0.00855826	0.01456	0.0433312	0.0374434	0.0967734	0.0706093	0.0752747	0.187983	0.462467
a36	0.000123109	0.000166054	0.000699052	0.00225878	0.00999257	0.0198372	0.0580031	0.0550972	0.11578	0.082595	0.0844576	0.172613	0.398377
a26	0.00164053	0.00111804	0.00183702	0.00568288	0.0169667	0.0288223	0.0688873	0.0634362	0.14883	0.110557	0.114108	0.1925	0.245614
a57	0.00629778	0.00400929	0.00530638	0.00969046	0.0222657	0.0384224	0.072767	0.079371	0.155342	0.121486	0.112961	0.18775	0.184331
a3	0.019398	0.00729805	0.00725959	0.0113928	0.0244604	0.0440673	0.076695	0.0880399	0.144237	0.12606	0.109894	0.178387	0.162811
a62	0.0529895	0.013289	0.0109417	0.0164159	0.0348466	0.0487815	0.0660998	0.0878021	0.111276	0.117158	0.107945	0.152393	0.180063
a88	0.0111435	0.00330883	0.00342097	0.00655243	0.0257333	0.0395438	0.0643093	0.0812066	0.117595	0.115101	0.10744	0.17739	0.247254
a24	0.00208544	0.00109633	0.00152721	0.00330143	0.0107292	0.0190364	0.0379484	0.0401717	0.0850611	0.0990817	0.122839	0.177932	0.39919
a88	0.00454844	0.00248947	0.00359534	0.00754557	0.0276925	0.0414337	0.0715684	0.0734714	0.121464	0.105538	0.102183	0.162035	0.276435
a71	0.00195309	0.00133921	0.00232687	0.00578391	0.0232854	0.0331535	0.0616522	0.0565227	0.111536	0.0976598	0.106374	0.180741	0.317672
a70	0.00349356	0.00218198	0.00362796	0.00825446	0.0317454	0.0423539	0.0769491	0.072068	0.124499	0.100866	0.100626	0.172385	0.260951
a44	0.00139958	0.00110425	0.001902	0.005148	0.0201175	0.0287849	0.0642008	0.0538267	0.122576	0.10038	0.110359	0.170763	0.319438
a79	0.000538377	0.000472189	0.000878993	0.00254225	0.0118227	0.0195636	0.0513168	0.0425384	0.113414	0.100298	0.113709	0.200182	0.342723
a37	8.30433e-05	0.000176475	0.000898007	0.00361402	0.014454	0.0339647	0.0695683	0.059097	0.122667	0.0950793	0.0985318	0.201739	0.300128
a92	0.000220765	0.000271932	0.00067305	0.00216974	0.011285	0.018313	0.0531022	0.0396309	0.116973	0.0845624	0.0962413	0.189502	0.387056
a37	0.000132911	0.000192041	0.000577069	0.00189828	0.0101057	0.0181425	0.0515957	0.0411407	0.111517	0.079803	0.0964431	0.204955	0.383497
a62	0.000223617	0.000280711	0.000691872	0.00229874	0.0134116	0.0203981	0.0576663	0.0422996	0.117017	0.0794684	0.0926131	0.18545	0.388181
a0	0.000643821	0.000915308	0.00204922	0.00486257	0.0203348	0.029448	0.0658425	0.0584205	0.119408	0.105006	0.108907	0.18219	0.301973
a9	0.000857725	0.00109285	0.00198074	0.00401886	0.0163677	0.0205409	0.0553326	0.0444016	0.127161	0.101942	0.0974654	0.207411	0.321427
a99	0.0104798	0.00721131	0.00785141	0.0128258	0.0269528	0.0337529	0.0731051	0.0680205	0.149266	0.119326	0.106281	0.171949	0.212979
a3	0.0151993	0.00784891	0.00823209	0.0137813	0.0298763	0.0383411	0.0717146	0.0789614	0.140424	0.119514	0.106756	0.16622	0.203131
a99	0.0286246	0.00931391	0.0101983	0.0178219	0.0451117	0.0509549	0.0770269	0.090873	0.119117	0.115039	0.104818	0.151346	0.179755
a9	0.00597044	0.00195571	0.00245234	0.00465324	0.0230565	0.0318478	0.0562388	0.0735241	0.104511	0.108992	0.110231	0.193164	0.283402
a99	0.00858751	0.00367083	0.00653765	0.0105214	0.0407592	0.0495093	0.0693557	0.0846601	0.10293	0.102287	0.10044	0.168732	0.25201
a82	0.00448455	0.00211233	0.00334506	0.00540854	0.0233087	0.0343194	0.0542635	0.0693912	0.0926409	0.105264	0.116205	0.17779	0.311467
</S>	0.0107337	0.00638617	0.0105192	0.0140992	0.0451088	0.0532269	0.0709746	0.0838609	0.0981494	0.102487	0.106039	0.163722	0.234694
