 	après	la	bise	a	renoncé	à	lui	faire	ôter	son	manteau	</S>
a0	0.000190727	0.000340213	0.000857318	0.000812943	0.00241323	0.00612109	0.0109819	0.0111169	0.0278405	0.0586563	0.195545	0.685124
a54	0.000186421	0.000267537	0.000556663	0.000542054	0.00166265	0.00461218	0.0091307	0.0105089	0.0298498	0.0629576	0.216421	0.663304
a44	0.000306891	0.000848593	0.00293597	0.00357232	0.00740334	0.0195217	0.0353289	0.0297395	0.0519882	0.0894952	0.184598	0.574262
a54	0.000113109	0.000270576	0.000769369	0.000943626	0.00269011	0.00818964	0.0159162	0.0147711	0.0314166	0.0665609	0.187712	0.670646
a69	0.000229511	0.000580301	0.00175916	0.00199789	0.00361705	0.00901513	0.0174012	0.0157318	0.0319705	0.0690984	0.190406	0.658193
a53	0.000183764	0.000432994	0.00116902	0.00138084	0.00391871	0.0110766	0.0218786	0.0212342	0.0417463	0.0808083	0.198667	0.617504
a69	0.000201708	0.00047527	0.00140087	0.00169629	0.00470021	0.0122686	0.0241301	0.023503	0.0460985	0.0901112	0.203046	0.592368
a58	0.000151348	0.000336229	0.000859071	0.000909152	0.00216387	0.00532535	0.00984647	0.00981416	0.0233641	0.0566847	0.181428	0.709118
a40	6.04157e-05	0.000126976	0.000303801	0.000317999	0.000843428	0.00240213	0.00471364	0.00475382	0.0130998	0.035745	0.15379	0.783843
a54	0.000111938	0.000255343	0.000621545	0.000792708	0.00212702	0.00551927	0.0115067	0.0115749	0.028279	0.067687	0.192475	0.679049
a37	0.000163028	0.000397834	0.00134114	0.00173634	0.00316947	0.00680967	0.0126885	0.0109994	0.023561	0.0567158	0.191392	0.691026
a70	0.000113831	0.000226729	0.000482534	0.000611474	0.00148898	0.00369868	0.0071641	0.00668589	0.019108	0.0543969	0.203568	0.702455
a54	0.000120672	0.000206959	0.000377774	0.000440828	0.00115333	0.00291301	0.00562041	0.00598732	0.0187432	0.0498048	0.194482	0.72015
a73	0.000245666	0.000505673	0.00119296	0.00171322	0.00332959	0.00702874	0.0123175	0.0112685	0.0270653	0.0629591	0.204695	0.667679
a58	0.000544951	0.00104234	0.00253463	0.00350629	0.00639699	0.0113231	0.0179575	0.0150701	0.0305205	0.0658368	0.205414	0.639853
a26	6.00093e-05	0.0001083	0.000199667	0.00022435	0.000535277	0.00127433	0.00250115	0.00253617	0.00826676	0.0286651	0.169566	0.786063
a11	0.000296714	0.00037421	0.000426106	0.000300454	0.000540407	0.00141382	0.00319649	0.00429282	0.0122326	0.0433752	0.192686	0.740865
a50	0.00034359	0.000394158	0.000396554	0.000286773	0.000468901	0.00126266	0.00303974	0.0040808	0.0115108	0.0403087	0.201726	0.736181
a62	0.000894879	0.00104195	0.00121717	0.000892812	0.00135201	0.00328141	0.00707589	0.00900574	0.0190941	0.0577647	0.235861	0.662518
a83	0.000161286	0.000199308	0.00026051	0.000246703	0.000509505	0.00147809	0.00375253	0.00504224	0.0170298	0.0520834	0.22832	0.690917
a71	0.000124936	0.000161062	0.000234262	0.000197453	0.000414257	0.00120382	0.00316894	0.00425637	0.0125987	0.0364792	0.196034	0.745127
a9	0.000253878	0.000323721	0.000448587	0.000354162	0.000621075	0.00175157	0.00463948	0.00589351	0.0138385	0.041048	0.20778	0.723047
a3	0.00277623	0.00322297	0.00478777	0.00363133	0.00455227	0.00860593	0.0180984	0.0224001	0.0405709	0.101423	0.256016	0.533916
a97	0.0239711	0.020204	0.0255863	0.0199422	0.0273289	0.0503868	0.074051	0.0977782	0.0840004	0.117101	0.168683	0.290967
a87	0.0251179	0.0241949	0.0350392	0.0274905	0.0422518	0.0767899	0.10369	0.132761	0.114297	0.127541	0.127969	0.162858
a97	0.0260763	0.0319044	0.0583124	0.0409196	0.0609978	0.0955633	0.112433	0.133662	0.102133	0.10476	0.097934	0.135304
a87	0.0338977	0.0408018	0.0687909	0.054925	0.075489	0.104772	0.116052	0.13444	0.104756	0.0998712	0.0767446	0.0894594
a23	0.0448	0.0512059	0.0743022	0.0521612	0.0698054	0.0961242	0.103352	0.113044	0.086778	0.0881907	0.0850162	0.13522
a87	0.0407422	0.0488977	0.0426446	0.0315743	0.0507007	0.0893977	0.11017	0.102816	0.0842451	0.0987188	0.106787	0.193305
a23	0.0208324	0.0277107	0.0298927	0.0261504	0.0433641	0.0782723	0.0934548	0.0849031	0.0893158	0.116822	0.129415	0.259867
a97	0.0237517	0.0305472	0.031413	0.0282941	0.0452826	0.0863434	0.110901	0.0971878	0.0939145	0.118551	0.122519	0.211294
a10	0.0336847	0.0412289	0.0372986	0.0292194	0.049088	0.0840922	0.0961694	0.0923161	0.0791977	0.0944496	0.104746	0.258509
a82	0.0404333	0.0460121	0.0502387	0.0372148	0.06096	0.0963203	0.105186	0.105099	0.0829553	0.0893576	0.0953235	0.190899
</S>	0.0476839	0.0552139	0.0723043	0.0505175	0.0819575	0.113454	0.11479	0.121065	0.0835464	0.0799844	0.0748544	0.104629
