 	il	a	enterré	un	fétiche	au	milieu	de	la	route	ensuite	il	m'	a	maudit	</S>
a4	0.00899846	0.0058617	0.00326457	0.00441686	0.00360379	0.00828741	0.0153362	0.0231146	0.0309042	0.0417749	0.0484862	0.112797	0.160691	0.181327	0.1806	0.170536
a13	0.00231716	0.00163034	0.00080823	0.00128577	0.00126015	0.00355517	0.00751443	0.0115664	0.0188162	0.0318737	0.0456591	0.104339	0.16774	0.18917	0.196184	0.21628
a44	0.00199137	0.00131366	0.00066633	0.000944833	0.00110683	0.00246311	0.00421239	0.00611056	0.00969094	0.0150222	0.0196329	0.0450538	0.101872	0.192681	0.27888	0.318358
a15	0.000707482	0.000478223	0.000308772	0.00047845	0.000612584	0.00148224	0.00257934	0.00357249	0.0060894	0.0111121	0.0151697	0.0393008	0.09729	0.203178	0.28392	0.33372
a69	0.000182104	0.000148228	9.91061e-05	0.000210246	0.000266756	0.00087494	0.00157819	0.00201665	0.00330882	0.00685678	0.00977234	0.0321082	0.0908715	0.169155	0.269156	0.413395
a58	0.000182493	0.000144509	9.57399e-05	0.000186425	0.000266095	0.000820415	0.00151841	0.00191954	0.00312016	0.00697402	0.00895205	0.0230017	0.059365	0.158482	0.283523	0.451448
a44	0.000652287	0.000462876	0.000287587	0.000522409	0.000719898	0.00178779	0.00258974	0.00283053	0.00341018	0.00481296	0.00478474	0.0135982	0.0350943	0.0972282	0.269226	0.561993
a34	0.000254881	0.0001628	0.000102587	0.000200319	0.000266713	0.000802603	0.0014414	0.00180318	0.00237278	0.00335224	0.00383045	0.014212	0.0432291	0.120252	0.289996	0.517721
a62	0.000275398	0.000194222	0.000126771	0.000210018	0.000233989	0.000627142	0.00112828	0.00137117	0.00195623	0.00295571	0.0041153	0.0155357	0.0493664	0.126947	0.316199	0.478757
a88	0.000285899	0.000223657	0.000152527	0.000246148	0.000287715	0.000697419	0.00109556	0.00120777	0.00157118	0.00215571	0.00300336	0.0108941	0.035297	0.0945369	0.309864	0.538482
a0	0.000344291	0.000275359	0.000266701	0.000543045	0.000796906	0.00193253	0.00265197	0.00259111	0.00269371	0.00282014	0.00337616	0.00909798	0.0240489	0.0654792	0.241442	0.64164
a47	0.000471192	0.000337096	0.000346277	0.000708463	0.0010511	0.00278874	0.00450276	0.00430208	0.00464231	0.00484031	0.00522694	0.012587	0.0262549	0.0612609	0.22934	0.64134
a12	0.00125934	0.000952448	0.000909176	0.00185417	0.00281446	0.00686269	0.00961539	0.00826758	0.00828128	0.00797316	0.00848048	0.0208651	0.0472668	0.0953023	0.261054	0.518242
a90	0.000143157	0.000106744	9.01588e-05	0.000170124	0.000206125	0.000518593	0.0010014	0.00113767	0.0014157	0.00179514	0.00224793	0.00784208	0.0277391	0.081979	0.290518	0.583089
a69	6.64107e-05	5.01649e-05	4.97332e-05	9.4181e-05	0.000115208	0.000321507	0.000751362	0.00085047	0.00122357	0.00202168	0.00279801	0.00860683	0.0272267	0.0766381	0.274489	0.604697
a44	9.47963e-05	6.82539e-05	5.98997e-05	0.000126656	0.00018704	0.00065764	0.001469	0.00151495	0.00183912	0.00247647	0.00300183	0.00893689	0.0239769	0.0589496	0.214407	0.682234
a26	0.000138577	0.000103554	8.20755e-05	0.000183762	0.000285641	0.00108862	0.0022362	0.00215311	0.00242481	0.0028253	0.00297739	0.00903122	0.0228014	0.0545224	0.210406	0.68874
a36	0.00712653	0.00484522	0.00211038	0.00343929	0.00404633	0.00859875	0.012625	0.0107696	0.0115397	0.0136937	0.0138539	0.0223062	0.0343817	0.0672952	0.203204	0.580164
a2	0.0318053	0.0216586	0.00933074	0.0120203	0.0115926	0.0179706	0.0240468	0.0209956	0.0206994	0.0224664	0.0222786	0.0287787	0.036741	0.0697744	0.18518	0.464661
a57	0.115081	0.0729524	0.0263241	0.0252988	0.019645	0.0250922	0.0327544	0.0354329	0.0357552	0.0368482	0.0396651	0.0445092	0.0514518	0.0714805	0.129993	0.237716
a87	0.152717	0.105192	0.0450005	0.0373883	0.0252745	0.0290195	0.0393946	0.0486482	0.0452224	0.0410487	0.0445297	0.0480797	0.0511122	0.051698	0.0886403	0.147034
a23	0.129865	0.101258	0.0448133	0.0507424	0.0372979	0.0397143	0.0433187	0.0552136	0.0533352	0.0566156	0.0624898	0.0727368	0.0670835	0.0521493	0.0508946	0.0824726
a99	0.0557868	0.0388681	0.0207522	0.0263529	0.0158873	0.0174564	0.0256356	0.0462126	0.0629999	0.0785895	0.0932444	0.0965772	0.0949146	0.087788	0.0948568	0.144078
a97	0.0278049	0.0158415	0.00962599	0.013834	0.0101995	0.018	0.0421526	0.0731288	0.0914921	0.0969385	0.106515	0.096343	0.0841723	0.0652434	0.0915578	0.157151
</S>	0.013696	0.00745268	0.00433893	0.00717388	0.00606333	0.0193581	0.0562655	0.0727955	0.0692146	0.0598153	0.0576593	0.0612492	0.0698538	0.0693461	0.138776	0.286942
