 	jadis	on	éclairait	la	maison	avec	le	feu	d'	une	brindille	maais	aujourd'	hui	c'	est	avec	des	lampes	</S>
a47	0.0617255	0.0752739	0.0878328	0.116342	0.0981561	0.056085	0.0412818	0.0325305	0.0302903	0.0308972	0.0314933	0.037983	0.0389951	0.0363085	0.0351756	0.0318916	0.0286661	0.0273375	0.0365716	0.0651621
a36	0.040147	0.0597728	0.0850494	0.110641	0.0925305	0.0538053	0.0409595	0.0317011	0.0294995	0.0306908	0.0317845	0.0371473	0.0394121	0.038889	0.0397702	0.0367953	0.0343312	0.0351499	0.0468939	0.0850297
a85	0.0152388	0.0267075	0.0529766	0.0923559	0.0925662	0.0842665	0.0716923	0.0556905	0.0454112	0.0497348	0.0444874	0.0452336	0.0431443	0.0475395	0.0437583	0.0349414	0.0348156	0.0337128	0.0367577	0.0489691
a6	0.00984016	0.0180123	0.0517772	0.0760833	0.0700861	0.0596405	0.0548189	0.0454671	0.0412127	0.0488789	0.0496857	0.0468097	0.0488879	0.0556753	0.050819	0.0389809	0.0387935	0.0414142	0.0555912	0.0975254
a36	0.0124725	0.023828	0.0671988	0.0639713	0.0613875	0.054369	0.0518906	0.0463231	0.0481744	0.0552965	0.0602602	0.0645955	0.0644452	0.0620023	0.0522851	0.0393974	0.0351948	0.033715	0.0391344	0.0640585
a47	0.00481708	0.00681816	0.0356812	0.050517	0.069571	0.108234	0.122892	0.101931	0.0688879	0.0734991	0.0578801	0.0440325	0.0432325	0.0446809	0.0348557	0.0262291	0.0240917	0.0227	0.0250756	0.0343738
a34	0.00349479	0.00507444	0.0302153	0.0487814	0.0710836	0.1141	0.136988	0.109324	0.0694552	0.0777004	0.0577135	0.0393641	0.0396936	0.0412585	0.0293317	0.0215836	0.0214463	0.0214609	0.0247369	0.037194
a56	0.00324875	0.00414365	0.0193104	0.0266311	0.041844	0.0880469	0.120104	0.106222	0.0755915	0.0936013	0.075365	0.0493393	0.05331	0.0515526	0.0370826	0.0287812	0.0293283	0.026785	0.0298534	0.0398588
a94	0.00519925	0.00539073	0.0213705	0.035029	0.0508052	0.110347	0.147722	0.130463	0.0789478	0.096216	0.0715781	0.0331905	0.0344902	0.0390739	0.0222345	0.0165225	0.0201484	0.0205394	0.0243187	0.0364132
a90	0.00780488	0.00648473	0.0249263	0.041674	0.0577097	0.121652	0.161933	0.146179	0.0910191	0.096121	0.0632603	0.0246385	0.0249095	0.0279932	0.0139284	0.0103961	0.0132604	0.0161095	0.0198091	0.0301915
a76	0.00200982	0.0018282	0.00865418	0.0189193	0.0330199	0.0959398	0.132764	0.118413	0.087974	0.105361	0.0918389	0.0415508	0.045201	0.0489566	0.0314626	0.0222805	0.0256626	0.0235754	0.0248104	0.0397786
a94	0.00121523	0.00124845	0.0069913	0.0178519	0.0314902	0.0852315	0.115466	0.0986901	0.0770629	0.0943887	0.0919247	0.044068	0.0485913	0.0515107	0.0392259	0.0279892	0.0322911	0.0313572	0.0355438	0.0678618
a38	0.00295978	0.00252755	0.0143625	0.0294514	0.046917	0.114122	0.165913	0.135305	0.0950833	0.0966599	0.0778084	0.0268729	0.0310947	0.0323728	0.0187561	0.0124371	0.0158121	0.0177249	0.024363	0.0394559
a71	0.0130792	0.00860905	0.0236182	0.0487071	0.0636464	0.125473	0.152275	0.116505	0.0794736	0.0863964	0.0706091	0.0283093	0.0304656	0.0313005	0.0184583	0.0112406	0.0150855	0.0166529	0.0229003	0.0371944
a9	0.0335001	0.0238062	0.0490128	0.0641452	0.0768456	0.12829	0.132099	0.094047	0.0609879	0.0715716	0.0586117	0.0325538	0.0291053	0.0242868	0.0142969	0.0102893	0.0125857	0.015873	0.0251495	0.0429427
a87	0.0700108	0.0572606	0.0718044	0.0727948	0.0761356	0.0982395	0.0937291	0.0776848	0.05019	0.0563064	0.0403395	0.0326926	0.0285848	0.0212559	0.0177392	0.0163959	0.0165547	0.0200657	0.0298768	0.0523388
a23	0.064982	0.0554242	0.067351	0.0461469	0.0284675	0.0342434	0.0357554	0.0419813	0.0496388	0.0525396	0.0441237	0.0490807	0.0515785	0.0385068	0.0392811	0.0454453	0.0455151	0.0494343	0.0640795	0.0964252
a97	0.0137233	0.0147041	0.0264444	0.0327223	0.0225114	0.0275207	0.0316441	0.0409631	0.0512869	0.0578477	0.0467901	0.0480105	0.0490831	0.0506494	0.0559007	0.0581737	0.0729022	0.082472	0.0922128	0.124437
a38	0.00674865	0.0100839	0.0318553	0.0401879	0.0288214	0.0405703	0.0388066	0.0431458	0.052267	0.0508507	0.0417239	0.045059	0.047452	0.0437528	0.0587894	0.0696782	0.0782476	0.0766089	0.0873529	0.107998
a36	0.00358334	0.00432879	0.0123341	0.0210952	0.0191576	0.0366938	0.0400434	0.0387786	0.0522416	0.0425657	0.0382973	0.03713	0.04543	0.0462058	0.0575562	0.0771823	0.0856692	0.0996499	0.113187	0.12887
a2	0.00205916	0.00299443	0.00880173	0.0130005	0.0124036	0.02834	0.0288356	0.0293311	0.0335615	0.0308197	0.0281097	0.0283836	0.0366634	0.0401247	0.0609743	0.0813897	0.0864413	0.108169	0.142449	0.197148
a54	0.00240786	0.00240278	0.00498592	0.00880371	0.00956191	0.0242755	0.0299437	0.0332578	0.0346543	0.0315278	0.0275872	0.0192075	0.0240567	0.0285344	0.0372143	0.0510797	0.0604389	0.097338	0.16762	0.305102
a15	0.00627088	0.00720997	0.0176254	0.0194338	0.0219322	0.0378934	0.0443152	0.0386217	0.027338	0.0292602	0.0226204	0.0177435	0.0219523	0.0222437	0.0235971	0.0349722	0.0476983	0.0932036	0.16683	0.299238
a36	0.00521796	0.00533311	0.013039	0.0146525	0.0168973	0.0313607	0.0351382	0.0323373	0.026502	0.0285823	0.0259193	0.0218418	0.0257077	0.0275821	0.0243457	0.0343363	0.0474132	0.0896231	0.168038	0.326133
a2	0.00283279	0.00190031	0.00406144	0.007213	0.00820112	0.0210816	0.0275856	0.0302133	0.0284241	0.033187	0.0381346	0.021894	0.0235677	0.0241197	0.0195268	0.0255053	0.038204	0.0811216	0.1666	0.396626
a40	0.00400347	0.00201534	0.002958	0.00387813	0.00383726	0.00924305	0.0120514	0.0114201	0.0111705	0.0100152	0.0101063	0.00586766	0.00705388	0.00778411	0.00889552	0.0148496	0.0289198	0.0870652	0.219244	0.539621
a6	0.00701038	0.00342266	0.00386722	0.00507983	0.00641809	0.0160688	0.0225839	0.0283189	0.0288187	0.0329677	0.0367875	0.0231635	0.0255133	0.0246563	0.0198455	0.0249613	0.0360554	0.0799259	0.173259	0.401276
a36	0.00096001	0.000578655	0.00161688	0.00347236	0.00555997	0.0225816	0.0319585	0.0353816	0.0331795	0.0414819	0.0500302	0.0258667	0.0299494	0.0288694	0.022987	0.0271925	0.0422825	0.0880599	0.16242	0.345572
a26	0.00257311	0.00160656	0.00446425	0.008647	0.00909192	0.0307517	0.037498	0.0321365	0.0277162	0.0296697	0.0318032	0.0113365	0.0136534	0.0168845	0.0175405	0.0252259	0.0474813	0.102624	0.176802	0.372494
a61	0.0271542	0.0168717	0.0277706	0.035524	0.0308723	0.0596773	0.0592294	0.041461	0.0424077	0.0406313	0.0455393	0.0272556	0.0351876	0.0344696	0.0348374	0.0427199	0.0569494	0.0805981	0.104753	0.156091
a21	0.00224125	0.00157407	0.00432508	0.00745707	0.00898718	0.0273965	0.0332138	0.0336569	0.0299612	0.0332122	0.0361572	0.0169163	0.0194053	0.0206985	0.0272684	0.0370407	0.0574101	0.114289	0.16794	0.32085
a85	0.00208932	0.00235152	0.00468168	0.00748508	0.00909521	0.0202744	0.0241577	0.0245993	0.0193685	0.0239471	0.0259912	0.0157073	0.019997	0.020034	0.0220565	0.0321335	0.0558633	0.127423	0.188019	0.354726
a47	0.000819194	0.000769911	0.00279627	0.00643883	0.0093137	0.0319562	0.0409777	0.0420053	0.0344807	0.0427961	0.0532736	0.0303705	0.0345318	0.0297014	0.0254417	0.0277409	0.0490758	0.102163	0.14936	0.285987
a56	0.000602856	0.000440909	0.00203358	0.00643243	0.00908008	0.0465995	0.0621751	0.0523416	0.0370157	0.0438697	0.0477625	0.0171194	0.0176249	0.0177642	0.0140099	0.0172878	0.0406203	0.0966255	0.147615	0.322979
a94	0.000932492	0.000829614	0.00352647	0.0067611	0.00855533	0.0356844	0.0508369	0.0533297	0.0424305	0.0499146	0.0561322	0.0232812	0.0266028	0.0251478	0.0211166	0.0270297	0.0490227	0.106971	0.138366	0.273528
a66	0.0024349	0.00222914	0.0081947	0.0173851	0.0208831	0.0569202	0.0620367	0.0458569	0.0369449	0.0388633	0.0408871	0.0187137	0.0208627	0.0218199	0.0212978	0.0268533	0.0459816	0.0936521	0.138586	0.279597
a38	0.0234969	0.017779	0.026198	0.0391576	0.0343312	0.0686056	0.0674548	0.0472914	0.0465876	0.0417051	0.0411531	0.0244667	0.0295102	0.0283678	0.0381726	0.0478803	0.0611448	0.0819113	0.0955795	0.139206
a30	0.0145838	0.0115635	0.0137289	0.0239179	0.0212714	0.0400814	0.0372635	0.0308746	0.0373052	0.0345164	0.033534	0.0205049	0.0229606	0.0235831	0.039029	0.0513662	0.0749824	0.110501	0.138509	0.219923
a87	0.0663791	0.0526068	0.0455099	0.0381287	0.0223081	0.031608	0.0258858	0.0227637	0.0260269	0.0233053	0.0226297	0.0199819	0.02626	0.0256248	0.0416891	0.0567137	0.0705464	0.0947044	0.116936	0.170391
a23	0.0714101	0.0463224	0.038226	0.0222078	0.012639	0.0177046	0.016488	0.0150055	0.0205865	0.0223568	0.02574	0.0316403	0.0509156	0.0442538	0.0515649	0.0632701	0.0736203	0.0944354	0.112462	0.169151
a87	0.0208739	0.0100679	0.00724376	0.00650721	0.00493911	0.0117953	0.0141403	0.0175304	0.0332626	0.0348113	0.0369718	0.0430398	0.0585023	0.054619	0.058913	0.0653203	0.0941497	0.122451	0.143785	0.161076
a23	0.00954142	0.00606327	0.00668892	0.00626262	0.00475316	0.0127855	0.0127871	0.0130703	0.0193805	0.0161507	0.0183241	0.0243033	0.0292258	0.0280531	0.038364	0.0456093	0.0686674	0.125726	0.207459	0.306785
a87	0.00984047	0.00743633	0.00842928	0.00803236	0.00649726	0.0162908	0.0189097	0.0215965	0.0386065	0.0374716	0.0385797	0.0551349	0.0584245	0.0550497	0.0654626	0.0623764	0.0872606	0.117886	0.143861	0.142854
</S>	0.00883429	0.00575485	0.00626711	0.00555001	0.00433625	0.0128361	0.0135774	0.014749	0.0243136	0.0213883	0.0271307	0.0353112	0.0388022	0.0344837	0.0443563	0.0462123	0.0722221	0.123928	0.192879	0.267067
