 	sa	manière	de	réveiller	le	malade	inquiète	les	gens	</S>
a75	0.00862784	0.00626274	0.0116496	0.0198338	0.0470708	0.080009	0.174916	0.219366	0.199318	0.232947
a79	0.00133112	0.000973769	0.00246727	0.00589659	0.0315545	0.0748133	0.180364	0.242307	0.223201	0.237091
a69	0.000779494	0.000708474	0.00186284	0.00521063	0.0228733	0.0593876	0.173634	0.274105	0.247436	0.214003
a58	0.00128381	0.00137466	0.00282754	0.00531071	0.0191549	0.0434095	0.138022	0.261526	0.281251	0.24584
a90	0.00115617	0.000568842	0.000830364	0.001543	0.00549229	0.0116737	0.0380549	0.123885	0.277603	0.539193
a56	0.00111484	0.000947579	0.00195173	0.00325811	0.0092449	0.020297	0.0593251	0.18136	0.314676	0.407825
a61	0.000597699	0.000313226	0.000656058	0.00130439	0.00513327	0.0140727	0.043073	0.139049	0.294497	0.501304
a12	0.000459254	0.000192264	0.0003651	0.000781565	0.0037409	0.00835541	0.026038	0.0936221	0.278785	0.587661
a96	0.000179917	8.72575e-05	0.000161607	0.000465786	0.00194592	0.00482292	0.0165387	0.0684056	0.264513	0.642879
a88	0.000162647	8.23038e-05	0.000160708	0.000354478	0.00189126	0.00483231	0.0165326	0.0720404	0.27221	0.631733
a71	0.000261144	0.000131194	0.000215499	0.000409712	0.00248271	0.00642252	0.0203434	0.0849844	0.31172	0.573029
a9	0.00499736	0.00250663	0.00263469	0.00246087	0.00832451	0.0156697	0.0369255	0.118091	0.318882	0.489507
a87	0.020052	0.00876131	0.0110188	0.0108949	0.0229287	0.0313183	0.0560192	0.126116	0.28998	0.422911
a23	0.160703	0.0664004	0.0516028	0.0335297	0.0379156	0.0418071	0.0628553	0.11556	0.197547	0.232079
a50	0.100516	0.0356854	0.0181742	0.011242	0.0144037	0.0217103	0.0428184	0.116013	0.253262	0.386175
a62	0.00305096	0.00146136	0.00211867	0.00373908	0.00605609	0.013239	0.0417092	0.138476	0.31008	0.480069
a12	0.000392586	0.000217325	0.000425601	0.00126738	0.00359864	0.0137022	0.0533159	0.142603	0.301191	0.483286
a96	0.000235419	0.000146584	0.000294188	0.000980094	0.00274552	0.00897358	0.0360829	0.120046	0.291865	0.53863
a18	0.000219624	0.000138644	0.000299198	0.0010243	0.00311073	0.0104659	0.0422108	0.124949	0.283759	0.533822
a75	0.000173365	0.000120602	0.000262777	0.000827886	0.00275915	0.00760467	0.0306272	0.106912	0.283539	0.567174
a56	2.20777e-05	2.1563e-05	6.80328e-05	0.00058894	0.00234404	0.00612649	0.0267166	0.106806	0.285434	0.571873
a44	5.6457e-05	3.94882e-05	9.98473e-05	0.000398687	0.0016952	0.00552341	0.0272418	0.104817	0.267776	0.592352
a98	4.98772e-05	3.42938e-05	7.67345e-05	0.000229948	0.00106325	0.00339571	0.0154153	0.0757566	0.250745	0.653234
a47	1.19921e-05	9.41262e-06	2.5743e-05	0.000197251	0.000776473	0.00203226	0.00920133	0.0479078	0.21851	0.721328
a85	2.34306e-05	1.96383e-05	5.43027e-05	0.000588986	0.00155931	0.00399431	0.0181666	0.0740474	0.242376	0.65917
a47	3.27635e-05	1.83495e-05	4.47974e-05	0.000299598	0.000934452	0.00252479	0.0130567	0.0620137	0.232123	0.688952
a7	3.57797e-05	2.40372e-05	6.57126e-05	0.000634063	0.0012611	0.00283296	0.014494	0.0636655	0.237594	0.679392
a26	0.000227437	0.000130479	0.000244984	0.000678605	0.00176886	0.00290778	0.0109194	0.05435	0.259215	0.669557
a7	0.0327039	0.0115345	0.0124556	0.0109973	0.018269	0.0280969	0.0563016	0.129022	0.302587	0.398032
a84	0.0217796	0.00835284	0.00898944	0.0120896	0.017468	0.0253741	0.0518039	0.114234	0.286419	0.45349
a87	0.127368	0.0487902	0.043751	0.0411883	0.0386601	0.0457801	0.0704662	0.116942	0.205304	0.261751
a23	0.289329	0.134017	0.0690245	0.0336221	0.02055	0.021716	0.034359	0.064518	0.135502	0.197363
a87	0.0993106	0.0432144	0.0173671	0.00875138	0.0101408	0.0141864	0.0297138	0.0897156	0.235359	0.452241
a23	0.011361	0.00489566	0.00332204	0.0057322	0.00732428	0.0108468	0.0384324	0.111761	0.253509	0.552816
</S>	0.0249458	0.0123575	0.00649652	0.00479342	0.00585938	0.0109522	0.0379395	0.108802	0.251174	0.536679
