 	nous	avons	comblé	les	trous	qui	étaient	au	milieu	de	la	route	</S>
a0	0.101096	0.0934787	0.179201	0.144154	0.146555	0.123971	0.0717499	0.0443748	0.0249701	0.0170091	0.0152812	0.01782	0.0203382
a75	0.0543332	0.0574706	0.102739	0.123073	0.16658	0.168078	0.10259	0.0660668	0.0412699	0.0289033	0.0260745	0.0288619	0.0339593
a85	0.030037	0.034185	0.0580393	0.10384	0.141708	0.132833	0.0843531	0.0683291	0.0684068	0.0621638	0.061822	0.0711301	0.0831525
a6	0.0219141	0.0253078	0.0500543	0.0831178	0.118352	0.11801	0.0716396	0.0668341	0.0865068	0.0875222	0.0857898	0.0871225	0.0978285
a37	0.0156202	0.0179578	0.031894	0.0636234	0.136963	0.178373	0.129836	0.102187	0.0897568	0.0637818	0.0541415	0.0555343	0.0603307
a21	0.0126962	0.0132006	0.017034	0.0397553	0.11603	0.154663	0.13178	0.110315	0.102734	0.0755735	0.0648576	0.0720707	0.089289
a85	0.0152939	0.0165837	0.0171993	0.038611	0.0793673	0.0892784	0.0869536	0.0886189	0.117583	0.123843	0.108887	0.104993	0.112788
a92	0.00598159	0.00656979	0.00792606	0.0166079	0.0434012	0.053916	0.0563637	0.0642833	0.106843	0.131922	0.148743	0.169427	0.188015
a98	0.00469167	0.00543609	0.00607485	0.0119958	0.0340238	0.0479925	0.0632734	0.0827792	0.135684	0.152004	0.146335	0.150741	0.158969
a85	0.00607267	0.00702464	0.0115305	0.0181025	0.0445587	0.0701294	0.0932251	0.0964321	0.132235	0.118693	0.111483	0.131107	0.159406
a6	0.00542159	0.00598517	0.00659193	0.0108263	0.0301492	0.0492753	0.0659448	0.080137	0.11624	0.126742	0.132784	0.164967	0.204936
a56	0.00644744	0.0066799	0.0070123	0.0099072	0.0209422	0.032902	0.0527146	0.0718502	0.123856	0.127747	0.121178	0.169504	0.249259
a43	0.0047904	0.00430495	0.00264806	0.00577215	0.0164393	0.0232241	0.0325382	0.0489818	0.098901	0.148493	0.164819	0.196028	0.25306
a90	0.00373718	0.00259134	0.00200815	0.00252024	0.00629285	0.0114086	0.0147708	0.0226165	0.04736	0.0866816	0.130309	0.248192	0.421512
a15	0.00683511	0.00319798	0.00303167	0.002722	0.0040141	0.00607313	0.0088835	0.0150918	0.0318531	0.0582739	0.0993605	0.256696	0.503967
a69	0.0170728	0.00629285	0.00589133	0.00532231	0.00777822	0.0091083	0.0111803	0.0225045	0.0449439	0.0770423	0.117503	0.246855	0.428506
a44	0.00186038	0.00112494	0.000903503	0.00108644	0.00208937	0.00377659	0.00585696	0.0107865	0.0273235	0.0621578	0.111771	0.277861	0.493403
a4	0.0010366	0.00060733	0.000526895	0.000590858	0.00121223	0.0022633	0.0038982	0.00814539	0.020467	0.0451665	0.0915349	0.280916	0.543635
a44	0.000826794	0.000507485	0.000481935	0.000583886	0.00113478	0.00184104	0.00308052	0.00684051	0.0191146	0.0446436	0.0928673	0.284558	0.54352
a26	0.000736142	0.000458356	0.000358133	0.000493495	0.00109755	0.00200277	0.00350063	0.00793438	0.0220774	0.049577	0.10032	0.284156	0.527288
a84	0.0128499	0.00793605	0.00523832	0.00482724	0.00815945	0.00892981	0.0190005	0.0400527	0.071339	0.0973632	0.141429	0.246516	0.336359
a57	0.110964	0.0459848	0.032999	0.0318163	0.0385467	0.0343935	0.0572862	0.0789615	0.089735	0.0880684	0.0998536	0.128884	0.162507
a84	0.124398	0.0506354	0.0434505	0.0471918	0.0364107	0.0368564	0.047758	0.0551811	0.068065	0.0793118	0.0949129	0.134027	0.181801
a57	0.0799732	0.0262167	0.0213386	0.0256006	0.0267204	0.0295919	0.0372209	0.0469575	0.0709045	0.0969944	0.122982	0.179713	0.235786
a82	0.0732035	0.0261224	0.0270355	0.0282116	0.0286489	0.0370227	0.0513187	0.0584472	0.079544	0.0982056	0.107769	0.15433	0.23014
</S>	0.074737	0.0273925	0.033532	0.0366751	0.0468562	0.0618785	0.0760993	0.0720009	0.0760267	0.0775518	0.0808729	0.12349	0.212887
