 	la	manière	dont	il	se	gave	d'	oseille	montre	qu'	il	meurt	de	faim	</S>
a36	0.0213809	0.0164607	0.0131485	0.017205	0.0338914	0.0654525	0.124963	0.164363	0.125164	0.0429471	0.0242951	0.0230153	0.0529945	0.0974185	0.177301
a61	0.0216493	0.0175926	0.0158548	0.0199282	0.0398371	0.0790538	0.118342	0.132559	0.0963504	0.0313913	0.0175935	0.0172135	0.0551306	0.110121	0.227382
a21	0.0095051	0.00769419	0.0071383	0.0127289	0.032924	0.0740823	0.114491	0.133886	0.0897878	0.0293769	0.0163478	0.0240902	0.0685607	0.123256	0.256132
a12	0.00938236	0.00766431	0.0069678	0.0132184	0.0334928	0.0696097	0.105955	0.136121	0.0903148	0.0381786	0.0249259	0.0333938	0.0895385	0.13973	0.201508
a88	0.0106191	0.00984459	0.00949616	0.0159508	0.0371962	0.0739707	0.0955566	0.119929	0.0887218	0.0344018	0.0191946	0.0307133	0.0780562	0.132969	0.24338
a71	0.0105524	0.0108489	0.0122296	0.0150394	0.031066	0.0540041	0.0614357	0.0760757	0.0586522	0.0250816	0.0168953	0.0353246	0.0889493	0.171763	0.332082
a25	0.0156971	0.0196481	0.0256468	0.0330523	0.0564547	0.0926712	0.0882064	0.0887553	0.0688621	0.0307146	0.0170231	0.0323938	0.0735704	0.125479	0.231825
a87	0.0200078	0.0206647	0.0244289	0.0294624	0.0440089	0.061083	0.0597962	0.0665295	0.0551509	0.0315879	0.019522	0.0427198	0.0953283	0.183517	0.246193
a40	0.0231674	0.0222832	0.0226546	0.0258328	0.0373089	0.047506	0.0534646	0.0641008	0.0528261	0.0316104	0.0281994	0.0600385	0.117867	0.192154	0.220986
a6	0.000747522	0.000560445	0.0005982	0.00111408	0.00249844	0.00648771	0.00974933	0.0140754	0.0133739	0.0109059	0.0121453	0.0625999	0.156702	0.274224	0.434218
a37	0.00050319	0.000442626	0.000521911	0.00096736	0.00244324	0.00630525	0.013282	0.0199714	0.0176125	0.0113829	0.0111084	0.031883	0.104466	0.261647	0.517463
a96	0.000281193	0.00023389	0.000281366	0.000554489	0.00155242	0.00435167	0.00913261	0.0137467	0.0114448	0.00584843	0.00511271	0.0192048	0.0770041	0.235615	0.615636
a83	0.000768232	0.000705421	0.000858464	0.00163159	0.00378813	0.00747941	0.00895848	0.01286	0.0122839	0.0066145	0.00565174	0.0275856	0.0909721	0.237402	0.582441
a61	0.00163094	0.00154142	0.00191763	0.00263357	0.00489033	0.00758033	0.00780766	0.0100707	0.0100992	0.00689491	0.00802951	0.0366684	0.105467	0.242246	0.552522
a75	0.000455766	0.000475027	0.000631309	0.00104499	0.00208268	0.00389311	0.00477333	0.0067294	0.00697877	0.00430241	0.00483271	0.0294378	0.0923448	0.229671	0.612347
a92	0.000409431	0.000371185	0.000464929	0.000972097	0.0024074	0.00642266	0.0116928	0.0171854	0.0187411	0.0112478	0.0118176	0.0372884	0.0991748	0.238119	0.543686
a61	0.000343427	0.000305973	0.00037412	0.000641378	0.00144549	0.0036756	0.00788098	0.0127135	0.0129952	0.00757226	0.00797793	0.0254058	0.0828495	0.240678	0.59514
a75	0.00123093	0.00127521	0.0013882	0.00213957	0.00383272	0.00708535	0.00948704	0.014201	0.0140192	0.00808316	0.00770696	0.0238858	0.0789808	0.211532	0.615153
a6	0.000462554	0.000374087	0.00039922	0.000731733	0.00151582	0.00462611	0.00887112	0.0148188	0.0164656	0.00937288	0.00985495	0.0287803	0.0855056	0.227466	0.590755
a36	0.000298882	0.000213201	0.000195701	0.000346844	0.000763179	0.00228913	0.00513421	0.00974149	0.0101055	0.00489573	0.00497706	0.0149397	0.0632122	0.209323	0.673564
a2	0.000992541	0.000775909	0.000684554	0.000999167	0.00176944	0.00418246	0.00564421	0.00693724	0.00664159	0.00380738	0.00552811	0.0265571	0.105766	0.243975	0.585739
a57	0.0871889	0.0706838	0.040128	0.0378478	0.041438	0.0544367	0.0571151	0.0598894	0.0574504	0.0439699	0.0573269	0.0582887	0.0766115	0.0956057	0.162019
a87	0.178031	0.112857	0.0485118	0.0343423	0.0312593	0.0435312	0.0498615	0.0647803	0.0623373	0.0527477	0.0586055	0.0540696	0.0617058	0.0689272	0.0784323
a23	0.152295	0.100177	0.0434934	0.0275252	0.0212195	0.0283881	0.0348482	0.0552025	0.0634878	0.0802189	0.09104	0.0835544	0.0772081	0.0727329	0.0686091
a87	0.0342486	0.0243357	0.013997	0.00997158	0.00926233	0.0149655	0.0242686	0.0438593	0.0429866	0.054091	0.0930489	0.131509	0.149297	0.183934	0.170225
</S>	0.00375154	0.00271518	0.00195297	0.00201146	0.00249001	0.00547547	0.00937412	0.0188787	0.0213302	0.0210991	0.0308133	0.0653956	0.140107	0.311483	0.363122
