 	son	ami	l'	a	frappé	parce	qu'	il	ne	sait	pas	tenir	sa	langue	</S>
a12	0.00458059	0.00359377	0.00450777	0.00543612	0.00675076	0.013128	0.0223627	0.0374776	0.0391201	0.0580972	0.0847172	0.122298	0.151922	0.195471	0.250537
a18	0.00151286	0.0011774	0.00156661	0.00199879	0.00301239	0.00802796	0.0139343	0.0237583	0.0252948	0.0418391	0.0643533	0.116677	0.154183	0.231033	0.311631
a96	0.00123057	0.000837919	0.000963942	0.0010998	0.00139548	0.00351406	0.00591171	0.0110779	0.0118275	0.023447	0.0382517	0.0839538	0.148022	0.284399	0.384068
a62	0.000584785	0.000442803	0.000630651	0.000811005	0.00127859	0.0035672	0.0058807	0.0105531	0.0119459	0.0208261	0.0337138	0.065534	0.120393	0.269976	0.453862
a61	0.000655041	0.000507951	0.000669284	0.00084893	0.00129844	0.0040747	0.00702796	0.0120943	0.0120242	0.0211946	0.0334855	0.0740129	0.116051	0.267908	0.448147
a62	0.000322387	0.000262071	0.000372581	0.000481727	0.000769521	0.00234681	0.00416842	0.00780111	0.00831411	0.0154402	0.0251759	0.0591202	0.111698	0.275688	0.488039
a47	0.000650894	0.000513724	0.000710511	0.000882389	0.00138866	0.00404762	0.00649247	0.00993089	0.00939851	0.0171455	0.0275915	0.0666202	0.112242	0.280368	0.462017
a88	0.000916514	0.00067747	0.000928231	0.00112096	0.00168676	0.00552118	0.00839209	0.0121386	0.0116665	0.0208938	0.0350321	0.0741119	0.12676	0.280255	0.419899
a71	0.000394615	0.000266477	0.000363488	0.00045156	0.000673018	0.00253971	0.00454821	0.00718971	0.00666045	0.0132539	0.0230764	0.0615173	0.114575	0.282125	0.482365
a9	0.00344441	0.00220693	0.00223218	0.00231261	0.00215204	0.00371665	0.00580645	0.00983285	0.0107909	0.0215344	0.034768	0.0722369	0.158876	0.282826	0.387264
a3	0.01805	0.011383	0.00977921	0.00922419	0.00820036	0.0120939	0.0154382	0.0221963	0.0251108	0.0407794	0.0549057	0.0824343	0.16674	0.232164	0.291501
a97	0.0243079	0.0149962	0.0118746	0.0103557	0.00940409	0.0142032	0.018495	0.0242081	0.030535	0.0521642	0.0710196	0.107659	0.192679	0.202079	0.21602
a3	0.033008	0.0209253	0.0165716	0.0142755	0.012792	0.019739	0.0271859	0.031844	0.0401695	0.0662942	0.0794617	0.10788	0.168895	0.181158	0.1798
</S>	0.0540433	0.0304132	0.0227268	0.0186485	0.0166941	0.0265387	0.0341038	0.0306592	0.0343212	0.0532941	0.0569635	0.0823305	0.149174	0.185827	0.204262
