 	les	gens	du	village	sont	accourus	en	foule	pour	le	voir	</S>
a41	0.0114545	0.0142736	0.0185279	0.0240648	0.0227374	0.0290807	0.0285407	0.043609	0.0925032	0.197847	0.230743	0.286619
a24	0.015645	0.0190132	0.0240674	0.0306141	0.0301944	0.0307102	0.0318787	0.0487891	0.102997	0.201723	0.215624	0.248744
a26	0.00699631	0.00783738	0.00941424	0.0133819	0.0145217	0.0262775	0.0243076	0.0296246	0.0562247	0.137853	0.234396	0.439166
a83	0.0064843	0.00794253	0.0100249	0.0163514	0.0224358	0.0299327	0.0294375	0.0320995	0.0662826	0.151753	0.246536	0.38072
a25	0.00624591	0.0079665	0.0114067	0.0235899	0.028602	0.0393051	0.0293693	0.0296413	0.0540311	0.113613	0.213857	0.442372
a87	0.00489432	0.0065992	0.0097986	0.0187032	0.020493	0.0188892	0.0141001	0.0174141	0.0422294	0.116896	0.238028	0.491955
a23	0.0109511	0.00954948	0.00976771	0.0108126	0.00930175	0.00806471	0.00756072	0.0118231	0.0336455	0.127526	0.303684	0.457314
a24	0.0270022	0.024634	0.0282434	0.0276368	0.0197356	0.0185512	0.0163622	0.0184839	0.0429996	0.127647	0.280888	0.367816
a25	0.00580142	0.00640396	0.00901357	0.0157834	0.0169417	0.0229518	0.0242372	0.0389184	0.0800448	0.139477	0.228862	0.411564
a38	0.00367633	0.00442665	0.00686829	0.0127374	0.012958	0.0133524	0.0120287	0.0178823	0.040452	0.107285	0.249635	0.518698
a30	0.00235179	0.00269445	0.00408956	0.0079485	0.00980371	0.0118866	0.0130556	0.0250191	0.0561691	0.13148	0.236815	0.498686
a35	0.00148546	0.00212793	0.00388862	0.00828527	0.010536	0.0121473	0.0135901	0.0244817	0.0543677	0.125924	0.236061	0.507105
a14	0.00334291	0.00438934	0.00765932	0.0136767	0.0147797	0.0159072	0.0169425	0.0315885	0.0705739	0.148912	0.225734	0.446493
a73	0.00234668	0.0031861	0.00578672	0.0110028	0.0145923	0.0192359	0.0212844	0.0405303	0.0934912	0.180092	0.226412	0.38204
a69	0.00231028	0.0031263	0.00546514	0.0110681	0.0145341	0.019619	0.0195595	0.0345573	0.0811783	0.177141	0.234975	0.396466
a20	0.00237299	0.00338964	0.00649078	0.0119851	0.0127085	0.0158613	0.0171032	0.0308982	0.0768852	0.179031	0.254705	0.388569
a84	0.00290807	0.0045605	0.00918977	0.0174699	0.0174789	0.0250054	0.0247159	0.0361561	0.0763021	0.160632	0.238697	0.386885
a57	0.00782201	0.0105637	0.0172171	0.0268598	0.0246294	0.0246307	0.0215412	0.0232722	0.0400569	0.0911087	0.222157	0.490141
a87	0.0528831	0.0564915	0.063396	0.0626463	0.0486542	0.0318631	0.0209179	0.0152281	0.0269082	0.0759172	0.19641	0.348684
</S>	0.0538137	0.0516778	0.0618943	0.0643087	0.0561526	0.0365239	0.0313899	0.0263328	0.0436197	0.0982764	0.201945	0.274065
