 	le	lingala	et	le	munukutuba	sont	deux	langues	du	congo	</S>
a88	0.0139807	0.0133346	0.0190159	0.03169	0.0608218	0.0700726	0.0920827	0.100444	0.127783	0.17074	0.300035
a61	0.00453009	0.00570705	0.00871398	0.0145134	0.0308618	0.0397196	0.0577617	0.0701564	0.109622	0.191881	0.466534
a47	0.00435066	0.00535323	0.00884294	0.0149653	0.0312468	0.0406165	0.0578151	0.0711796	0.109914	0.194169	0.461546
a34	0.00302858	0.00397807	0.00732731	0.0146186	0.0301398	0.0380855	0.0553037	0.0718896	0.114506	0.194204	0.466919
a98	0.00212318	0.00312475	0.0053939	0.0092638	0.0193352	0.0257832	0.0414536	0.0572037	0.0999459	0.192552	0.543821
a44	0.00351123	0.00432224	0.0070132	0.01071	0.020348	0.0289741	0.0438474	0.0588003	0.112364	0.184191	0.525918
a57	0.000719796	0.00108134	0.00195467	0.00342178	0.00805055	0.0115595	0.0211675	0.0312474	0.0704446	0.162532	0.687821
a4	0.00126839	0.00160747	0.00241598	0.00422581	0.0096857	0.0145992	0.0280757	0.0499938	0.0845874	0.177161	0.626379
a70	0.000403314	0.000793272	0.00147699	0.00278282	0.00603341	0.00925422	0.0188204	0.0358378	0.0705735	0.176115	0.677909
a83	0.000373357	0.000785412	0.00146653	0.00271609	0.00602461	0.00873027	0.0179207	0.0312397	0.0743018	0.167415	0.689027
a13	0.000687339	0.00134614	0.00248376	0.00448775	0.00996106	0.0137092	0.0278432	0.0450668	0.0937041	0.196495	0.604216
a99	0.00246378	0.00299904	0.00526493	0.00802928	0.0158829	0.0217781	0.0411642	0.0703959	0.122514	0.221595	0.487913
a97	0.0108604	0.00749257	0.0096911	0.010568	0.0181797	0.0259067	0.0572848	0.105251	0.138599	0.22133	0.394838
a87	0.0482992	0.0246238	0.0270703	0.0268212	0.04159	0.0596082	0.096318	0.127269	0.129455	0.178584	0.240361
a23	0.0644096	0.0398128	0.0544055	0.0665159	0.0863861	0.103647	0.103572	0.109563	0.0928954	0.120065	0.158727
a87	0.063694	0.0311024	0.0362891	0.0342162	0.0465079	0.0523327	0.0538108	0.0670664	0.111977	0.188576	0.314428
</S>	0.0330369	0.0246812	0.0331551	0.029748	0.0357222	0.0381091	0.0431402	0.0542693	0.101393	0.194954	0.41179
