 	nous	avons	fait	une	collecte	d'	argent	en	vue	d'	apporter	une	assistance	à	notre	ami	qui	est	hospitalisé	</S>
a83	0.00249591	0.00190444	0.00194809	0.00203548	0.00305051	0.0104648	0.0214703	0.0258157	0.0205065	0.0385195	0.0499856	0.0454394	0.0461653	0.0937939	0.116888	0.107378	0.0818418	0.0714229	0.087474	0.171401
a53	0.00349687	0.00242822	0.00221452	0.00221067	0.00285634	0.00797427	0.0147218	0.0209606	0.0185691	0.030048	0.047441	0.0469804	0.0482727	0.0882285	0.0996905	0.100357	0.0842937	0.0778233	0.103888	0.197545
a79	0.00191926	0.00123697	0.00130419	0.00164596	0.00281633	0.00768826	0.012014	0.0129493	0.0121997	0.0207177	0.0353003	0.0429701	0.0512163	0.085347	0.0940488	0.101718	0.0960682	0.0959071	0.124072	0.198861
a44	0.000856398	0.000633737	0.000823785	0.00131683	0.0026122	0.00734135	0.0116665	0.0111273	0.0100615	0.0174998	0.0288804	0.0436582	0.0710945	0.0794298	0.0894897	0.105876	0.105054	0.102689	0.114438	0.195451
a4	0.000551524	0.000363353	0.000381689	0.000446059	0.000674045	0.00247896	0.00459518	0.00622078	0.00513913	0.0091471	0.0131862	0.0189957	0.0298327	0.0840726	0.110188	0.143325	0.123015	0.105146	0.124583	0.217659
a13	0.000508343	0.000280857	0.000304792	0.000408193	0.000805855	0.00270159	0.00503191	0.00621256	0.00581212	0.0104487	0.0140558	0.0250617	0.0373751	0.0967616	0.11516	0.149088	0.122739	0.105495	0.118005	0.183745
a50	0.000272976	0.000144535	0.000150158	0.000187991	0.000287624	0.00118154	0.00239159	0.00303976	0.00244751	0.00445193	0.00725966	0.0141568	0.0227395	0.0727448	0.0958663	0.128497	0.117929	0.111174	0.145135	0.269942
a12	0.000370545	0.000144033	0.000151928	0.000220586	0.000316526	0.000852935	0.00141228	0.0013198	0.00104242	0.00190101	0.00413296	0.00812568	0.0174078	0.0798793	0.10238	0.128744	0.125823	0.122761	0.159539	0.243475
a5	0.000505108	0.000250864	0.000278398	0.000406772	0.000583411	0.00116474	0.00172493	0.00158828	0.00120174	0.00225635	0.00569428	0.00996334	0.0180507	0.0696891	0.0875543	0.117104	0.111025	0.108251	0.161739	0.300969
a6	0.00052765	0.000262992	0.000273844	0.000382295	0.000563853	0.00140731	0.00230217	0.00224029	0.00165868	0.00284199	0.00684181	0.012106	0.0208916	0.0687542	0.086157	0.113648	0.109364	0.102702	0.16661	0.300464
a36	7.56882e-05	4.51904e-05	5.29026e-05	6.67623e-05	0.00011051	0.000365665	0.00059538	0.000481814	0.00039732	0.000966629	0.00268797	0.00741001	0.0133576	0.041472	0.0594853	0.0973988	0.101896	0.0992036	0.159208	0.414722
a26	0.000252763	0.000128541	0.000127702	0.000121004	0.000159018	0.000586694	0.00126968	0.00121586	0.000928401	0.00177801	0.00401892	0.00963153	0.0155601	0.0497239	0.0736244	0.0934052	0.105934	0.102648	0.170154	0.368732
a38	0.00126954	0.000541031	0.000423798	0.000313363	0.000408602	0.00155515	0.00358259	0.00281945	0.00215711	0.00252697	0.00403027	0.00939894	0.0179923	0.058544	0.0873832	0.109613	0.129363	0.127093	0.167609	0.273375
a83	0.00148772	0.000746879	0.000601913	0.000446037	0.000469348	0.0010708	0.00174778	0.00142786	0.00135522	0.00161592	0.0031946	0.00807804	0.0166789	0.0477097	0.0680333	0.10729	0.141693	0.142447	0.201692	0.252214
a71	0.000457168	0.000220246	0.000199945	0.000177672	0.000241826	0.000674933	0.00118295	0.00122345	0.00121079	0.00192163	0.00355692	0.00974306	0.0138405	0.0399802	0.0588526	0.0965743	0.117336	0.115836	0.194447	0.342323
a83	0.000435301	0.000218207	0.000194774	0.000156865	0.000191568	0.000444023	0.00073613	0.000590556	0.000585127	0.000843461	0.00156574	0.00430941	0.00981225	0.0323298	0.0500525	0.0866007	0.124456	0.125564	0.223069	0.337845
a71	0.000289208	0.000153785	0.000156886	0.000157019	0.000245055	0.000603691	0.00106492	0.000830895	0.000696165	0.00120713	0.00242005	0.00695793	0.0129741	0.0454784	0.0678868	0.104437	0.114815	0.112059	0.168882	0.358685
a88	0.000374966	0.000203774	0.000199599	0.000189217	0.00025321	0.000722331	0.00120624	0.000921898	0.000748379	0.000980702	0.00177458	0.00379211	0.00927619	0.0306304	0.0495538	0.0835205	0.11702	0.119066	0.216476	0.36309
a9	0.000186391	0.000109397	0.000120211	0.000123642	0.000217013	0.000691866	0.0010356	0.000682013	0.000503362	0.000678733	0.00126597	0.00322527	0.00769086	0.0316124	0.0538749	0.0911226	0.115292	0.117357	0.194919	0.379291
a84	0.00128344	0.000582514	0.000483563	0.000420094	0.000529741	0.00105085	0.00173686	0.00152534	0.00146322	0.00186725	0.00252519	0.00437945	0.0117792	0.0453833	0.0620483	0.0952716	0.142534	0.152821	0.237724	0.234591
a4	0.0108875	0.00587343	0.00452684	0.00366671	0.00374473	0.00620754	0.00837408	0.0108332	0.010312	0.00973375	0.00867407	0.0117425	0.0204494	0.0584996	0.0714293	0.109588	0.144133	0.177968	0.179832	0.143525
a13	0.0007837	0.000350432	0.000363881	0.000392864	0.000620127	0.00105293	0.00159655	0.0014806	0.00162934	0.00338817	0.00606605	0.015198	0.0196903	0.0646901	0.0808586	0.112674	0.123588	0.117461	0.168383	0.279733
a38	0.000348796	0.000168001	0.000167714	0.000164813	0.000237492	0.00047462	0.00081688	0.000731172	0.000698932	0.00124328	0.00296254	0.00919538	0.0142149	0.044156	0.0630383	0.101849	0.123109	0.12063	0.18731	0.328484
a13	0.000348745	0.000183592	0.000186035	0.000191912	0.000300997	0.000615052	0.00102181	0.000845208	0.000745005	0.00134628	0.00324059	0.0100362	0.0162954	0.0552638	0.0719438	0.106482	0.120949	0.116576	0.177504	0.315925
a9	0.00038312	0.000194022	0.00019929	0.000191179	0.00030045	0.000799794	0.00130603	0.0010164	0.0008822	0.00147311	0.00337202	0.00932532	0.0133284	0.0447498	0.0665289	0.106227	0.119156	0.113833	0.172186	0.344547
a71	0.000251996	0.000125823	0.000122881	0.000106919	0.000152129	0.00030802	0.000501437	0.000341043	0.000304025	0.000471188	0.00111147	0.00372726	0.00989617	0.0390477	0.0605551	0.104139	0.142211	0.143286	0.215022	0.278319
a9	0.000755567	0.000416903	0.000409689	0.000348341	0.000465496	0.00069288	0.000995585	0.000633947	0.000545709	0.000844765	0.00180464	0.00536118	0.0126649	0.040954	0.0619157	0.105459	0.145116	0.145025	0.219508	0.256083
a38	0.00169452	0.000844888	0.000770248	0.000663014	0.000861132	0.00133945	0.00196496	0.00123821	0.00111664	0.00157253	0.0023243	0.00501572	0.0130312	0.0428966	0.0575198	0.0899651	0.134106	0.147503	0.24141	0.254163
a36	0.00174677	0.000994644	0.000982393	0.000809734	0.00106684	0.00135234	0.00162068	0.000913153	0.000891703	0.00147016	0.00286872	0.00736204	0.0140005	0.0424829	0.0635075	0.114631	0.157432	0.168081	0.210539	0.207247
a27	0.00109448	0.00062904	0.000656156	0.000548665	0.00083146	0.00108662	0.00130318	0.000648342	0.000634337	0.000997371	0.00215332	0.00599913	0.0106175	0.0399814	0.065663	0.124904	0.162759	0.165653	0.20281	0.21103
a87	0.00121824	0.000704398	0.000649958	0.000532036	0.000697851	0.000857974	0.00108898	0.000587884	0.000523937	0.000733513	0.00124037	0.00339142	0.00882458	0.0325331	0.0515467	0.107047	0.15555	0.164776	0.236914	0.230583
a23	0.00438193	0.00272574	0.00237007	0.00216264	0.00240579	0.00407158	0.00391803	0.00441389	0.00511355	0.00489568	0.00421082	0.00559983	0.0109103	0.0270458	0.0476377	0.107819	0.159838	0.203402	0.211253	0.185824
a87	0.00655067	0.00383944	0.00461635	0.00598618	0.00859622	0.0140958	0.0123468	0.0101097	0.0117744	0.0110677	0.0117776	0.0197411	0.0411022	0.0562652	0.0773663	0.0895408	0.114005	0.151255	0.135508	0.214455
</S>	0.00952419	0.00771147	0.00771587	0.00806838	0.0103632	0.0140664	0.0104671	0.0120829	0.014434	0.0107508	0.0106013	0.0115249	0.0245089	0.0352977	0.0630914	0.0917389	0.123448	0.159577	0.143544	0.231483
