 	lorsqu'	on	l'	a	poussé	il	n'	est	pas	tombé	parce	qu'	il	s'	est	appuyé	contre	le	mur	</S>
a47	0.00686787	0.0061705	0.00610452	0.00794574	0.00983681	0.0170464	0.0239828	0.032563	0.0462225	0.0583891	0.0525902	0.0388175	0.0300549	0.0253224	0.0217872	0.0237446	0.0451453	0.0992934	0.190279	0.257836
a36	0.003406	0.0028357	0.00299613	0.00508691	0.00706447	0.0146961	0.0212066	0.0278743	0.0408536	0.0621374	0.0519477	0.0388221	0.0362594	0.0322568	0.0293335	0.036999	0.0697401	0.103483	0.180029	0.232972
a11	0.00717725	0.00617231	0.00608187	0.00763955	0.00801693	0.0112662	0.0130026	0.0160419	0.0219011	0.0314854	0.0231175	0.0149026	0.0104984	0.00721663	0.00771319	0.0130802	0.0402172	0.124098	0.263243	0.367129
a75	0.00426114	0.00358418	0.00338242	0.0039336	0.00447292	0.00744169	0.0085359	0.0104848	0.0134826	0.0178113	0.0154954	0.0136406	0.0115766	0.00685229	0.00616504	0.00765404	0.0287835	0.114642	0.29812	0.41968
a79	0.00111518	0.000866593	0.000855521	0.00127326	0.00149565	0.00269766	0.00326548	0.00411351	0.00540679	0.00735751	0.00582346	0.00506402	0.00568801	0.00583766	0.00559536	0.00658782	0.0330157	0.129789	0.329932	0.44422
a56	0.000403465	0.000307792	0.000310416	0.00053247	0.000635257	0.00115992	0.00153472	0.00206034	0.00275384	0.0044966	0.00349462	0.00310387	0.00392791	0.00426248	0.00403968	0.00430645	0.0276682	0.132788	0.337934	0.46428
a32	0.000934078	0.000713321	0.000690844	0.0010123	0.00111826	0.00188827	0.0022537	0.00292718	0.00406249	0.00657592	0.00538376	0.00467525	0.00525443	0.00574051	0.00640683	0.00750264	0.0416898	0.147124	0.317322	0.436724
a11	0.00222559	0.00167267	0.00166612	0.00218048	0.00237474	0.00357109	0.0036969	0.00385553	0.00393799	0.00414537	0.00316976	0.00348729	0.00451258	0.00522861	0.00675433	0.0096676	0.0472053	0.12361	0.311982	0.455057
a75	0.0032772	0.00267326	0.00264651	0.00304443	0.00355152	0.00499788	0.00565322	0.00637704	0.0065593	0.00791919	0.00671101	0.00815346	0.0109226	0.011851	0.0157534	0.0231629	0.0532176	0.122156	0.281338	0.420035
a21	0.000543126	0.000375744	0.000353842	0.000527246	0.000644544	0.00121129	0.00166934	0.00215206	0.00227719	0.00284655	0.00259384	0.00339762	0.00547689	0.00700521	0.00712896	0.00793879	0.0452913	0.114944	0.306311	0.48731
a5	0.000537209	0.000435858	0.000434656	0.000547245	0.000611152	0.00088987	0.00104849	0.0012913	0.0015177	0.00240905	0.00246505	0.00286669	0.00449878	0.00588575	0.00737753	0.00953804	0.0389471	0.116937	0.291398	0.510363
a37	0.00077867	0.000622734	0.000604534	0.000807257	0.000882236	0.00124327	0.00139207	0.00159385	0.00168648	0.00227979	0.00214853	0.00249906	0.00397358	0.00634638	0.00915734	0.0143197	0.0612966	0.13001	0.283718	0.47464
a54	0.00114878	0.000885853	0.00086823	0.00120954	0.00148973	0.00234441	0.00287238	0.00344893	0.00343198	0.00421718	0.00352575	0.00416385	0.00628337	0.00834765	0.0108384	0.0161106	0.0658995	0.148288	0.290059	0.424567
a36	0.000613662	0.000458279	0.000448872	0.000709061	0.000826499	0.00136666	0.00167805	0.00191392	0.00190822	0.00255786	0.00244413	0.00354828	0.00604238	0.00803291	0.00849101	0.0111568	0.0606614	0.143613	0.288105	0.455424
a2	0.00270515	0.00240042	0.00228034	0.00253411	0.00274039	0.00377116	0.00408642	0.00459857	0.00532158	0.00791404	0.00623739	0.00768274	0.010456	0.012705	0.0171052	0.0296807	0.0849363	0.144504	0.270931	0.377409
a57	0.0496125	0.048985	0.0486244	0.0511054	0.0529987	0.0572738	0.0504	0.0445474	0.0484735	0.0601556	0.0488321	0.0574899	0.0516878	0.0408982	0.0391438	0.0325563	0.0389569	0.0467319	0.0591111	0.0724157
a87	0.0880812	0.0758196	0.0603946	0.0475434	0.043256	0.0338896	0.0340801	0.0355963	0.0467895	0.0764459	0.0810911	0.109108	0.0911442	0.0472761	0.0368352	0.0239873	0.0213717	0.0162246	0.0154191	0.0156465
a23	0.0937624	0.081415	0.0642657	0.0487259	0.044671	0.0356987	0.0378657	0.0411154	0.0532383	0.0782601	0.0817479	0.0950141	0.0846406	0.0496668	0.0383197	0.0233048	0.0169819	0.0115213	0.00969819	0.0100864
a87	0.0317905	0.024993	0.0194864	0.017098	0.013621	0.0104023	0.0101563	0.012062	0.0177892	0.0331247	0.0354122	0.0545414	0.075002	0.0738968	0.0674547	0.0365031	0.124805	0.12702	0.114061	0.100781
</S>	0.00607029	0.00445419	0.00343719	0.00363276	0.00352316	0.00309131	0.00381689	0.00451412	0.00534728	0.00779117	0.00699402	0.0124665	0.0203843	0.0338524	0.0469116	0.061611	0.174975	0.196782	0.208618	0.191728
