 	la	manière	dont	cet	homme	est	assailli	il	doit	être	un	voleur	ou	un	sorcier	</S>
a98	0.00823193	0.0121387	0.0186537	0.0322841	0.0534034	0.0704052	0.109806	0.103733	0.111194	0.0932075	0.0680156	0.0544158	0.0404451	0.0414822	0.0644527	0.118131
a92	0.0104026	0.0144133	0.0213602	0.0346723	0.0526704	0.0657123	0.104465	0.0945319	0.102032	0.0843301	0.0632688	0.0550156	0.0445119	0.0472226	0.0709228	0.134469
a79	0.00470391	0.00872048	0.0152447	0.0257438	0.040763	0.050987	0.0890582	0.0983647	0.109477	0.0937555	0.0728734	0.063628	0.0486011	0.0556278	0.0858772	0.136574
a93	0.00681613	0.0105186	0.0182936	0.0294516	0.0429163	0.0542564	0.0857895	0.0941012	0.107519	0.0922848	0.0708181	0.062338	0.0466065	0.052199	0.0817115	0.14438
a90	0.00585586	0.00720354	0.0125079	0.0215591	0.034317	0.0512355	0.0755902	0.084736	0.104705	0.0951229	0.0756572	0.068092	0.0493366	0.0529413	0.0868242	0.174316
a4	0.00269002	0.00387975	0.00857956	0.0165472	0.0276434	0.0445196	0.0773352	0.0965977	0.119074	0.102	0.0778977	0.0647464	0.047881	0.0557969	0.0873194	0.167492
a57	0.0043645	0.00580279	0.0121233	0.0211912	0.0296733	0.0440811	0.0706955	0.0805926	0.110832	0.0965423	0.0753852	0.0649585	0.0472746	0.0612594	0.0924098	0.182814
a82	0.0130205	0.00932881	0.0140896	0.0253128	0.0368412	0.0665679	0.118508	0.122169	0.165922	0.123067	0.0738831	0.0469716	0.0263481	0.0264831	0.0400273	0.0914599
a87	0.0380934	0.0259387	0.027765	0.0390868	0.0459304	0.0622305	0.0917536	0.0905793	0.107936	0.0847459	0.064968	0.0484403	0.0336328	0.0437708	0.0823762	0.112752
a40	0.0341675	0.0178965	0.0174787	0.0234268	0.0309939	0.0480791	0.0651233	0.0501744	0.063851	0.0592586	0.0643694	0.0612461	0.0635758	0.108635	0.153157	0.138567
a36	0.00515949	0.00578031	0.0103679	0.0130356	0.0133814	0.0130432	0.0206102	0.0224029	0.027942	0.0302385	0.0332107	0.0350687	0.0468998	0.131541	0.270025	0.321293
a37	0.000865511	0.00111511	0.00216331	0.00474757	0.00992395	0.0165537	0.036657	0.0348117	0.0385591	0.0361577	0.0331757	0.0368362	0.0471521	0.125128	0.257001	0.319152
a62	0.00124811	0.0015659	0.00255819	0.0052429	0.0106125	0.0178377	0.0322063	0.0314556	0.0344333	0.0321376	0.0304765	0.0336052	0.0404343	0.117839	0.258377	0.34997
a83	0.00249094	0.00316136	0.00528313	0.00944369	0.0142936	0.0234864	0.0338673	0.0347245	0.0415126	0.0367655	0.0346146	0.0370914	0.0492453	0.159295	0.246216	0.268509
a70	0.00206556	0.00251323	0.00413805	0.00727556	0.0104133	0.0173013	0.0263443	0.0300257	0.0372014	0.0343463	0.0329607	0.0361998	0.0469009	0.158689	0.267604	0.28602
a34	0.00115152	0.00129211	0.00204458	0.00423812	0.00638922	0.0113008	0.0180168	0.0210569	0.0286554	0.0255493	0.0242972	0.0277961	0.0368941	0.147905	0.274146	0.369266
a56	0.00100526	0.00127672	0.00246202	0.00520882	0.00770265	0.0125143	0.0194081	0.0229632	0.0284686	0.023833	0.0219403	0.0236979	0.0314438	0.137274	0.282086	0.378715
a96	0.00027673	0.000317287	0.000751895	0.00225268	0.00411422	0.00774392	0.0173538	0.0219378	0.027868	0.0225622	0.018645	0.018663	0.0223418	0.108441	0.285021	0.441709
a70	0.000725687	0.000666976	0.000980334	0.00237137	0.00386938	0.00780464	0.0135745	0.0136783	0.0202531	0.0174556	0.0158021	0.0175341	0.0227675	0.117755	0.261356	0.483405
a13	0.00113303	0.000988426	0.00140584	0.0035145	0.00583087	0.0129058	0.0198323	0.0170548	0.0255653	0.0220853	0.020164	0.0215126	0.0260749	0.112518	0.225179	0.484234
a57	0.000735102	0.000660221	0.00101855	0.00270182	0.00472875	0.0107143	0.0165549	0.0143928	0.0227811	0.0200309	0.0187887	0.0203077	0.0248239	0.107776	0.224971	0.509014
a3	0.00593858	0.00351772	0.00358962	0.00641153	0.0109162	0.028003	0.057519	0.042299	0.0732479	0.0595757	0.0489958	0.0453948	0.0397643	0.0947367	0.154404	0.325687
a97	0.0320827	0.0150127	0.0124791	0.0159392	0.0209338	0.0342882	0.058231	0.0507629	0.0761524	0.0713961	0.075637	0.0771134	0.0618489	0.0966106	0.128026	0.173486
a30	0.0371035	0.0163002	0.0145597	0.016361	0.0201201	0.028861	0.0438898	0.0539159	0.0882225	0.0970168	0.115945	0.114018	0.0785799	0.0953954	0.0904222	0.0892884
a53	0.0293022	0.0130539	0.0108323	0.011747	0.0156958	0.0314098	0.0541405	0.0615428	0.1037	0.116307	0.125071	0.111286	0.0709242	0.0834395	0.0832396	0.0783082
a15	0.00859808	0.00323673	0.00347124	0.00427094	0.00574159	0.012838	0.025218	0.0224081	0.0496265	0.0605758	0.0904652	0.10274	0.114307	0.163455	0.160491	0.172558
a7	0.000270105	0.000394766	0.00129395	0.00360177	0.00772396	0.0174282	0.0483666	0.0404711	0.0549165	0.0404196	0.0344342	0.038216	0.039624	0.119376	0.233153	0.320311
a54	8.09483e-05	0.000109316	0.000317053	0.000994167	0.0022642	0.00584087	0.018144	0.0180678	0.0260596	0.0221814	0.0216216	0.027443	0.0405452	0.155618	0.282005	0.378707
a47	0.000132099	0.000221289	0.000937312	0.00341302	0.00797093	0.0167037	0.0525697	0.0540382	0.0647459	0.0453658	0.0327983	0.0322846	0.0345828	0.105719	0.222458	0.326059
a85	0.000103546	0.000142921	0.000550401	0.00205326	0.00457407	0.0102667	0.0356242	0.0409636	0.0571964	0.0432934	0.0312503	0.029933	0.031856	0.0911222	0.214177	0.406894
a37	0.000109976	0.000133672	0.000427106	0.00152237	0.00363258	0.00913846	0.0326713	0.0373272	0.0533426	0.0425465	0.0309955	0.0282342	0.0298723	0.0903348	0.211192	0.42852
a43	0.000390396	0.000323406	0.000520236	0.0012222	0.00287297	0.00833747	0.029015	0.0358674	0.051043	0.0424462	0.0356124	0.0316706	0.0325211	0.0858608	0.204318	0.437979
a61	0.000627068	0.000521683	0.000701123	0.0014399	0.00243776	0.00574704	0.0135575	0.0148894	0.0235612	0.0209381	0.0192221	0.0203354	0.0250903	0.0978391	0.251583	0.501509
a70	0.000752431	0.000709454	0.00102347	0.00208015	0.00360759	0.00755063	0.0160803	0.017845	0.0242367	0.0214235	0.01976	0.021627	0.0268561	0.0974272	0.246437	0.492583
a54	0.000424624	0.000501137	0.000806275	0.00157947	0.00263268	0.00569329	0.013154	0.013852	0.0194408	0.0156636	0.0133314	0.0148441	0.017881	0.0825078	0.226991	0.570697
a7	0.000199298	0.000256233	0.000593385	0.0013484	0.00207525	0.00398101	0.0107308	0.0138439	0.0218479	0.0171682	0.0130484	0.0139978	0.0158338	0.0767292	0.210431	0.597915
a2	0.00102317	0.000857371	0.00132149	0.00229539	0.002782	0.00588074	0.0131643	0.0111048	0.0186439	0.0166795	0.0142555	0.0162347	0.0173499	0.0748891	0.221069	0.582449
a57	0.0146103	0.00849249	0.00824764	0.0115694	0.0147439	0.0266105	0.0385017	0.028906	0.0464584	0.0419458	0.0453945	0.051223	0.0565545	0.123509	0.199893	0.283339
a87	0.057127	0.0208943	0.0143423	0.0151946	0.0162031	0.0265398	0.0382248	0.0342827	0.0599247	0.059138	0.0664114	0.0694674	0.0604933	0.105098	0.150485	0.206174
a23	0.0462491	0.0145986	0.00991382	0.010002	0.0120656	0.0207462	0.0397663	0.0400464	0.0665837	0.0734329	0.087258	0.0856697	0.0650738	0.101025	0.144131	0.183437
a87	0.00959302	0.0027105	0.00205793	0.00240197	0.00300918	0.0058682	0.0153563	0.0212333	0.0363315	0.0517318	0.0640864	0.0701332	0.0743069	0.148217	0.210824	0.282139
</S>	0.00893013	0.00271972	0.00269228	0.00349987	0.00487876	0.00991949	0.0256048	0.0238986	0.0370781	0.0421954	0.040525	0.0417074	0.0398573	0.1009	0.21345	0.402142
