 	les	enfants	qui	ont	accepté	d'	aller	au	front	sont	des	kamikazes	</S>
a66	0.0234855	0.0231108	0.0198914	0.0232168	0.0369884	0.0693344	0.0788007	0.0832686	0.0643768	0.0978688	0.125528	0.141636	0.212494
a62	0.00679941	0.00604234	0.00673519	0.00911045	0.0232424	0.0522502	0.0724521	0.0834693	0.054795	0.0628498	0.0993674	0.196128	0.326759
a47	0.00939074	0.0100037	0.0107412	0.0142842	0.0315103	0.0640561	0.0793519	0.0936257	0.0760587	0.0982945	0.116856	0.165809	0.230018
a21	0.0140337	0.015691	0.0183657	0.0226288	0.0378447	0.067162	0.0761911	0.0725895	0.0601268	0.0835147	0.117724	0.178473	0.235655
a85	0.0181969	0.0197758	0.0213134	0.021636	0.0322372	0.0804658	0.0892844	0.0915327	0.0622885	0.073253	0.10923	0.172663	0.208124
a5	0.0116426	0.0128344	0.0118566	0.012523	0.018558	0.0366594	0.0394466	0.0408719	0.0369341	0.0576027	0.109302	0.206549	0.40522
a18	0.0083569	0.00956903	0.0104724	0.0128995	0.027064	0.0645373	0.073278	0.0664605	0.0533907	0.0715722	0.123924	0.210488	0.267987
a31	0.00196523	0.00152285	0.00144213	0.00186905	0.00478132	0.00897956	0.0147109	0.0201726	0.0181785	0.036963	0.0925309	0.275439	0.521445
a24	0.00187685	0.00190375	0.00231156	0.00259152	0.00588017	0.0145674	0.0197594	0.0281458	0.0235302	0.0444677	0.0957439	0.257754	0.501468
a62	0.00147461	0.00138713	0.00139654	0.00170772	0.00425146	0.00636512	0.00861723	0.0124952	0.0139777	0.0394281	0.111366	0.291093	0.506441
a83	0.00095641	0.000859351	0.000864247	0.00117238	0.00377515	0.00594287	0.00846505	0.014529	0.016358	0.0433188	0.114644	0.285425	0.503689
a70	0.00060244	0.000575888	0.000584427	0.000826367	0.00244055	0.00343924	0.00526692	0.00991755	0.0142096	0.0433235	0.118137	0.297767	0.50291
a83	0.000487219	0.000425012	0.000416606	0.000665019	0.00212095	0.00279146	0.00456522	0.0109045	0.0190645	0.0538979	0.134831	0.298738	0.471092
a13	0.000408632	0.000352312	0.000356785	0.00062017	0.00204851	0.00273396	0.00474235	0.0100268	0.0176687	0.0497759	0.130601	0.307775	0.472891
a9	0.00222103	0.00145034	0.00124924	0.00158652	0.00521076	0.00519208	0.00733802	0.0184887	0.0274043	0.0572323	0.140266	0.284635	0.447726
a10	0.016393	0.00845056	0.00774041	0.00906036	0.0348032	0.0278895	0.0204396	0.0301541	0.0355131	0.0708518	0.142315	0.237416	0.358974
a87	0.0278496	0.0153837	0.0120447	0.0131775	0.024524	0.0245522	0.0240855	0.0408627	0.0612769	0.0986801	0.165175	0.216968	0.275421
a23	0.0331886	0.0186775	0.0128318	0.0127431	0.0205123	0.0227114	0.0273181	0.0588251	0.0880282	0.111183	0.154733	0.196581	0.242667
a99	0.0278281	0.0116753	0.00899034	0.00555774	0.00745052	0.00414378	0.0043457	0.00831131	0.0159816	0.0423739	0.0926492	0.19177	0.578922
a3	0.00640153	0.00218664	0.00226702	0.00219911	0.00593392	0.00590937	0.00747097	0.014137	0.023358	0.0516672	0.100708	0.218831	0.55893
</S>	0.00456514	0.00168582	0.00164093	0.00192397	0.00652251	0.00673193	0.00728882	0.0120567	0.0185052	0.0396668	0.0876387	0.229677	0.582097
