 	la	femme	qui	a	transporté	le	pannier	de	manioc	a	mis	la	gouttière	</S>
a21	0.0120068	0.0161828	0.0193027	0.0356704	0.0464258	0.0723648	0.115206	0.161609	0.14446	0.107775	0.0784732	0.0528561	0.0547527	0.0829146
a47	0.0130449	0.0135775	0.0171949	0.0301797	0.0391462	0.0687204	0.111973	0.150124	0.141554	0.117872	0.100522	0.0707326	0.0559543	0.0694046
a18	0.0150617	0.0185013	0.0220965	0.0301713	0.0235694	0.0380551	0.0758764	0.15042	0.148422	0.128868	0.0956637	0.0770494	0.082397	0.0938491
a94	0.0104958	0.0141818	0.0179211	0.0256284	0.0209059	0.0258014	0.04289	0.109611	0.11915	0.135459	0.121895	0.111128	0.113288	0.131644
a90	0.00775278	0.0120811	0.0135783	0.0165908	0.0130601	0.0150048	0.0222923	0.0700796	0.0934851	0.145984	0.163541	0.142141	0.132886	0.151523
a25	0.00312733	0.00333961	0.0038078	0.00568699	0.00637318	0.00930328	0.0164958	0.0438691	0.0598485	0.107978	0.16241	0.150054	0.199738	0.227968
a15	0.00331793	0.00393026	0.00431301	0.00573702	0.00515632	0.00654288	0.0101513	0.0334382	0.0473007	0.096157	0.168992	0.161806	0.217425	0.235733
a20	0.00428804	0.00416008	0.00444427	0.00564959	0.00467349	0.00618547	0.0094642	0.0278649	0.0348046	0.0680401	0.133938	0.140955	0.277904	0.277629
a85	0.0039953	0.00422943	0.00460981	0.0057462	0.00560702	0.00760052	0.0121305	0.0299214	0.0361662	0.0704965	0.135515	0.14217	0.258312	0.2835
a5	0.00546232	0.00463456	0.00479428	0.00642563	0.00659953	0.0113442	0.0182093	0.0369589	0.0387677	0.0554766	0.0780687	0.0751222	0.234598	0.423538
a47	0.00243859	0.00268987	0.00276599	0.0038173	0.00331116	0.00386054	0.00592772	0.017784	0.025165	0.0540739	0.107411	0.117469	0.277489	0.375797
a96	0.0025743	0.00292495	0.00301766	0.00443552	0.00435784	0.00499093	0.00751471	0.0211662	0.0286044	0.0602263	0.110468	0.140599	0.275415	0.333705
a34	0.00122063	0.00144336	0.00153168	0.00226044	0.00234078	0.00257121	0.00364396	0.0107732	0.0142784	0.0347877	0.074435	0.0980221	0.372957	0.379734
a93	0.00097141	0.00117837	0.00124167	0.00178991	0.00199934	0.00202486	0.00270788	0.00817568	0.010017	0.0267126	0.0613878	0.0823108	0.39443	0.405053
a4	0.000405104	0.000537043	0.000574228	0.000838861	0.00119907	0.001116	0.00133435	0.00452984	0.00539461	0.0166332	0.0424764	0.065879	0.382593	0.476489
a13	0.000325897	0.000415304	0.000409055	0.000615843	0.000841502	0.000775809	0.000832946	0.00252295	0.00302442	0.0108398	0.036426	0.0682738	0.416545	0.458152
a9	0.00283047	0.00309376	0.00260342	0.00280819	0.00273821	0.00303978	0.00306842	0.00681491	0.00812383	0.0210377	0.0645293	0.111736	0.410257	0.357319
a3	0.0151434	0.0113703	0.00840767	0.00570676	0.00317025	0.00360475	0.00401664	0.00591691	0.0058112	0.0131612	0.0441607	0.0959022	0.470148	0.31348
a97	0.0469743	0.0369851	0.0273582	0.0203919	0.0129781	0.0128719	0.0169999	0.0203179	0.0263816	0.0488323	0.0896621	0.144222	0.280465	0.215559
a87	0.0530144	0.0434682	0.0352142	0.0279474	0.0189871	0.0178136	0.0230948	0.0279215	0.0330408	0.0498419	0.0850045	0.146039	0.230261	0.208353
a97	0.0686664	0.0558376	0.0491847	0.0367809	0.0287126	0.0268978	0.0304089	0.0295419	0.033918	0.0451548	0.0699294	0.115516	0.185809	0.223642
a87	0.0865838	0.070204	0.0610429	0.0509993	0.0519455	0.0511053	0.0409717	0.0287273	0.0282848	0.0325408	0.0481606	0.0796113	0.162175	0.207648
a23	0.0873874	0.068836	0.0606802	0.0519765	0.0542526	0.0519612	0.0388875	0.0276964	0.0246593	0.0264731	0.0371153	0.0657246	0.165904	0.238446
a87	0.0271202	0.0177054	0.0176002	0.0205236	0.0188057	0.0243326	0.0276229	0.0247458	0.0191163	0.0196954	0.0328601	0.0649914	0.182541	0.502339
</S>	0.0340437	0.0229687	0.0236537	0.0255299	0.0222982	0.031611	0.0340431	0.0259715	0.0200547	0.020034	0.0305952	0.0558337	0.159028	0.494334
