 	quand	le	fruit	ibasa	se	décortique	il	devient	tout	rouge	</S>
a75	0.000995144	0.0015696	0.00391556	0.00441893	0.00596957	0.0171583	0.0441895	0.0800651	0.171909	0.259779	0.41003
a25	0.000478001	0.000765822	0.00240335	0.00257872	0.00463916	0.0158739	0.0347759	0.0619828	0.141373	0.26581	0.46932
a69	0.000323795	0.00061848	0.00238594	0.00258252	0.00561668	0.0198653	0.0340407	0.0499925	0.109518	0.243424	0.531632
a90	0.000272536	0.000397517	0.00104269	0.00110333	0.0021741	0.00922764	0.0182502	0.032884	0.0905029	0.251882	0.592263
a79	0.000462367	0.000627892	0.00164103	0.00167293	0.00325401	0.0144071	0.0283793	0.0478255	0.106902	0.253032	0.541795
a69	0.000303109	0.000388129	0.000935471	0.000781949	0.00162291	0.0088468	0.0207829	0.0366304	0.0880356	0.242869	0.598803
a11	0.000279177	0.000362902	0.000928722	0.000759922	0.0018355	0.00979295	0.022526	0.037253	0.0901171	0.251996	0.584149
a94	0.000732549	0.000967957	0.00194094	0.00155831	0.00366395	0.0126763	0.0298404	0.046321	0.10562	0.252916	0.543763
a58	0.0041926	0.00460255	0.00661591	0.00377181	0.00856224	0.0216749	0.0452582	0.074083	0.139247	0.258673	0.433319
a57	0.011147	0.0118366	0.0162937	0.010455	0.0188333	0.0334816	0.0459741	0.0675392	0.123241	0.247454	0.413744
a9	0.0292866	0.0198756	0.0223371	0.0181963	0.0263105	0.0348918	0.0464124	0.0730109	0.125921	0.225199	0.378559
a82	0.0692663	0.0366526	0.031893	0.0334746	0.0432943	0.0422751	0.0624004	0.0959887	0.134315	0.194298	0.256142
a97	0.0766359	0.0497275	0.0441325	0.0463522	0.0510431	0.0539918	0.0651052	0.0923422	0.122427	0.173073	0.225169
a10	0.0532838	0.0321044	0.0296522	0.0316943	0.0528837	0.078856	0.0918201	0.108438	0.121474	0.166454	0.233339
a97	0.0374352	0.0255928	0.02708	0.0295033	0.0501896	0.0936268	0.0986708	0.111724	0.126484	0.170905	0.228788
a87	0.0340495	0.0239568	0.0303183	0.0375444	0.0657434	0.112484	0.108273	0.108143	0.115064	0.153073	0.21135
a97	0.0290595	0.0238412	0.0349049	0.0461479	0.0785523	0.113719	0.112098	0.108821	0.112561	0.144694	0.1956
a99	0.0452085	0.0328213	0.0474955	0.064277	0.0876989	0.0982035	0.0942408	0.091658	0.0983749	0.137397	0.202624
a97	0.0406947	0.0307622	0.0296532	0.0360774	0.047063	0.0545745	0.0814642	0.0900817	0.118875	0.188341	0.282413
a87	0.0421961	0.0311639	0.0364429	0.0526476	0.0672755	0.055342	0.0806374	0.0886814	0.106259	0.165039	0.274315
</S>	0.0597103	0.0370938	0.0373814	0.0446523	0.0564486	0.0492605	0.0746337	0.083284	0.101858	0.175127	0.28055
