 	ce	commerçant	est	venu	de	brazaville	avec	des	tas	de	marchandises	</S>
a93	0.00833164	0.0166781	0.0252359	0.0519761	0.091514	0.131792	0.151665	0.158157	0.116938	0.0746542	0.0761301	0.0969287
a70	0.00886437	0.014185	0.0218622	0.0498113	0.0813192	0.124279	0.157192	0.164174	0.115591	0.074729	0.080932	0.10706
a62	0.00600249	0.0078253	0.0132338	0.0274906	0.0478683	0.0878725	0.136688	0.165041	0.142241	0.108882	0.109726	0.14713
a21	0.00537417	0.00605001	0.010058	0.0223058	0.0384006	0.079707	0.143893	0.173108	0.153306	0.114686	0.107553	0.145558
a92	0.00261095	0.00326961	0.00457709	0.00847516	0.0175024	0.0420367	0.0848288	0.132913	0.13296	0.151875	0.182033	0.23692
a37	0.00174949	0.00231172	0.00361043	0.00710398	0.0143715	0.0375599	0.0737373	0.123111	0.128052	0.160605	0.20018	0.247607
a21	0.00176371	0.00289872	0.00393774	0.00908034	0.0135502	0.0255317	0.0420084	0.0641205	0.0787452	0.126603	0.263603	0.368158
a92	0.00134752	0.00114848	0.00133975	0.00230907	0.00418695	0.0105643	0.0250689	0.0555115	0.0717148	0.154725	0.299825	0.372258
a37	0.000718609	0.0007212	0.000914694	0.00180726	0.00356329	0.00985535	0.0230743	0.0512887	0.0683522	0.15803	0.307943	0.373732
a93	0.000699096	0.000787058	0.000902485	0.00222332	0.00366181	0.00765925	0.0143275	0.0272313	0.0363954	0.0972873	0.332366	0.476459
a94	0.000947945	0.00101967	0.00113795	0.00292227	0.00460427	0.00995643	0.0190526	0.0400513	0.0543264	0.122746	0.328384	0.414851
a13	0.000580194	0.000699629	0.000799805	0.00190443	0.00235911	0.00422958	0.00723964	0.0127897	0.0218559	0.0715231	0.328283	0.547736
a38	0.00134277	0.00156895	0.00186415	0.00347264	0.00484852	0.00867049	0.0129775	0.0176263	0.0263463	0.0861524	0.33576	0.49937
a70	0.00353606	0.00366149	0.00406766	0.00667519	0.0103782	0.017215	0.0221073	0.0256111	0.0347076	0.0971684	0.320101	0.454771
a4	0.000224574	0.00032864	0.000424109	0.00127094	0.00165213	0.00349737	0.00562669	0.00855045	0.0175267	0.0645748	0.330247	0.566077
a13	0.000345218	0.000477645	0.000723378	0.00187277	0.00235301	0.00486731	0.00796267	0.0113731	0.0206393	0.0687277	0.327957	0.552701
a99	0.00117908	0.00147221	0.00214992	0.00442763	0.00600732	0.0103177	0.0147403	0.0188434	0.0280997	0.0882482	0.33178	0.492735
a87	0.0057473	0.00426225	0.00531567	0.00952573	0.0127036	0.0193217	0.0233585	0.0274809	0.0412025	0.104247	0.316492	0.430342
a23	0.0804099	0.0252362	0.0268255	0.0533687	0.0524278	0.0769957	0.0815915	0.0891435	0.0955175	0.127848	0.142247	0.148388
a87	0.0154298	0.00405493	0.00470505	0.0125686	0.0114121	0.0218523	0.0313205	0.0561531	0.0718778	0.161807	0.281223	0.327596
</S>	0.00554281	0.00174217	0.0017564	0.00540487	0.00642266	0.015363	0.0228376	0.0399406	0.0513195	0.131445	0.293737	0.424488
