 	je	t'	appellais	à	haute	voix	mais	tu	ne	m'	écoutais	pas	</S>
a75	0.0414955	0.0393596	0.0547032	0.11989	0.167577	0.14752	0.150457	0.110736	0.0760113	0.0451223	0.0206784	0.0129098	0.0135391
a85	0.0174839	0.0154918	0.0245889	0.0730565	0.149034	0.160713	0.167146	0.134723	0.0908153	0.0620514	0.0380056	0.0298491	0.0370409
a37	0.0150746	0.0136642	0.0232323	0.0847614	0.174003	0.160712	0.157012	0.115144	0.0804384	0.0564819	0.0435152	0.0362942	0.0396674
a44	0.0131017	0.013283	0.0145757	0.0414584	0.0935807	0.156663	0.202979	0.170145	0.114965	0.0660125	0.0334091	0.0291939	0.0506325
a57	0.0139608	0.013053	0.0155622	0.0355902	0.074292	0.131014	0.186914	0.163481	0.113826	0.0754866	0.0509755	0.0454566	0.0803891
a87	0.0140837	0.0156252	0.0131612	0.0281612	0.0469584	0.0956824	0.168276	0.194595	0.143705	0.0844657	0.0544951	0.0488938	0.0918973
a23	0.00929049	0.0128301	0.016818	0.0351414	0.0540189	0.116607	0.171197	0.179761	0.124085	0.0734333	0.0444247	0.0513147	0.111078
a83	0.0210708	0.0282706	0.0270071	0.0515381	0.0711029	0.0965845	0.118491	0.110226	0.0941644	0.0705361	0.0533777	0.0775608	0.180071
a75	0.00688191	0.00705626	0.00767637	0.0217523	0.0479009	0.0857756	0.119045	0.121795	0.0972182	0.0745093	0.0744935	0.111058	0.224837
a47	0.00745761	0.00647932	0.00881434	0.0263755	0.0630438	0.0968732	0.127892	0.105282	0.0755678	0.0596804	0.0691506	0.11892	0.234463
a6	0.00627489	0.00611583	0.00600181	0.0260428	0.060207	0.103281	0.14883	0.14156	0.104581	0.07453	0.0610601	0.0881745	0.173341
a37	0.0087167	0.00730482	0.00917408	0.0232144	0.049634	0.0972559	0.149734	0.142315	0.108916	0.0805445	0.0675689	0.087312	0.16831
a92	0.00570032	0.00601387	0.00707671	0.0176479	0.0401458	0.0847365	0.134788	0.144133	0.12173	0.0937976	0.0783122	0.0980326	0.167885
a66	0.00719972	0.00615404	0.00813647	0.0216339	0.0466832	0.0796869	0.121072	0.120869	0.0987376	0.0787286	0.076416	0.114107	0.220575
a34	0.00307088	0.00339968	0.00332609	0.00669416	0.0118275	0.0314207	0.0647521	0.0970248	0.0957464	0.0895219	0.133189	0.173617	0.28641
a93	0.00395889	0.00375953	0.00510887	0.0142826	0.0377803	0.0809806	0.123482	0.132068	0.113772	0.107568	0.107681	0.10876	0.160797
a13	0.00192548	0.00198687	0.00307909	0.0081807	0.0197364	0.0472826	0.0787811	0.093096	0.0833038	0.0943316	0.12534	0.163812	0.279145
a93	0.00101371	0.00114158	0.00185398	0.00498744	0.0119818	0.0321872	0.0540376	0.0723155	0.0686673	0.0824095	0.145074	0.215483	0.308847
a56	0.00108526	0.00123997	0.00212202	0.00625635	0.0167988	0.0430389	0.0659957	0.075804	0.0687717	0.0841282	0.131451	0.192124	0.311184
a96	0.00168093	0.00167938	0.00202114	0.00731688	0.0195131	0.0439481	0.0669669	0.0813862	0.076604	0.0894283	0.138438	0.1811	0.289917
a75	0.000544747	0.000623969	0.00100503	0.00326514	0.0087474	0.0224532	0.0350778	0.0439672	0.0426932	0.0542615	0.113254	0.226047	0.44806
a41	0.00216793	0.00249357	0.00358218	0.00883782	0.0173428	0.0356014	0.0616634	0.0784656	0.0826635	0.101395	0.151351	0.165204	0.289232
a27	0.00240032	0.00225805	0.00271098	0.00646601	0.0122288	0.0272056	0.0484917	0.063402	0.065996	0.0816267	0.14231	0.196766	0.348138
a57	0.000989096	0.000828533	0.000569959	0.00109346	0.00147378	0.00351959	0.00750204	0.0119632	0.012163	0.0164467	0.071529	0.222401	0.649521
a40	0.00295834	0.00242108	0.00244556	0.00328019	0.00450622	0.00895339	0.0160818	0.0197002	0.0217274	0.0254348	0.103375	0.262181	0.526935
a75	0.000507466	0.000584613	0.000822087	0.00174296	0.00236677	0.00358396	0.00553031	0.00734134	0.00953406	0.0152678	0.0677292	0.212612	0.672377
a47	0.00193354	0.00224889	0.00277933	0.00552615	0.00897229	0.0174363	0.032226	0.0431521	0.0489261	0.0637944	0.145157	0.215263	0.412585
a36	0.00195893	0.00204357	0.00197942	0.00440306	0.00675944	0.0136025	0.0229543	0.0283032	0.0306702	0.0464167	0.119413	0.24067	0.480825
a57	0.000284159	0.000283034	0.000238213	0.000454307	0.000530249	0.00116179	0.00218357	0.00348053	0.00462274	0.00859728	0.0577809	0.227491	0.692893
a87	0.00365983	0.00285784	0.00172303	0.00250803	0.00236391	0.00422466	0.00761648	0.0101868	0.0159675	0.025753	0.100129	0.25022	0.57279
a23	0.0351587	0.0248741	0.00648456	0.00880302	0.00699297	0.011524	0.0209584	0.0256522	0.0487961	0.0548382	0.103443	0.220249	0.432225
a87	0.041217	0.0338096	0.0119026	0.0131117	0.0087594	0.0110197	0.0186067	0.0190655	0.0346972	0.0472896	0.0798865	0.197617	0.483018
</S>	0.0331297	0.0292142	0.0108845	0.016091	0.0114096	0.00975583	0.0118278	0.0109363	0.0179356	0.0263866	0.052663	0.193552	0.576214
