 	alembe	ongoli	olembe	loange	abela	tsaangi	okoo	okonda	et	mboo	</S>
a15	0.00425514	0.00373101	0.0153856	0.0209876	0.028062	0.038379	0.0616655	0.0850508	0.153117	0.243197	0.34617
a7	0.00112537	0.0011448	0.00500093	0.00511039	0.00606233	0.0103879	0.0244715	0.0527262	0.147456	0.297646	0.448868
a44	0.000137553	0.000196291	0.00278371	0.00490145	0.00737053	0.0109134	0.0219312	0.0444909	0.128886	0.280398	0.497991
a94	0.000167946	0.000181945	0.00165351	0.00285209	0.00463478	0.00820918	0.0192108	0.0431851	0.131995	0.297441	0.490468
a18	0.000221006	0.000184334	0.00124209	0.00223589	0.00356754	0.00746852	0.0181146	0.0410987	0.122844	0.294545	0.508478
a88	0.000181615	0.000134085	0.000972443	0.00188684	0.00351081	0.00669252	0.0140357	0.0311782	0.0998603	0.281615	0.559932
a71	0.000256675	0.000194857	0.00085342	0.00191797	0.00347996	0.00690689	0.014237	0.0301871	0.0914724	0.273819	0.576675
a9	0.000675057	0.000420231	0.0011079	0.00196766	0.00357421	0.00627198	0.0115961	0.026639	0.0899067	0.283682	0.574159
a87	0.0059596	0.00367758	0.00617431	0.00710641	0.0106084	0.0175105	0.0264891	0.0457588	0.113175	0.268138	0.495402
a23	0.0993205	0.0666809	0.0434741	0.0372407	0.0279319	0.0373505	0.0450577	0.0632664	0.102674	0.185841	0.291163
a40	0.0249715	0.0209149	0.0307522	0.0270718	0.0224432	0.0301962	0.0435051	0.0679985	0.134732	0.249372	0.348042
a7	0.0151415	0.00526382	0.00736575	0.0176865	0.0186898	0.0258043	0.0399614	0.0646081	0.137878	0.250533	0.417068
a26	0.000228721	0.000165519	0.000785256	0.00177978	0.00248972	0.00429388	0.00946757	0.0241164	0.0962921	0.284604	0.575777
a62	0.000401793	0.000222264	0.00103419	0.00185148	0.00301265	0.00519792	0.0112949	0.0264153	0.0972502	0.294502	0.558817
a96	0.000657926	0.00043093	0.00118592	0.00305287	0.00420865	0.00731197	0.0150953	0.0328918	0.108164	0.291861	0.535141
a18	0.000468342	0.000365611	0.00125266	0.00323356	0.00420817	0.00713447	0.0139385	0.0294204	0.0995652	0.287645	0.552769
a5	0.000282168	0.000143035	0.000388952	0.000957513	0.00185589	0.00383153	0.00926676	0.0241137	0.0915912	0.292851	0.574718
a6	0.00256863	0.00156626	0.00421294	0.00802464	0.00862697	0.0150757	0.0289827	0.0562893	0.139572	0.278897	0.456184
a36	0.000253737	0.00021271	0.00131364	0.00267012	0.00270167	0.00509023	0.0108213	0.0267601	0.0949538	0.27924	0.575983
a26	0.000197193	9.54874e-05	0.000396686	0.000955932	0.00131941	0.00286895	0.00717774	0.0195134	0.0810561	0.28039	0.606029
a57	0.000529263	0.000298737	0.000762463	0.00155253	0.00280595	0.00619305	0.0135109	0.0338482	0.115972	0.305342	0.519185
a87	0.00742961	0.00422961	0.00742257	0.0110567	0.0150959	0.0254084	0.0377189	0.0603807	0.129854	0.267369	0.434034
a23	0.142709	0.0943903	0.0543147	0.0475451	0.0287933	0.0326473	0.0368943	0.0490422	0.083926	0.163889	0.265849
a54	0.0551466	0.0571639	0.0803343	0.0488945	0.0300823	0.0287195	0.0391213	0.0618053	0.117401	0.201226	0.280105
a36	0.0164363	0.00844522	0.0182883	0.0269586	0.026749	0.0358342	0.0565722	0.0815694	0.140341	0.227787	0.361019
a26	0.000632069	0.000440454	0.00179644	0.00392293	0.00585537	0.010195	0.0199086	0.0375683	0.107708	0.272143	0.539829
a66	0.00039087	0.000291702	0.00167292	0.00292391	0.00410536	0.00623274	0.0129607	0.0272862	0.0936763	0.275738	0.574722
a70	0.00061809	0.000430878	0.00184254	0.00226258	0.0036131	0.00644754	0.0135729	0.0305364	0.104859	0.29236	0.543457
a71	0.00045844	0.00030851	0.000911441	0.00191644	0.00296324	0.00530688	0.0130918	0.0321136	0.109517	0.289588	0.543825
a9	0.000394852	0.000245137	0.000776889	0.00131877	0.00235904	0.00436856	0.00977458	0.0245738	0.0936161	0.292719	0.569854
a99	0.0011475	0.000761191	0.00127904	0.00178155	0.00317534	0.00563111	0.011101	0.0281286	0.104239	0.303452	0.539304
a87	0.00330913	0.00206024	0.00351233	0.00405711	0.00668048	0.0120359	0.0202442	0.039516	0.111471	0.288242	0.508871
a23	0.0473301	0.0354301	0.0328839	0.0336843	0.0251257	0.0284016	0.0341858	0.0511238	0.102887	0.221594	0.387354
a57	0.0402501	0.0345902	0.0538529	0.0339058	0.0237561	0.0253599	0.0363714	0.0604031	0.124908	0.231116	0.335487
a13	0.0095763	0.00906259	0.0338364	0.0308942	0.028285	0.041165	0.0573961	0.0791799	0.133569	0.237684	0.339352
a9	0.00716581	0.00596954	0.0148403	0.0174469	0.0271786	0.0434464	0.0634524	0.0890707	0.154107	0.253134	0.324189
a57	0.0017609	0.00163946	0.00920486	0.0104489	0.0163593	0.023575	0.0354181	0.0527544	0.123821	0.271016	0.454003
a30	0.00225254	0.00222071	0.0123687	0.0131334	0.017638	0.0286807	0.0454335	0.06618	0.125129	0.256239	0.430724
a4	0.00285687	0.00279771	0.0156797	0.0124538	0.0165011	0.0263076	0.0426937	0.0686841	0.13412	0.266462	0.411444
a57	0.00206745	0.00139386	0.00374693	0.00453922	0.00609458	0.00964263	0.021388	0.0465718	0.134016	0.291585	0.478955
a3	0.00046447	0.000438735	0.00289688	0.00389498	0.00597891	0.00930004	0.0191426	0.0394558	0.113811	0.285695	0.518921
</S>	0.000431325	0.000319541	0.00207114	0.00267024	0.00418606	0.00594079	0.0106284	0.0239067	0.0900016	0.277592	0.582252
