 	la	seule	personne	qui	m'	offre	des	choses	dans	ce	village	c'	est	ondongo	</S>
a93	0.00962585	0.0104008	0.00897838	0.00991792	0.0118465	0.0133398	0.0265355	0.042867	0.0902785	0.124173	0.141559	0.134793	0.112429	0.119046	0.14421
a96	0.00472821	0.00551119	0.00463337	0.00528202	0.00680408	0.00837367	0.0164763	0.028595	0.0662101	0.106026	0.144552	0.158443	0.144311	0.145859	0.154195
a93	0.00343793	0.00461261	0.00392417	0.00364682	0.0041986	0.00505469	0.0100634	0.018247	0.044761	0.0805963	0.131331	0.157029	0.15798	0.178318	0.1968
a56	0.00215195	0.00263917	0.00211638	0.00208819	0.00253221	0.00309961	0.00612864	0.0117295	0.0308598	0.0615812	0.111306	0.147603	0.186681	0.222661	0.206822
a93	0.000990331	0.00134592	0.00124128	0.00122172	0.00136827	0.00155548	0.00328015	0.00639072	0.0160389	0.0348255	0.0743461	0.106472	0.17173	0.285175	0.294019
a4	0.000868807	0.00114466	0.00107508	0.00111494	0.00128534	0.00159369	0.00340172	0.00667563	0.0158908	0.0331758	0.0674317	0.0991862	0.160389	0.289641	0.317126
a13	0.000258473	0.000370017	0.000357341	0.000438677	0.000439391	0.000516505	0.00128651	0.00274835	0.00660633	0.0164945	0.043768	0.0720699	0.143031	0.320744	0.390871
a38	0.000172774	0.000241468	0.000286289	0.000413208	0.000403202	0.000523771	0.00150839	0.00269741	0.00475745	0.0103243	0.0259787	0.0537055	0.136345	0.351384	0.411259
a13	0.000632396	0.000784388	0.000642846	0.000798513	0.000746831	0.00114864	0.00291262	0.00435511	0.00638466	0.0122306	0.0280517	0.0546743	0.147009	0.354106	0.385523
a99	0.00160159	0.00235199	0.00215285	0.00340848	0.00364678	0.00497586	0.0103076	0.0138655	0.0189763	0.0317599	0.0612505	0.0851178	0.175409	0.292564	0.292612
a87	0.00185682	0.00262736	0.00246609	0.00349879	0.00373004	0.0051891	0.0105293	0.0143303	0.0186308	0.0319062	0.0605234	0.0777086	0.16851	0.304322	0.294171
a23	0.15424	0.0768841	0.0414914	0.027553	0.0209373	0.0164995	0.0208767	0.0267719	0.0348942	0.0449939	0.0692168	0.0775229	0.110904	0.137724	0.13949
a99	0.0451836	0.0170199	0.00982874	0.00654046	0.00431261	0.00328168	0.00456581	0.00671786	0.0103104	0.0213948	0.0414808	0.0752233	0.142995	0.258699	0.352446
a97	0.0162604	0.00663895	0.00461761	0.00372919	0.00280914	0.00237142	0.00331369	0.00508107	0.00954268	0.0216436	0.0431135	0.078411	0.142406	0.268003	0.392059
</S>	0.0178614	0.00877642	0.00578531	0.00560734	0.00593856	0.00453339	0.00514164	0.00669079	0.012482	0.0231906	0.039788	0.0755436	0.127709	0.277164	0.383788
