 	dieu	a	donné	à	jésus	le	nom	qui	dépasse	tout	autre	nom	en	honneur	</S>
a47	0.0256915	0.0371064	0.0563339	0.118494	0.168306	0.141988	0.101836	0.0925511	0.087434	0.0633779	0.0376946	0.019083	0.0165814	0.0156486	0.0178739
a0	0.0168634	0.023004	0.0316205	0.0662603	0.140276	0.146304	0.117041	0.116492	0.118962	0.0895554	0.0540477	0.0266175	0.0191528	0.0168498	0.0169529
a90	0.0106477	0.0158786	0.0228117	0.0515915	0.121982	0.162366	0.133803	0.130627	0.129488	0.0826612	0.0486226	0.0240159	0.0200779	0.0204858	0.0249411
a57	0.00689328	0.0103101	0.0145958	0.0350849	0.0825979	0.144514	0.139495	0.139753	0.146794	0.087292	0.058248	0.0301283	0.0284368	0.0315561	0.0443017
a53	0.00407578	0.0056663	0.00844685	0.0220503	0.0577678	0.136868	0.143899	0.145414	0.149026	0.0643418	0.0506007	0.0323448	0.0382705	0.0555764	0.0856523
a90	0.0139652	0.0175029	0.0204013	0.0359158	0.0673963	0.129523	0.130806	0.129435	0.137428	0.0755331	0.055549	0.0311508	0.0365823	0.0456855	0.0731271
a44	0.0131696	0.0173377	0.0205557	0.0379162	0.0624523	0.129899	0.127561	0.116696	0.125511	0.0756462	0.0578456	0.0407195	0.0486399	0.0537434	0.0723073
a90	0.00596331	0.00812391	0.0107248	0.0224542	0.0430177	0.107718	0.116328	0.119613	0.145159	0.0860302	0.0666766	0.0451887	0.0559299	0.067801	0.0992714
a92	0.00669358	0.00855341	0.0105935	0.0216183	0.0400517	0.100436	0.116652	0.122502	0.152478	0.088195	0.0684934	0.0444203	0.053602	0.0648506	0.10086
a61	0.0146741	0.0191764	0.0226346	0.0380173	0.0502284	0.11035	0.111855	0.103989	0.116792	0.0744007	0.0615518	0.0504469	0.0647294	0.0709804	0.0901745
a47	0.00753543	0.0102975	0.0135389	0.0281157	0.0494361	0.0980476	0.103751	0.106665	0.135661	0.0875419	0.0676814	0.0497035	0.0597694	0.0710521	0.111203
a88	0.0060977	0.00922567	0.0130203	0.0280882	0.0524654	0.116645	0.121047	0.122911	0.15026	0.09356	0.0645917	0.0415719	0.0484702	0.0538078	0.0782386
a71	0.00251062	0.00354212	0.00530467	0.0137154	0.0321538	0.0756582	0.0935167	0.106971	0.144847	0.0883921	0.0793731	0.0628765	0.0706066	0.0814514	0.139081
a75	0.00210007	0.00265879	0.00409253	0.0104013	0.0216249	0.0678179	0.0902712	0.09272	0.117518	0.0601266	0.0641585	0.0603982	0.0719948	0.105447	0.228671
a21	0.00946553	0.0110714	0.0133504	0.0216053	0.0276938	0.0671124	0.0766265	0.0825325	0.112512	0.0752814	0.0729827	0.0689629	0.0905472	0.105448	0.164808
a61	0.00888869	0.0105399	0.013027	0.0226132	0.0337124	0.0736605	0.0821749	0.0872576	0.110535	0.083904	0.0827731	0.0774139	0.0852633	0.0928506	0.135386
a75	0.00299651	0.0039732	0.00571383	0.01313	0.0232136	0.0508075	0.0622185	0.0657323	0.0925632	0.0641822	0.0745707	0.0833628	0.112591	0.13316	0.211784
a85	0.00542011	0.00676811	0.00924547	0.0169625	0.0228093	0.0527369	0.0586172	0.0618871	0.0871094	0.0668137	0.0761863	0.0837683	0.106377	0.127611	0.217687
a47	0.0080591	0.0106353	0.0140637	0.024028	0.0272323	0.0661364	0.0757095	0.0747854	0.0932973	0.0672507	0.0756763	0.0748522	0.09747	0.107667	0.183137
a73	0.00643961	0.00707654	0.00878714	0.0137876	0.0176724	0.043145	0.0517343	0.0556615	0.0818829	0.0484145	0.0644937	0.0766912	0.136583	0.151914	0.235717
a26	0.0102159	0.00670125	0.00685427	0.0100001	0.013101	0.0238956	0.0289982	0.0325214	0.0453137	0.0308023	0.0422578	0.0615648	0.139917	0.183174	0.364683
a53	0.0106049	0.00694152	0.00654653	0.00685136	0.00623235	0.0140967	0.0173813	0.015978	0.0245879	0.015223	0.024994	0.0435043	0.100906	0.180261	0.525891
a4	0.00230686	0.0014073	0.00122799	0.00144359	0.0018898	0.00419101	0.00508209	0.00559728	0.0102741	0.00782771	0.0137784	0.0336347	0.0977409	0.192094	0.621505
a13	0.000996892	0.0010066	0.00135166	0.0026076	0.0043224	0.0114385	0.012342	0.0113304	0.0189602	0.0140012	0.0233113	0.0442059	0.111669	0.17645	0.566006
a54	0.000577157	0.000481421	0.000655623	0.0011068	0.0015095	0.00497981	0.00640109	0.00558899	0.00911979	0.00572534	0.0112094	0.0275914	0.0934739	0.19646	0.63512
a47	0.000569977	0.000593292	0.000889951	0.00174001	0.00243423	0.00676737	0.00741906	0.00680935	0.0112365	0.00791684	0.0148351	0.0306384	0.10023	0.175069	0.632851
a26	0.000903246	0.00121598	0.00192727	0.00393221	0.0052812	0.0195629	0.0225771	0.0219428	0.0321697	0.0222405	0.033802	0.0497768	0.126866	0.200699	0.457103
a11	0.000901645	0.000712754	0.000865895	0.00124923	0.00127171	0.00349426	0.00524687	0.00577266	0.0109339	0.00825684	0.0198057	0.0530242	0.143991	0.246402	0.498072
a56	0.00084414	0.000657993	0.000874276	0.00129442	0.00139141	0.0040552	0.00499708	0.00436616	0.00647115	0.00419244	0.00936054	0.0265695	0.0982747	0.221629	0.615022
a34	0.000873229	0.00114547	0.00164904	0.0028214	0.0040766	0.0105775	0.0117959	0.00948938	0.0148327	0.0104543	0.0181372	0.0376359	0.108842	0.205658	0.562011
a75	0.000502259	0.000686665	0.00103439	0.00205685	0.00351071	0.00880147	0.0108066	0.00944881	0.0168736	0.0116527	0.019366	0.0366957	0.103748	0.206795	0.568021
a12	0.000536146	0.000756598	0.00121148	0.00252854	0.00406393	0.0106221	0.010787	0.00969354	0.0156737	0.0121622	0.0227373	0.04569	0.138237	0.226824	0.498477
a96	0.00092215	0.00116306	0.00148066	0.00265559	0.00515912	0.0141778	0.0179791	0.016579	0.0266887	0.0173301	0.0259001	0.0412524	0.0971719	0.193734	0.537806
a61	0.00075373	0.00094669	0.00127965	0.00234046	0.00431873	0.0109119	0.0139487	0.012384	0.0206329	0.01392	0.0213297	0.0362197	0.0870487	0.185915	0.58805
a12	0.000678724	0.000819601	0.00112788	0.00202415	0.00328032	0.00787148	0.0100547	0.00843192	0.0142158	0.00954835	0.0155932	0.0292189	0.0774495	0.177264	0.642421
a96	0.000875615	0.00104492	0.00139751	0.00250125	0.0045555	0.0110183	0.0147085	0.0130115	0.0213201	0.0146207	0.0217297	0.0356145	0.0835868	0.178174	0.595841
a66	0.000561124	0.000667151	0.00105274	0.00198238	0.00268794	0.00550218	0.00640937	0.00560205	0.00897238	0.006297	0.0113529	0.0263806	0.0815585	0.197979	0.642994
a38	0.00143411	0.00127321	0.00168548	0.00229696	0.00211946	0.0054556	0.00571145	0.00534426	0.00712242	0.00510048	0.011393	0.030901	0.0972294	0.231572	0.591362
a9	0.00189479	0.00160056	0.0018892	0.00244619	0.00205338	0.00505327	0.0057384	0.00589961	0.0077175	0.00543457	0.012293	0.0311629	0.101352	0.233452	0.582012
a10	0.0126306	0.00805074	0.00634678	0.00673594	0.00478776	0.00906056	0.0124994	0.016403	0.0313688	0.0308585	0.0492769	0.0759341	0.148308	0.220836	0.366902
a87	0.0543698	0.0366582	0.022346	0.0161889	0.00979425	0.0139242	0.0187204	0.0297189	0.0588304	0.0667443	0.083304	0.106819	0.147715	0.158025	0.176841
a23	0.0476333	0.0363994	0.0261604	0.021808	0.0165123	0.0295682	0.0394287	0.0610679	0.101053	0.106468	0.102051	0.0883865	0.106669	0.10959	0.107205
a87	0.0204309	0.013845	0.0102638	0.0110106	0.0101038	0.0200145	0.021913	0.025258	0.039985	0.0389759	0.0456426	0.0596822	0.149256	0.187303	0.346316
</S>	0.00320021	0.00300818	0.00308291	0.00602158	0.00780271	0.014837	0.0160657	0.0168247	0.0257209	0.0222137	0.0278146	0.0410272	0.144949	0.214549	0.452883
