 	mon	épouse	m'	a	emballé	du	poisson	dans	la	grosse	feuille	sauvage	lendubhu	</S>
a85	0.00475585	0.00499284	0.0133092	0.0266888	0.0505135	0.083339	0.142867	0.110275	0.0996297	0.0660925	0.0645037	0.0528485	0.0701988	0.209985
a47	0.00609002	0.00625372	0.0178567	0.0341923	0.0610679	0.101892	0.161442	0.115812	0.09731	0.0553434	0.0708556	0.0652612	0.0586786	0.147944
a0	0.00738202	0.00697355	0.0158069	0.027818	0.0483501	0.0710438	0.111731	0.0774747	0.0790357	0.0470878	0.0547792	0.0569721	0.0774909	0.318054
a75	0.013331	0.0132356	0.0223507	0.0362916	0.0589489	0.0778123	0.103694	0.0690707	0.0649782	0.0340549	0.0299058	0.0319208	0.0805461	0.36386
a34	0.00309666	0.00281363	0.00678278	0.0133108	0.0243897	0.0406504	0.0776938	0.0617338	0.0734234	0.0524036	0.0679028	0.0951796	0.145476	0.335143
a75	0.0048911	0.00422415	0.00993796	0.0210214	0.0417404	0.0632113	0.10555	0.0757421	0.0720433	0.0317327	0.0331175	0.0541152	0.106803	0.37587
a92	0.00244462	0.00217445	0.00538217	0.0117065	0.0225942	0.0375426	0.0665796	0.0489873	0.0540641	0.0358635	0.0464681	0.0821388	0.18531	0.398744
a75	0.00155107	0.00138234	0.00380489	0.00915042	0.0183157	0.0298091	0.0538386	0.0377148	0.0390225	0.0203622	0.0273341	0.0551539	0.162253	0.540307
a61	0.00101354	0.000964377	0.00269318	0.00620249	0.0127851	0.02184	0.0389545	0.0260464	0.0294548	0.0169647	0.0272824	0.0539285	0.165528	0.596342
a96	0.00127511	0.00121243	0.00321122	0.00722251	0.0131207	0.0223247	0.0345543	0.0203632	0.0223455	0.00974013	0.0137062	0.0315011	0.113711	0.705712
a70	0.00207165	0.00204808	0.0042093	0.00733134	0.0116945	0.0242371	0.0364122	0.022374	0.0264177	0.0129284	0.0158221	0.0311047	0.09711	0.706239
a13	0.00214362	0.00207157	0.00395689	0.00667709	0.0101674	0.0248797	0.0333611	0.0216834	0.0254716	0.0135056	0.0164839	0.0356863	0.113276	0.690636
a9	0.0197884	0.0195281	0.0225441	0.0231118	0.0236806	0.0449775	0.0524236	0.0349636	0.0342625	0.0213109	0.0228604	0.0349334	0.117354	0.528262
a3	0.109321	0.0626256	0.0486041	0.041436	0.0413026	0.050586	0.0560042	0.0455199	0.0398069	0.0290327	0.0220568	0.0275622	0.104302	0.321839
a97	0.131096	0.0680165	0.0347615	0.0320306	0.0315917	0.0373332	0.0417659	0.0388708	0.0481751	0.0523044	0.0455414	0.0561937	0.129816	0.252504
a9	0.0859662	0.0455883	0.02204	0.0269138	0.0288093	0.0386043	0.0454957	0.0357276	0.0489782	0.0466741	0.0421176	0.0568054	0.139938	0.336342
</S>	0.0367563	0.0199058	0.0102012	0.012669	0.0160386	0.0250958	0.0325906	0.0254378	0.0398974	0.037424	0.0439684	0.0590406	0.147874	0.4931
