 	les	villages	ngwakandi	et	ongondza	sont	éloignés	l'	un	de	l'	autre	</S>
a70	0.0184826	0.0240175	0.0339376	0.0869614	0.0721689	0.0616561	0.0691888	0.0704238	0.0623842	0.0584132	0.0757374	0.128142	0.238487
a66	0.0135567	0.0169039	0.0225513	0.0646405	0.0602367	0.0591133	0.0716759	0.0732845	0.0638749	0.0586475	0.0771944	0.138914	0.279406
a93	0.00968744	0.0120411	0.0131892	0.0417107	0.0456298	0.0585422	0.0772508	0.0826683	0.0741088	0.0673393	0.0853805	0.145172	0.28728
a70	0.00904925	0.0104178	0.00975521	0.0315809	0.0342389	0.0425344	0.0536759	0.0679491	0.0646141	0.0616304	0.0846013	0.160631	0.369322
a99	0.00799483	0.00870332	0.00816612	0.0213796	0.024445	0.0364256	0.0454445	0.0715452	0.0800632	0.0799758	0.103066	0.159499	0.353291
a4	0.00417843	0.00471129	0.00373152	0.00896327	0.0108714	0.0229502	0.029826	0.0608889	0.0814946	0.0894036	0.117911	0.184903	0.380168
a70	0.00258199	0.0027756	0.001773	0.00495666	0.00660443	0.012127	0.0157319	0.0392558	0.0588301	0.0768668	0.11723	0.205985	0.455282
a90	0.00203527	0.00222476	0.00166911	0.00420696	0.00536002	0.00925509	0.0120619	0.0311856	0.0506012	0.0751412	0.127862	0.220821	0.457576
a56	0.0045955	0.00537773	0.00425395	0.017631	0.0227584	0.0362124	0.0419109	0.0675949	0.0866993	0.103841	0.126736	0.171854	0.310535
a4	0.00131596	0.00154989	0.000963991	0.00369294	0.00457611	0.00836095	0.00974542	0.0223225	0.042073	0.0742939	0.137481	0.247012	0.446612
a13	0.000952795	0.00101782	0.000606235	0.00167099	0.00199985	0.00363139	0.00459373	0.0136119	0.0307933	0.0621248	0.142334	0.277482	0.459182
a70	0.00129107	0.00138511	0.000819715	0.00165746	0.00177353	0.00326556	0.00407099	0.01191	0.0259966	0.0525184	0.134466	0.279675	0.481171
a13	0.00143371	0.00147775	0.000912705	0.00169819	0.00204396	0.00351196	0.00430019	0.010597	0.0227158	0.0459797	0.125145	0.290801	0.489383
a30	0.00343797	0.00344057	0.00156919	0.0027038	0.00342945	0.00490558	0.00541611	0.010232	0.0231185	0.0493565	0.125473	0.27675	0.490167
a83	0.0192295	0.0153285	0.00759295	0.00964651	0.00923328	0.0112152	0.0111192	0.0145897	0.0308869	0.0522762	0.10022	0.250906	0.467756
a37	0.0188701	0.0146155	0.00660539	0.00830317	0.00891118	0.00945917	0.00947789	0.0124845	0.0232158	0.0390453	0.0916703	0.257037	0.500305
a66	0.019439	0.0151595	0.00749659	0.00880227	0.00962302	0.0099473	0.0097879	0.0127332	0.0229991	0.0381725	0.0885264	0.254341	0.502972
a26	0.0486608	0.0371469	0.0233896	0.0228798	0.024106	0.0208951	0.0167468	0.0202025	0.0353816	0.0494728	0.0820613	0.205627	0.41343
a57	0.0908181	0.0815356	0.0624745	0.0629373	0.0542923	0.0430973	0.0310021	0.0347609	0.0521937	0.0640946	0.0809781	0.137798	0.204017
a97	0.0631222	0.0628889	0.052887	0.0511535	0.0464987	0.0352338	0.0277075	0.037012	0.0593356	0.0756017	0.101087	0.168214	0.219257
a87	0.082308	0.0851618	0.0727959	0.0652635	0.0540278	0.0430686	0.0335223	0.043158	0.0642304	0.0767634	0.0916127	0.132259	0.155828
a23	0.0720752	0.076024	0.0671184	0.0718063	0.0677409	0.0592288	0.0469447	0.057623	0.0682396	0.0741948	0.0820679	0.115564	0.141372
a87	0.0577916	0.0535396	0.0398981	0.0507627	0.0554894	0.0537616	0.0458572	0.0622231	0.074759	0.0879387	0.089783	0.128215	0.199981
a23	0.0500626	0.0501991	0.0428295	0.0747481	0.0909785	0.0711792	0.0489686	0.0644773	0.0703727	0.0781924	0.0830062	0.111061	0.163925
a87	0.0543646	0.0549041	0.0433552	0.0706745	0.0794951	0.0644655	0.047683	0.0585151	0.0666827	0.0786318	0.0835534	0.115118	0.182557
a97	0.0407819	0.0408441	0.0357586	0.066523	0.0798533	0.0621328	0.0436835	0.0610461	0.0649354	0.075212	0.0918353	0.137398	0.199996
</S>	0.0691053	0.0711682	0.0568919	0.0872362	0.0896611	0.0580874	0.0384343	0.0485822	0.0519756	0.0612997	0.076101	0.112664	0.178793
