 	le	chef	de	notre	village	est	barbu	mais	la	barbe	du	prêtre	est	plus	longue	que	la	sienne	</S>
a61	0.0261145	0.0242001	0.0246319	0.0292374	0.0353129	0.05612	0.0941303	0.102243	0.0976442	0.117389	0.0941371	0.0852452	0.0707816	0.0449774	0.0181569	0.0102161	0.00914404	0.0215705	0.0387477
a96	0.0135423	0.013391	0.0161754	0.0254159	0.0345787	0.0573445	0.0983895	0.105618	0.100375	0.128564	0.0899148	0.0772911	0.0657984	0.0420303	0.0181153	0.0103274	0.0101763	0.0320826	0.0608693
a62	0.00770449	0.00872303	0.0115072	0.0214864	0.0347508	0.057556	0.100763	0.109535	0.0943108	0.110195	0.0842794	0.077927	0.0720281	0.0491772	0.0192219	0.010829	0.0105305	0.0390877	0.0803869
a21	0.0100022	0.0113072	0.014184	0.0242677	0.035641	0.0554888	0.0890238	0.0978721	0.0896294	0.109576	0.0851717	0.0800255	0.0754522	0.0543217	0.0228419	0.0140512	0.0129984	0.0409365	0.0772089
a47	0.0133391	0.0141734	0.0169965	0.0273566	0.0369063	0.0600074	0.0870807	0.100579	0.0993831	0.121104	0.0833839	0.0742699	0.0656924	0.0440586	0.0218821	0.017705	0.0181553	0.0372086	0.0607187
a88	0.00412092	0.00515121	0.00715998	0.0170004	0.0321638	0.0614686	0.103493	0.118444	0.105408	0.112083	0.0805865	0.0721708	0.0674867	0.0453219	0.021817	0.0151219	0.0132263	0.0382236	0.0795526
a71	0.00377335	0.00454051	0.0056036	0.0116163	0.0232727	0.0464533	0.0872383	0.11181	0.105971	0.114304	0.0897133	0.0786773	0.0731511	0.0474833	0.0219163	0.0143778	0.0137767	0.0456145	0.100706
a9	0.00257053	0.00348402	0.0046221	0.0094364	0.0245395	0.0555907	0.100987	0.133329	0.104293	0.0791423	0.0681809	0.0578335	0.0546914	0.0313273	0.018929	0.0157466	0.0167611	0.0666791	0.151856
a99	0.00649485	0.00586067	0.00720378	0.0123253	0.0225161	0.0512523	0.0921398	0.115338	0.0971829	0.0754565	0.0607489	0.0574306	0.0571959	0.0534428	0.0566032	0.0500833	0.0354366	0.0573765	0.0859115
a87	0.0156717	0.010542	0.0104621	0.0142434	0.0212597	0.0382627	0.0592543	0.0695804	0.0692051	0.086926	0.0819594	0.0950252	0.0923197	0.0808943	0.0723117	0.0535562	0.0387147	0.0385	0.0513114
a23	0.0249766	0.0141971	0.0111335	0.0142045	0.0184838	0.0269504	0.0292847	0.0417848	0.0545419	0.0856571	0.0866068	0.108622	0.106082	0.0973543	0.0897102	0.0687296	0.0453764	0.0344879	0.0418167
a99	0.00622661	0.00435357	0.00402254	0.00864966	0.0142054	0.0228282	0.0246079	0.0325659	0.0417983	0.0626049	0.0561805	0.0668412	0.0676564	0.0584059	0.0666545	0.0710342	0.0836632	0.114576	0.193126
a18	0.000993427	0.000927448	0.00158941	0.0047785	0.00900437	0.0145599	0.0169279	0.0198672	0.0193358	0.0203904	0.0187663	0.0215643	0.0225982	0.0201368	0.0293223	0.0532037	0.114885	0.221626	0.389523
a75	0.000332824	0.000393916	0.00080727	0.00241442	0.00565937	0.00904396	0.0111503	0.0131012	0.0119735	0.0120646	0.0108863	0.0118052	0.0130516	0.0111356	0.0150497	0.0353272	0.113399	0.246175	0.476229
a6	0.00192339	0.00241721	0.00455326	0.00972606	0.0184969	0.0269261	0.0292592	0.029074	0.0228903	0.0222701	0.0170142	0.0179609	0.0203975	0.0206421	0.0286145	0.0422081	0.0944638	0.234281	0.356881
a5	0.00423355	0.00558948	0.00986973	0.0197274	0.0329189	0.0457204	0.0490952	0.0506442	0.0441716	0.0413204	0.0306481	0.0295809	0.0317619	0.0279013	0.0280067	0.0326713	0.0574075	0.164538	0.294193
a61	0.0052178	0.00524799	0.00655047	0.00977632	0.0160247	0.0255126	0.0399028	0.0533629	0.0556952	0.0550957	0.046792	0.0443863	0.0436559	0.0433147	0.0406796	0.0436572	0.0719852	0.156849	0.236294
a21	0.00313323	0.00299298	0.00381358	0.00613113	0.00989763	0.0175184	0.0317068	0.0468103	0.0524443	0.0505196	0.0476638	0.0452199	0.0442828	0.0457095	0.0450674	0.0563575	0.0923573	0.170326	0.228047
a47	0.00414913	0.00383548	0.00483074	0.00786803	0.0117763	0.0184805	0.0309194	0.0458204	0.0509311	0.0492057	0.0493388	0.049848	0.0512983	0.0547686	0.0473237	0.0557881	0.0841084	0.161815	0.217894
a61	0.0031527	0.00325064	0.00444228	0.00918392	0.0148798	0.0256371	0.0447489	0.0645938	0.0713864	0.0685376	0.0598702	0.0524695	0.0527729	0.0479571	0.0414749	0.0489816	0.063701	0.123688	0.199272
a75	0.00134555	0.00141531	0.00192911	0.00487592	0.00943846	0.0200214	0.0370963	0.0500355	0.0552536	0.0550235	0.0448626	0.0407905	0.0396145	0.0375434	0.035748	0.0465654	0.0719332	0.174775	0.271732
a6	0.00178443	0.00184964	0.00283603	0.006701	0.0112234	0.0198461	0.0285671	0.0361759	0.0390463	0.0362332	0.030813	0.0294356	0.0315604	0.0295071	0.0270129	0.0380745	0.0612227	0.178245	0.389866
a36	0.000797177	0.000823364	0.00121453	0.00322141	0.00634174	0.013734	0.0228533	0.0301982	0.0333221	0.0293602	0.0237706	0.0204889	0.0214138	0.0188486	0.0208269	0.0395804	0.0797748	0.213755	0.419675
a26	0.000730789	0.000739649	0.000918032	0.00177421	0.0041839	0.0101543	0.0164877	0.0244138	0.0253491	0.0192573	0.0133115	0.0113674	0.0104424	0.00909903	0.0119292	0.0300293	0.086725	0.279213	0.443874
a21	0.00451643	0.00407322	0.0043534	0.00571985	0.00927475	0.0168094	0.0221723	0.0362075	0.0381149	0.0259413	0.0234042	0.0212281	0.0188273	0.0152908	0.0169924	0.0340678	0.0791304	0.226119	0.397757
a5	0.0016212	0.00166294	0.00176487	0.00270339	0.00478174	0.00891134	0.0133606	0.0180347	0.018414	0.0167953	0.014287	0.0131859	0.0130205	0.0122877	0.015229	0.0360109	0.0991474	0.302887	0.405894
a21	0.00151418	0.00163764	0.00172208	0.00250027	0.0039251	0.00739613	0.011548	0.0151939	0.0152596	0.0150004	0.011353	0.00966114	0.00911281	0.00815174	0.011229	0.0284533	0.084966	0.312946	0.448429
a5	0.00159043	0.00171607	0.00183436	0.00278124	0.00469039	0.00873837	0.0133384	0.0179992	0.0182154	0.016784	0.0142316	0.0125951	0.0132204	0.012788	0.0157018	0.0371789	0.101808	0.306573	0.398215
a18	0.00193512	0.00212747	0.00215239	0.00293224	0.00432518	0.00772998	0.0118882	0.0155723	0.0157559	0.0156145	0.012262	0.0104269	0.0106238	0.00966641	0.0122721	0.030761	0.0891649	0.313473	0.431317
a88	0.00100442	0.00135443	0.00160105	0.00211895	0.00296347	0.00422465	0.00493577	0.0070372	0.00676544	0.0056492	0.00540715	0.00416036	0.00356875	0.0022272	0.0029569	0.00827456	0.0393004	0.264052	0.632398
a71	0.000589178	0.000796251	0.000950718	0.00142798	0.0021013	0.00333518	0.0044014	0.00555998	0.00523499	0.00478928	0.00407304	0.00319456	0.00303769	0.00226658	0.00337392	0.009172	0.0422944	0.286741	0.616661
a21	0.00185139	0.00167224	0.0019882	0.00261546	0.00385555	0.00620333	0.00742077	0.0111326	0.0118585	0.00803778	0.00861255	0.00741316	0.00673583	0.00606205	0.00951075	0.0247076	0.0771598	0.272005	0.531157
a61	0.000557331	0.000795758	0.000999375	0.00157314	0.00280949	0.00484404	0.00719013	0.00948351	0.00856769	0.00778714	0.00622816	0.00542796	0.00590357	0.00563414	0.00861958	0.0226102	0.0730036	0.316803	0.511162
a75	0.000657559	0.00088031	0.00117059	0.00190317	0.00289809	0.00485911	0.00686934	0.0086859	0.0077738	0.00759706	0.00596608	0.00484471	0.00487394	0.00398404	0.00570646	0.0137686	0.0454115	0.281862	0.590287
a92	0.000691376	0.000995807	0.00126085	0.00205514	0.00339766	0.00568629	0.00803921	0.00947469	0.00841605	0.0077511	0.00613275	0.00513865	0.00585812	0.00488484	0.00707226	0.0200303	0.0654596	0.29085	0.546805
a56	0.000982517	0.00143314	0.00179117	0.00301395	0.00481814	0.00817202	0.0107863	0.0126695	0.0118206	0.0107083	0.00839642	0.00678406	0.00792684	0.00622068	0.0078855	0.0206502	0.0631299	0.2596	0.55321
a79	0.000285009	0.000405433	0.00053494	0.000973194	0.00144324	0.00243932	0.00308785	0.00377004	0.00331932	0.00278528	0.00200455	0.00130761	0.00127242	0.000802979	0.00127652	0.00482192	0.0307877	0.291602	0.647081
a92	0.000326124	0.000489046	0.000693046	0.00133732	0.00215483	0.00437634	0.00587751	0.00696632	0.00589341	0.00459338	0.00347142	0.00221349	0.00228758	0.00125812	0.00173752	0.00553381	0.0288145	0.271468	0.650509
a6	0.0002627	0.000415992	0.000586981	0.00103593	0.00160034	0.0029586	0.00410877	0.00544958	0.00447667	0.00335316	0.00263117	0.00182761	0.0020861	0.00148035	0.00232358	0.00828885	0.0396776	0.293383	0.624053
a36	0.000224343	0.000343672	0.000516623	0.000965954	0.00136743	0.00230468	0.00306482	0.0037863	0.00306251	0.00252093	0.00186558	0.00122581	0.00137362	0.000811739	0.00153574	0.00641822	0.0395122	0.322037	0.607063
a26	0.00174832	0.00214144	0.00299427	0.00439917	0.00755428	0.00972152	0.0108294	0.013921	0.0138363	0.0099739	0.00941758	0.00828175	0.00859518	0.00555012	0.00665313	0.0184643	0.0783978	0.298351	0.48917
a57	0.0467494	0.033161	0.0312504	0.0318162	0.034303	0.0362841	0.035714	0.0534969	0.0751785	0.068745	0.0779219	0.0700699	0.0609325	0.0343886	0.0257477	0.0384967	0.0527424	0.0813745	0.111627
a87	0.074103	0.044877	0.0295499	0.0227822	0.0181582	0.0185097	0.0172126	0.032611	0.059567	0.0589008	0.0784126	0.0733892	0.0698916	0.0565145	0.0610384	0.0809528	0.0724938	0.0622652	0.0687706
a23	0.0552995	0.0399619	0.0281443	0.0245443	0.0196953	0.0205907	0.0174284	0.0354442	0.0516887	0.0411298	0.0631518	0.0579033	0.0674522	0.0675138	0.0876013	0.102224	0.0934212	0.0617242	0.0650803
a87	0.0320115	0.021925	0.0169498	0.0146914	0.0118889	0.0152586	0.0137349	0.0307013	0.0388262	0.0316036	0.0467438	0.0406108	0.0477116	0.0353542	0.0412354	0.0712644	0.157714	0.149388	0.182387
</S>	0.00651274	0.00493388	0.00554458	0.00894532	0.0104453	0.0149752	0.0128896	0.0229859	0.0255443	0.0201264	0.0233222	0.018069	0.0202773	0.0125983	0.0183192	0.0417032	0.126609	0.254361	0.351837
