 	notre	père	a	coupé	l'	arbre	olembe	pour	scier	des	planches	</S>
a90	0.00672095	0.00948528	0.0135521	0.0255088	0.0463778	0.082215	0.0901287	0.103112	0.0936326	0.167126	0.170015	0.192126
a56	0.00257043	0.00355191	0.0063405	0.0151185	0.0302313	0.0637313	0.093568	0.116738	0.0785016	0.167279	0.186976	0.235393
a21	0.00215824	0.00317946	0.00531982	0.0120545	0.0240377	0.0494864	0.0626533	0.0918392	0.0802551	0.176749	0.21367	0.278597
a18	0.00142598	0.00193189	0.00289879	0.00553184	0.0115111	0.0250829	0.0335636	0.0569401	0.0636582	0.166405	0.262276	0.368775
a12	0.00245366	0.00390023	0.00634048	0.0132967	0.0253616	0.045329	0.0495346	0.0645367	0.0567548	0.143538	0.245027	0.343927
a18	0.00131449	0.0018197	0.00283599	0.00524968	0.00985574	0.0180774	0.021031	0.0306773	0.0342809	0.115162	0.275657	0.484039
a83	0.00146186	0.00234367	0.00354884	0.00664706	0.0114497	0.0171647	0.0176476	0.0235303	0.0259745	0.0917884	0.267051	0.531393
a88	0.00100354	0.00141059	0.00217467	0.00400332	0.00633563	0.00877848	0.00943281	0.0142912	0.019835	0.0731199	0.248717	0.610898
a71	0.000606452	0.000802638	0.00121095	0.00210316	0.00327349	0.00432594	0.00481898	0.00730127	0.0100351	0.05422	0.219129	0.692173
a54	0.000676946	0.0007422	0.00105687	0.00193063	0.00318798	0.0041854	0.00438357	0.00645548	0.00650283	0.0519643	0.196192	0.722722
a36	0.000796726	0.00116811	0.00196471	0.00331669	0.00535802	0.00772869	0.00783189	0.00955842	0.00991885	0.0706122	0.262235	0.61951
a11	0.00146662	0.00145719	0.00198074	0.00265051	0.00373781	0.00411645	0.00437686	0.00544208	0.0049532	0.0459866	0.198143	0.725689
a36	0.00193614	0.00210947	0.00280231	0.00458675	0.00657641	0.00753097	0.00792234	0.00936019	0.00724087	0.0518019	0.17568	0.722453
a26	0.00501731	0.00595985	0.00807534	0.012329	0.0174881	0.0189172	0.0190746	0.0206734	0.0147908	0.0694991	0.18136	0.626815
a7	0.018538	0.0196119	0.0235106	0.032307	0.0456996	0.0482064	0.0463025	0.0434267	0.0348972	0.0882191	0.159556	0.439725
a36	0.0046575	0.00509736	0.00649747	0.0125031	0.0165641	0.0204591	0.0309334	0.0360426	0.0349492	0.114043	0.22179	0.496464
a27	0.00559152	0.00567112	0.00679611	0.0114331	0.015871	0.019043	0.0297032	0.0325547	0.030458	0.105851	0.21806	0.518967
a82	0.0214581	0.0215317	0.0243025	0.0325895	0.0442001	0.0452586	0.0496627	0.047512	0.0452252	0.0965071	0.17783	0.393923
a87	0.115631	0.0694424	0.0628209	0.069206	0.0832455	0.0711658	0.0593165	0.0497671	0.0440584	0.071441	0.111605	0.1923
a23	0.185495	0.10744	0.0939734	0.0997781	0.118123	0.0956874	0.0550503	0.0375722	0.0217154	0.0325053	0.0591766	0.0934841
a87	0.0859798	0.0646597	0.0609477	0.0842692	0.107422	0.121405	0.0791926	0.0686544	0.0498363	0.0831551	0.0849891	0.109489
a10	0.023787	0.0209477	0.0225703	0.0502234	0.0863281	0.133678	0.108201	0.091861	0.0657352	0.114324	0.113847	0.168497
a87	0.029164	0.0255193	0.0277614	0.0624841	0.0968755	0.137646	0.121602	0.0945269	0.0692655	0.0952535	0.0814204	0.158481
</S>	0.0298304	0.0253161	0.0276066	0.0593991	0.0928823	0.125519	0.107973	0.0831456	0.0609167	0.0931229	0.0913707	0.202917
