 	cette	femme-ci	ne	jouit	plus	d'	une	bonne	santé	depuis	la	mort	de	son	mari	</S>
a40	0.0400653	0.0484608	0.083538	0.121858	0.100983	0.0828139	0.0697046	0.0733254	0.0576894	0.0522425	0.0428018	0.0340624	0.0328078	0.0338575	0.0492246	0.076565
a47	0.0350075	0.0386276	0.0775261	0.129628	0.106851	0.0898228	0.0781676	0.0796563	0.0629994	0.0576834	0.0434323	0.0347755	0.0313514	0.0322073	0.042568	0.0596959
a7	0.0215163	0.0210958	0.0581096	0.107349	0.113247	0.0954243	0.080194	0.0848654	0.0693416	0.0682887	0.0508244	0.041803	0.0377942	0.0383953	0.0466639	0.0650876
a34	0.0147667	0.0155982	0.0341147	0.0902829	0.125276	0.114283	0.099034	0.0895219	0.0607237	0.0576535	0.0418403	0.0366118	0.03464	0.041215	0.0593569	0.0850817
a21	0.0120561	0.0126349	0.0266678	0.0762233	0.120882	0.115358	0.106767	0.108257	0.0754699	0.0644198	0.0425365	0.0354384	0.0319578	0.0366808	0.0545332	0.0801182
a5	0.00818964	0.00685687	0.0126118	0.0339537	0.0973594	0.119561	0.126655	0.135557	0.0937154	0.0836374	0.0569335	0.0475058	0.0381346	0.0382689	0.042976	0.0580851
a37	0.00590028	0.00511192	0.00901062	0.0205635	0.0708051	0.0945924	0.108071	0.128833	0.100198	0.0981141	0.071453	0.0625844	0.050891	0.0500929	0.0541837	0.069596
a98	0.00780734	0.0109751	0.0165338	0.0276601	0.0623477	0.0932513	0.110051	0.123471	0.0915079	0.0898845	0.0692272	0.056845	0.0454333	0.0488961	0.0596056	0.0865038
a92	0.00221172	0.0017826	0.00353189	0.00815684	0.0315989	0.0513881	0.063585	0.0846366	0.0886641	0.110393	0.0918855	0.101518	0.0894743	0.0905814	0.0799215	0.100671
a21	0.00176851	0.0013533	0.00270166	0.00626338	0.0270031	0.0469088	0.0591831	0.0797419	0.0885599	0.110398	0.0884152	0.101085	0.0908131	0.0948673	0.0890064	0.111931
a61	0.00506789	0.00446604	0.00760407	0.0118916	0.0372506	0.0640483	0.0866237	0.113751	0.099244	0.103306	0.078028	0.0756792	0.0631837	0.0645143	0.0747195	0.110621
a43	0.0057481	0.00527257	0.00867491	0.0112038	0.0254826	0.0430432	0.0579346	0.0812976	0.0886773	0.105292	0.0860371	0.0869648	0.0761335	0.0798996	0.0953616	0.142977
a0	0.00692481	0.00829156	0.0112736	0.0144872	0.0209894	0.0330468	0.0401958	0.0517902	0.0608888	0.0836927	0.0744902	0.0773071	0.0729047	0.0890446	0.131228	0.223445
a94	0.017593	0.02726	0.027561	0.0357286	0.0358595	0.0541044	0.0598972	0.0630155	0.0547459	0.0689966	0.0617047	0.0609047	0.0552328	0.0702875	0.106955	0.200153
a56	0.0160343	0.0212891	0.0204846	0.0284737	0.0279869	0.0416344	0.0471958	0.0512143	0.0518413	0.0697612	0.069672	0.0777944	0.0766743	0.090439	0.114688	0.194817
a6	0.00214507	0.00251078	0.00327313	0.00607585	0.00934755	0.0170783	0.0217626	0.0279194	0.0377092	0.0609666	0.0592666	0.0747131	0.0859229	0.12178	0.187992	0.281537
a36	0.00155226	0.00148658	0.00201501	0.00321917	0.0060423	0.0113379	0.0156421	0.0236369	0.0377509	0.0560731	0.0517945	0.0650666	0.0733807	0.117335	0.209018	0.324648
a2	0.00699451	0.0083291	0.00916913	0.0104551	0.012	0.0195975	0.0243422	0.0308549	0.0426527	0.0705412	0.069092	0.0830935	0.0884644	0.125511	0.166097	0.232806
a84	0.0384236	0.0358878	0.0307656	0.0329591	0.0309457	0.0469733	0.0501015	0.0535836	0.0495129	0.0568749	0.0520462	0.0544238	0.0575854	0.0769446	0.127437	0.205535
a57	0.0401488	0.031098	0.023751	0.0326943	0.0302089	0.0502861	0.058619	0.0689469	0.0712518	0.0677621	0.0610002	0.0679685	0.0724641	0.0838847	0.105678	0.134238
a87	0.0633843	0.0496326	0.0253271	0.0228965	0.0159201	0.0269142	0.0356148	0.0481124	0.0568648	0.0493401	0.0495272	0.053089	0.0725431	0.0938334	0.142511	0.194489
a23	0.0909307	0.0704903	0.0346493	0.0352026	0.0314809	0.0466573	0.0526211	0.062252	0.0639147	0.0557056	0.051287	0.0587138	0.0723981	0.0821528	0.0904943	0.101049
a40	0.0167404	0.011383	0.00762231	0.0106461	0.0107766	0.0167952	0.021587	0.0324855	0.0573765	0.0632473	0.067702	0.07084	0.100624	0.130317	0.167121	0.214736
a79	0.00119349	0.0010755	0.00128959	0.0032624	0.00954765	0.0190268	0.0235286	0.0316335	0.0313727	0.0281593	0.0283575	0.0352553	0.055555	0.093083	0.223602	0.414058
a44	0.000563891	0.000661205	0.000881186	0.00235909	0.00832933	0.0162382	0.0221305	0.0321747	0.0357791	0.0348241	0.0347703	0.0427781	0.0683326	0.108731	0.223614	0.367833
a15	0.00061114	0.000692958	0.00096378	0.00256741	0.00718315	0.0122198	0.0167839	0.0229418	0.0315345	0.0326813	0.0329629	0.0399839	0.0686464	0.114194	0.243449	0.372585
a98	0.000419084	0.00036294	0.000537587	0.0014121	0.00509746	0.00996963	0.0143254	0.0206534	0.0317855	0.038635	0.038812	0.0508621	0.0791579	0.131546	0.235846	0.340579
a85	0.000548069	0.000488877	0.000709221	0.00202342	0.0069089	0.0126756	0.0173171	0.0246716	0.0360923	0.0427689	0.0415862	0.0503662	0.0681759	0.108263	0.220823	0.366582
a92	0.000324864	0.000304118	0.000366855	0.000879488	0.0029579	0.00569594	0.00826405	0.0138356	0.0252489	0.034157	0.0351144	0.0455231	0.0717939	0.122118	0.236581	0.396836
a44	0.000391734	0.000328435	0.000429906	0.00110781	0.0036603	0.00620722	0.00819331	0.0126473	0.0216978	0.0305762	0.0337082	0.0480484	0.079412	0.129823	0.235668	0.388101
a93	0.00076324	0.000717018	0.000865842	0.00166662	0.00381371	0.00668886	0.00892654	0.0125462	0.0224308	0.0327856	0.031246	0.0413894	0.0679266	0.123617	0.23972	0.404897
a44	0.000789491	0.000749472	0.00078931	0.00153185	0.00311925	0.00563627	0.00748957	0.0105056	0.0190247	0.0289763	0.0296617	0.0420937	0.0689276	0.125397	0.246708	0.408601
a93	0.000443715	0.00043039	0.000494351	0.000997417	0.00191473	0.0036415	0.00510669	0.00790217	0.0147089	0.0238643	0.0253358	0.0379122	0.0621311	0.116601	0.250073	0.448443
a70	0.000474026	0.000459592	0.000529546	0.00106472	0.00198153	0.00372337	0.00531697	0.00856793	0.0162673	0.0260176	0.0279811	0.0403806	0.0640306	0.115727	0.244322	0.443156
a13	0.000552232	0.000570877	0.000681944	0.0013521	0.00209243	0.00432533	0.00674472	0.0104896	0.0163923	0.0235053	0.0247035	0.0348222	0.0526887	0.0973638	0.243685	0.48003
a9	0.0023119	0.0025286	0.00207292	0.00270521	0.0034507	0.00682272	0.00929496	0.0119289	0.0161378	0.0220374	0.0267032	0.0420173	0.0661862	0.121375	0.249359	0.415068
a10	0.0126573	0.00916677	0.00802612	0.00782337	0.0106553	0.0191331	0.0231882	0.0265823	0.0306388	0.0380279	0.0438532	0.071245	0.109872	0.160664	0.193433	0.235034
a87	0.045332	0.0265511	0.0179677	0.0162838	0.0176334	0.0258344	0.0288353	0.0320411	0.0410888	0.0509983	0.055314	0.0824915	0.10553	0.135779	0.147618	0.170701
a23	0.0865879	0.0677372	0.039241	0.0395423	0.0316001	0.0424947	0.0466376	0.0565785	0.0697345	0.0673788	0.0614043	0.0680228	0.0706078	0.0790944	0.0819065	0.0914315
a99	0.011369	0.00715699	0.00353483	0.00323503	0.00323905	0.00646027	0.00974782	0.0182586	0.0416615	0.0457061	0.0451565	0.0547899	0.0820714	0.12672	0.211308	0.329584
a97	0.0105835	0.00772262	0.00422259	0.00516906	0.00719798	0.0131293	0.0192807	0.0334868	0.0588178	0.0606488	0.0559137	0.0612468	0.0813181	0.116942	0.18004	0.28428
</S>	0.0155781	0.0117705	0.0059882	0.00865427	0.0093835	0.0146274	0.0208892	0.0317927	0.048412	0.0470578	0.0452194	0.0454108	0.0610547	0.090711	0.184172	0.359279
