 	apporte	moi	la	serviette	pour	que	je	puisse	m'	essuyer	</S>
a21	0.00484824	0.0075878	0.0102785	0.0219661	0.0238755	0.0230034	0.0254787	0.0600623	0.0827515	0.238654	0.501494
a85	0.00156787	0.00285293	0.00438646	0.0105131	0.0113212	0.0129376	0.0155728	0.0446662	0.0773227	0.277773	0.541086
a6	0.0017335	0.00369175	0.0051801	0.0106921	0.0101492	0.0127425	0.0163905	0.0425261	0.0685843	0.261044	0.567266
a37	0.00201484	0.00389224	0.00603231	0.0145883	0.0126786	0.0160566	0.0183549	0.0431971	0.0618269	0.195225	0.626133
a93	0.00329965	0.00573902	0.00757892	0.0209855	0.0171744	0.0165761	0.0171143	0.0392682	0.0509332	0.158057	0.663273
a70	0.00198641	0.00341277	0.00472746	0.0142271	0.0115902	0.012088	0.0138986	0.0334196	0.042303	0.141112	0.721235
a57	0.00213064	0.00390312	0.00480082	0.0110137	0.00939821	0.00766439	0.00739604	0.0205456	0.0305108	0.140397	0.76224
a82	0.0124717	0.0143301	0.0145214	0.0229675	0.0209485	0.0177108	0.0171745	0.0366783	0.0512317	0.185043	0.606923
a97	0.0499387	0.0461776	0.0445674	0.0552622	0.050313	0.0438094	0.0417439	0.0667411	0.0908221	0.187417	0.323208
a87	0.0517771	0.036803	0.0395329	0.0592409	0.0496464	0.0558944	0.0743971	0.110433	0.147816	0.14934	0.225119
a23	0.0870218	0.0473229	0.054158	0.103845	0.0575501	0.0608553	0.0983941	0.132042	0.145325	0.0927057	0.120779
a87	0.122469	0.048416	0.0364759	0.066318	0.0354828	0.0342455	0.0593883	0.0643528	0.109256	0.146288	0.277307
a23	0.0495361	0.0243707	0.0221641	0.0381774	0.0178667	0.0156008	0.0251953	0.0259369	0.0481889	0.137361	0.595602
a87	0.0928994	0.0525322	0.0444506	0.0786372	0.0399054	0.0359709	0.0670784	0.056824	0.0664245	0.11541	0.349867
a23	0.0709927	0.0527337	0.0603588	0.0952369	0.0493375	0.0412168	0.0711929	0.055738	0.0500081	0.0951302	0.358054
</S>	0.0946248	0.0648874	0.0617409	0.103891	0.0572162	0.049204	0.0861625	0.0659547	0.0696819	0.0955367	0.2511
