 	les	jeunes	gens	font	de	la	propagande	pour	l'	église	qu'	ils	viennent	d'	implanter	ici	dans	le	village	</S>
a21	0.00320124	0.00349754	0.00579727	0.0120853	0.0208199	0.0327083	0.0190101	0.0271143	0.0394862	0.0434789	0.0483888	0.0737411	0.0640865	0.0797781	0.105349	0.0604819	0.063724	0.0752667	0.0914683	0.130517
a88	0.00324817	0.00426744	0.00713021	0.013498	0.0233741	0.035552	0.0206123	0.027089	0.0380103	0.0451332	0.0484693	0.0698179	0.0529595	0.064996	0.0877097	0.0583817	0.0694606	0.0849229	0.104139	0.141229
a61	0.00240975	0.00301104	0.00453859	0.00735233	0.0125531	0.0221001	0.0185098	0.0252996	0.0380025	0.0479293	0.0545419	0.0862118	0.0633879	0.0765731	0.0788193	0.0431268	0.0581721	0.0843713	0.115407	0.157683
a62	0.0021129	0.00272927	0.00416843	0.0068929	0.0123179	0.022268	0.0184133	0.0284262	0.0435018	0.0551612	0.0608979	0.0938833	0.0707285	0.084326	0.0829418	0.0422429	0.0526926	0.073034	0.100676	0.142585
a21	0.00219909	0.00283637	0.00409739	0.00645546	0.0111442	0.0199803	0.0179307	0.0281357	0.04344	0.0550634	0.0618126	0.0955596	0.0737281	0.086902	0.0824682	0.0412321	0.0512772	0.0708181	0.101979	0.142941
a85	0.00329349	0.00374058	0.00451616	0.00646589	0.0112097	0.0200624	0.0164139	0.0291951	0.039279	0.0456107	0.053885	0.0705103	0.0594819	0.0646738	0.0711363	0.0505322	0.0663583	0.0907139	0.129913	0.163008
a47	0.00153503	0.00189556	0.00290094	0.00535078	0.011014	0.0174442	0.0119803	0.0208271	0.0306875	0.0344344	0.0448202	0.0644356	0.0585153	0.0684812	0.0840326	0.0628564	0.0746538	0.0921004	0.130123	0.181912
a44	0.00132101	0.0013613	0.002181	0.00422436	0.00785574	0.0132063	0.00645003	0.0119491	0.0196774	0.0230879	0.0297117	0.0501071	0.0426199	0.0560897	0.0691253	0.0462673	0.0702876	0.117343	0.180097	0.247037
a98	0.00174444	0.00191881	0.00290996	0.00422638	0.00564554	0.0084192	0.00437594	0.00727087	0.0117425	0.012621	0.0159052	0.0279363	0.0244616	0.0344934	0.0399163	0.0314515	0.0597086	0.124723	0.228801	0.351728
a47	0.000874621	0.000966056	0.00135922	0.00170499	0.00281104	0.00421397	0.00273046	0.00553195	0.0106802	0.0134662	0.018635	0.0380902	0.0330018	0.0472445	0.0657351	0.0392914	0.0678209	0.126072	0.215215	0.304556
a11	0.00186619	0.00191413	0.00230739	0.00256497	0.00354316	0.0053069	0.00397925	0.0070236	0.0114117	0.0143382	0.0195583	0.0364134	0.0328504	0.0465441	0.0698723	0.0435625	0.0794136	0.143673	0.214124	0.259733
a75	0.00107615	0.00149073	0.00246068	0.00331468	0.0037214	0.00439709	0.00282744	0.00652968	0.0109514	0.0139187	0.0184772	0.0294203	0.0275147	0.037348	0.0483801	0.0452538	0.0757628	0.136087	0.211786	0.319282
a44	0.000940103	0.00113926	0.0017007	0.00207986	0.0028614	0.00362699	0.00245289	0.00513376	0.00867329	0.0102585	0.0136395	0.0269528	0.0257417	0.0374637	0.0542352	0.0462451	0.0784573	0.140483	0.221336	0.316579
a84	0.000482185	0.000625155	0.0011173	0.00154112	0.00207718	0.0024222	0.00150386	0.00309994	0.00503007	0.00638351	0.00827908	0.0140328	0.0124915	0.0190842	0.0267565	0.0274861	0.0488538	0.11061	0.246677	0.461447
a57	0.00105726	0.00119869	0.00152652	0.00185908	0.00281078	0.00354385	0.00156384	0.00448652	0.00634906	0.00715203	0.0092036	0.0125366	0.0103634	0.0123925	0.018225	0.0264856	0.0498345	0.119108	0.253892	0.456411
a38	0.00766669	0.00632813	0.00520264	0.00359292	0.00432059	0.00506777	0.00334988	0.0077371	0.00852076	0.0103343	0.0130841	0.0133	0.0137197	0.0153966	0.0308115	0.0660631	0.0964934	0.155584	0.22851	0.304917
a4	0.00401914	0.00300563	0.00230591	0.00149043	0.00175021	0.00202302	0.00162108	0.00445462	0.00514438	0.00671106	0.00853918	0.00926492	0.0105062	0.0121	0.025064	0.0559087	0.0870781	0.15127	0.250734	0.357009
a13	0.000177513	0.0001826	0.000235258	0.00020175	0.000333178	0.000440028	0.000292068	0.00152165	0.00294808	0.00369223	0.00660091	0.0104541	0.0103329	0.0135102	0.0251509	0.0345133	0.0612681	0.128459	0.247708	0.451978
a53	0.000349811	0.000472356	0.000686129	0.000606067	0.000947491	0.00118013	0.000672356	0.00287866	0.00440041	0.00580587	0.00778136	0.0118202	0.0112139	0.0154623	0.0315187	0.0415533	0.0714343	0.136471	0.244667	0.410079
a20	0.00010893	0.000139794	0.000222592	0.000203176	0.000390472	0.000530264	0.000337892	0.00163517	0.00310808	0.00378548	0.00608799	0.0110647	0.0101816	0.0148597	0.0269576	0.0324015	0.0600514	0.132253	0.266632	0.429049
a7	0.000165488	0.000259207	0.000509495	0.000577765	0.00111149	0.00174387	0.00134873	0.00504466	0.00774946	0.008646	0.0102422	0.0168038	0.0145121	0.0206698	0.0331789	0.0273683	0.0478083	0.106581	0.251664	0.444015
a57	0.000602367	0.000848842	0.00134727	0.00166607	0.00309675	0.004214	0.00189978	0.00740627	0.0112564	0.0119241	0.0161978	0.0269837	0.0247579	0.0308117	0.0424882	0.0418414	0.0680501	0.129522	0.231765	0.34332
a87	0.0162925	0.0151311	0.0148016	0.0135775	0.0157141	0.0172632	0.00797175	0.0199745	0.0212082	0.0260427	0.0287483	0.0332044	0.0361449	0.0410494	0.0624128	0.0835138	0.0999888	0.13072	0.146971	0.169269
a23	0.0440805	0.0325748	0.0254233	0.0168356	0.0178286	0.0201134	0.0131288	0.0261066	0.0272602	0.0343319	0.0363213	0.03954	0.038274	0.0459706	0.0712751	0.0790869	0.0903797	0.108666	0.112491	0.120311
a87	0.00656946	0.00438516	0.00315428	0.00210933	0.00285466	0.00343383	0.00234564	0.00778285	0.0110103	0.0147053	0.0206205	0.0269121	0.0311153	0.0472996	0.0897313	0.117959	0.136517	0.160826	0.162123	0.148545
a23	0.003039	0.00221445	0.00186417	0.0011603	0.00165071	0.00211672	0.0015673	0.00651034	0.00996848	0.0128607	0.0155298	0.0194725	0.0243383	0.0408306	0.0939865	0.112658	0.129115	0.157934	0.170983	0.1922
a38	0.00318978	0.00223715	0.00186277	0.00123283	0.00198333	0.00266829	0.00193147	0.00750868	0.0121317	0.016914	0.019719	0.0226848	0.0251217	0.0387112	0.0853341	0.112221	0.120541	0.147042	0.172732	0.204233
</S>	0.00391439	0.00295225	0.00284751	0.00263912	0.00434944	0.00613324	0.00572801	0.0135745	0.0148918	0.0195201	0.0222434	0.0219786	0.0266096	0.0353949	0.0631662	0.0909166	0.0915263	0.11713	0.175861	0.278623
