 	son	bonheur	était	d'	avoir	tous	ses	enfants	autour	d'	elle	</S>
a75	0.0372437	0.0311741	0.0512705	0.0898595	0.130229	0.16499	0.114242	0.0984746	0.0645947	0.0600351	0.0641364	0.0937505
a14	0.0375169	0.039643	0.0576566	0.0981717	0.151303	0.193784	0.129664	0.0951812	0.0573155	0.0464992	0.0449324	0.0483323
a30	0.0384599	0.0437577	0.0559478	0.0835151	0.117235	0.141522	0.106807	0.0909413	0.070373	0.075267	0.0808513	0.0953227
a41	0.026672	0.0280982	0.0379427	0.0535063	0.0811599	0.123996	0.121392	0.121244	0.0938978	0.0944223	0.0989634	0.118705
a26	0.0154021	0.0156774	0.0223648	0.0373089	0.0647829	0.105244	0.118817	0.130982	0.0982182	0.108964	0.123654	0.158586
a24	0.0103797	0.0119019	0.0154704	0.0256089	0.0455298	0.0794614	0.0993902	0.10485	0.079509	0.108089	0.156254	0.263555
a25	0.0103878	0.0116025	0.0173328	0.0317915	0.0496026	0.0713408	0.0920961	0.109539	0.0962619	0.134283	0.156437	0.219326
a38	0.00822658	0.00740978	0.011218	0.0218021	0.0404945	0.0655845	0.0919118	0.112268	0.0897049	0.129316	0.169112	0.252951
a14	0.00998996	0.00978832	0.0136629	0.0241739	0.0425608	0.0656692	0.0939558	0.116748	0.0950409	0.120919	0.157802	0.24969
a35	0.011524	0.0119232	0.0183579	0.0308703	0.0494967	0.0668683	0.0925137	0.115164	0.0979395	0.120429	0.152172	0.232741
a30	0.00774669	0.00703844	0.0114215	0.0224512	0.0381092	0.0498447	0.0754956	0.108459	0.0986602	0.139958	0.175254	0.265561
a73	0.00480522	0.00475125	0.00812045	0.0163839	0.0300796	0.0426951	0.0635962	0.0875569	0.0824898	0.14133	0.204892	0.3133
a26	0.00706583	0.0056485	0.00826509	0.0140204	0.0237934	0.0335591	0.0512936	0.0759814	0.0760144	0.135851	0.208878	0.35963
a54	0.00264404	0.00232677	0.00314697	0.00598325	0.0126815	0.0206768	0.0371667	0.0517776	0.0567381	0.139046	0.258397	0.409416
a14	0.00630299	0.00396784	0.00577469	0.0106887	0.0202778	0.0276998	0.0433597	0.065205	0.066945	0.133525	0.221629	0.394624
a35	0.0059538	0.00457998	0.00699032	0.0140849	0.0263336	0.0347452	0.0518533	0.0689922	0.070379	0.122851	0.197033	0.396204
a14	0.00464878	0.00338357	0.00489777	0.0103442	0.0190623	0.0244789	0.0381567	0.0585031	0.0671445	0.142199	0.23404	0.393142
a2	0.00501432	0.00376359	0.00452862	0.00779366	0.0137937	0.0182337	0.0289068	0.0458628	0.0605835	0.145315	0.254239	0.411965
a54	0.00218614	0.00169985	0.00190425	0.00281119	0.0054884	0.00915188	0.02041	0.0312432	0.0418887	0.129	0.307303	0.446914
a14	0.00925443	0.00392213	0.004858	0.00901636	0.0183442	0.02554	0.0358844	0.0503129	0.0528964	0.120924	0.22583	0.443217
a37	0.00971462	0.00539213	0.00776657	0.014875	0.0251909	0.0306166	0.0431113	0.0592314	0.0671764	0.135358	0.22069	0.380877
a61	0.00374184	0.00250927	0.00328685	0.00647461	0.0129132	0.0178084	0.0271404	0.0396241	0.0437513	0.120142	0.263814	0.458794
a24	0.00328107	0.0025027	0.00304661	0.00551153	0.009972	0.0127718	0.0209932	0.0354225	0.04228	0.116693	0.25988	0.487646
a94	0.00217255	0.00156819	0.00165953	0.00251597	0.00430882	0.00635866	0.0133139	0.0246408	0.0336433	0.109529	0.269113	0.531176
a35	0.00453312	0.00261401	0.00251415	0.00333861	0.00566639	0.00867533	0.0157813	0.0262404	0.0334526	0.105836	0.270523	0.520825
a75	0.00725081	0.00268139	0.00256839	0.00389775	0.00703914	0.0099239	0.0159449	0.0233472	0.0302323	0.100277	0.26285	0.533987
a41	0.0113798	0.00454626	0.00556107	0.0100205	0.0176105	0.0227812	0.0327244	0.042423	0.0471712	0.108681	0.221933	0.475168
a69	0.00721159	0.00325854	0.00345109	0.005017	0.0080921	0.011083	0.017432	0.0238041	0.0311139	0.095231	0.251752	0.542553
a84	0.00755687	0.00308295	0.00348126	0.00598303	0.0121361	0.0172497	0.0255735	0.0321405	0.0352089	0.0927243	0.235266	0.529597
a57	0.00409934	0.00205048	0.0020727	0.00274236	0.00516647	0.00818962	0.021099	0.0342749	0.0506397	0.133448	0.291843	0.444375
a87	0.00705741	0.00364281	0.00266514	0.0028487	0.00355053	0.00365781	0.0107174	0.0229542	0.0460781	0.140701	0.321373	0.434754
</S>	0.0308357	0.0216666	0.00954515	0.00599341	0.00577523	0.00536226	0.0142966	0.0287604	0.0542874	0.131689	0.262909	0.42888
