 	j'	ai	décollé	la	feuille	de	papier	qui	était	sur	le	mur	de	la	maison	</S>
a12	0.00909956	0.0280163	0.0901534	0.160535	0.142459	0.129074	0.127987	0.0766792	0.0609052	0.0453679	0.0365841	0.0227615	0.0162749	0.0168367	0.0172805	0.0199859
a18	0.00837133	0.0250015	0.0859142	0.146982	0.132283	0.127673	0.119084	0.0771553	0.0653212	0.0549729	0.0479043	0.030935	0.0200717	0.0190346	0.0183918	0.0209039
a23	0.00665255	0.0165737	0.0488532	0.12431	0.144002	0.14656	0.147697	0.0979035	0.0760148	0.0532267	0.0403124	0.0245939	0.0164215	0.0170457	0.0177731	0.0220593
a75	0.00305086	0.00688044	0.0190804	0.0711893	0.0956867	0.126718	0.156925	0.122518	0.0994547	0.0765092	0.0601045	0.0352506	0.0257202	0.0284871	0.0314651	0.0409599
a6	0.00179091	0.00477086	0.0165734	0.0589806	0.06877	0.0966636	0.107437	0.0873799	0.0761838	0.0745533	0.069763	0.0609191	0.0563597	0.0603973	0.0703103	0.0891474
a36	0.00321069	0.00729765	0.0213617	0.0637359	0.0747921	0.108084	0.106075	0.0849386	0.0769609	0.0741158	0.0684838	0.0617458	0.0527325	0.0539308	0.0625914	0.0799431
a27	0.00430448	0.00784377	0.0180804	0.0493186	0.0612031	0.0891859	0.107216	0.0975927	0.0982048	0.0899983	0.0769722	0.060371	0.0457911	0.0489965	0.0591694	0.0857518
a11	0.00529413	0.00764322	0.0106658	0.018116	0.0245723	0.0416749	0.0812927	0.118012	0.140858	0.130669	0.105207	0.0703175	0.0470529	0.0512143	0.0607885	0.0866217
a70	0.00420738	0.00574106	0.00636292	0.0105991	0.0164088	0.0290452	0.0594163	0.0901231	0.113494	0.120221	0.104461	0.0774781	0.0611555	0.0730524	0.0942753	0.133958
a88	0.00140748	0.00237741	0.00517655	0.00973304	0.0157249	0.030313	0.0492495	0.0708808	0.0915515	0.11328	0.112328	0.0926049	0.081354	0.0908762	0.100382	0.132762
a13	0.00117113	0.00173185	0.00318694	0.00490654	0.00823255	0.0155594	0.03121	0.0522777	0.075228	0.102922	0.107296	0.0964361	0.0958469	0.113818	0.125558	0.164618
a38	0.00109734	0.00153699	0.00235454	0.00322308	0.00547109	0.0102785	0.023149	0.0426097	0.0650451	0.0996358	0.107599	0.108062	0.110872	0.124399	0.130618	0.164048
a62	0.00054152	0.000804409	0.00120028	0.00192464	0.00349323	0.00632536	0.0136991	0.0269885	0.0445875	0.0804739	0.0925456	0.101378	0.121709	0.144356	0.157457	0.202515
a83	0.000391508	0.000590846	0.00128742	0.0024274	0.0044912	0.00762523	0.0116377	0.0176584	0.0285708	0.0519601	0.0668203	0.0819554	0.126404	0.184674	0.19038	0.223125
a94	0.00019052	0.000258673	0.000505522	0.000982133	0.0019872	0.00375222	0.00675817	0.0122312	0.0216468	0.0472874	0.0632591	0.0728087	0.122194	0.188963	0.205123	0.252052
a99	7.93499e-05	0.000119574	0.00019987	0.000524799	0.00108516	0.00202632	0.00429983	0.00941036	0.0180206	0.0436066	0.0596111	0.0697226	0.125921	0.19065	0.20761	0.267113
a54	7.40714e-05	0.000100983	0.000134948	0.000398041	0.00085447	0.00165154	0.00331393	0.00711142	0.014658	0.0386847	0.0573565	0.0661288	0.123198	0.187835	0.210327	0.288172
a37	4.19113e-05	7.29688e-05	0.000131417	0.000732507	0.00152422	0.00243597	0.00345842	0.00542466	0.010735	0.0267169	0.0388126	0.0592551	0.117398	0.19942	0.224014	0.309827
a70	6.22926e-05	8.80716e-05	0.000142898	0.000344916	0.000761823	0.00134889	0.00223721	0.00468704	0.0103156	0.0310044	0.050174	0.0649632	0.128753	0.204868	0.2201	0.280149
a13	6.21778e-05	7.4195e-05	0.00010228	0.000360064	0.000853291	0.00186468	0.00346897	0.00648674	0.0130023	0.0332817	0.0507792	0.0630137	0.121968	0.200238	0.222203	0.282241
a70	3.739e-05	4.68484e-05	6.82715e-05	0.000274791	0.000600307	0.00121523	0.00236022	0.00454833	0.00961309	0.0281118	0.047076	0.0543028	0.112045	0.193077	0.229286	0.317337
a83	5.20905e-05	5.49372e-05	6.48848e-05	0.000331292	0.000830671	0.00187634	0.00322725	0.0056595	0.0122107	0.0326126	0.0546846	0.0667379	0.12348	0.199803	0.220678	0.277696
a71	3.05103e-05	3.59889e-05	4.62596e-05	0.000211038	0.000496431	0.0011056	0.00221868	0.00453588	0.00974697	0.0278655	0.0477242	0.0547967	0.110312	0.189883	0.230491	0.320499
a9	0.000135441	0.00013405	0.00013672	0.000327217	0.000572318	0.00101525	0.00230169	0.00434882	0.00844769	0.0235718	0.0453386	0.0480019	0.0970812	0.168634	0.223281	0.376672
a99	0.0010994	0.000851296	0.000733061	0.00140591	0.00231371	0.00428463	0.00713294	0.00928184	0.0163229	0.0412788	0.0745296	0.0729638	0.105516	0.160491	0.187402	0.314393
a3	0.00122379	0.000844242	0.000640094	0.00183992	0.00364358	0.00633005	0.00841164	0.0102323	0.0163379	0.0412731	0.0758696	0.0751746	0.109142	0.163975	0.185254	0.299809
a97	0.0136773	0.00807355	0.00463124	0.0105115	0.0157434	0.025703	0.0271831	0.0238095	0.0311179	0.0549208	0.0720916	0.0753354	0.0934814	0.134681	0.170336	0.238703
a87	0.0295573	0.017337	0.00748063	0.0186405	0.0253344	0.039716	0.0413024	0.0354444	0.0440138	0.0663128	0.0722477	0.0803614	0.0858145	0.113225	0.144846	0.178366
a97	0.0298145	0.02033	0.00829981	0.0282622	0.0491555	0.0932647	0.10634	0.0714355	0.0621241	0.0754173	0.0652115	0.0674677	0.0592204	0.0736981	0.0892438	0.100715
a87	0.014701	0.0109421	0.00340765	0.0312049	0.0609806	0.100052	0.115453	0.0861972	0.0694367	0.0856291	0.0698922	0.0674669	0.0558624	0.06453	0.0786581	0.0855857
a23	0.015899	0.0133944	0.00423699	0.0313306	0.0580862	0.104866	0.115323	0.0788976	0.0585135	0.070652	0.0541805	0.0486354	0.0469852	0.0668382	0.101356	0.130805
a87	0.0147738	0.0139087	0.00294784	0.0331993	0.0448718	0.0737952	0.0954065	0.0657876	0.042726	0.0520904	0.0439674	0.0552707	0.05889	0.0872669	0.133855	0.181243
a97	0.00814927	0.00939485	0.00227603	0.0283506	0.0421822	0.0713777	0.089354	0.0664168	0.0458	0.0548685	0.0445114	0.0532396	0.060985	0.0925787	0.141713	0.188802
</S>	0.00803789	0.00870102	0.0023045	0.0320747	0.0564451	0.0894372	0.0905688	0.0595785	0.0410318	0.0496336	0.0417343	0.0498557	0.0563663	0.0857561	0.138032	0.190442
