 	la	manière	dont	sa	mère	l'	avait	d'	habillé	a	plu	aux	gens	</S>
a62	0.00893974	0.00783611	0.013765	0.0349163	0.0731535	0.0992001	0.131835	0.135499	0.0981661	0.111305	0.137754	0.080109	0.0371261	0.0303944
a21	0.00813525	0.00749876	0.0118537	0.0261732	0.0491971	0.0833225	0.120915	0.14362	0.119033	0.130109	0.145672	0.0877355	0.0385176	0.0282177
a5	0.00465505	0.00331175	0.00496834	0.0117647	0.022441	0.0477361	0.0767362	0.10729	0.0902971	0.124867	0.135931	0.137693	0.120382	0.111927
a43	0.00364876	0.00292275	0.00527759	0.0146766	0.0263102	0.0514676	0.074488	0.101976	0.0779803	0.100231	0.106281	0.120259	0.155184	0.159297
a31	0.00428175	0.00388921	0.00750879	0.0237943	0.0458577	0.0745215	0.10152	0.115349	0.073764	0.0870145	0.105199	0.109621	0.117858	0.129821
a43	0.00591874	0.0047368	0.00616528	0.0138454	0.0247687	0.0471242	0.0724132	0.0931903	0.0653075	0.0810909	0.100859	0.136769	0.163204	0.184607
a96	0.00739461	0.00797257	0.0138433	0.0318231	0.0585695	0.0699192	0.0896386	0.0915862	0.0472641	0.0539708	0.0808579	0.119944	0.153515	0.173701
a93	0.00546613	0.00533009	0.00817787	0.020311	0.039684	0.0507494	0.0646944	0.0647222	0.0353267	0.0395779	0.05356	0.110092	0.212865	0.289443
a79	0.0021565	0.00195372	0.00289147	0.00830899	0.0188957	0.0295754	0.0430052	0.0459864	0.0240175	0.0288591	0.0382037	0.0985697	0.251511	0.406065
a7	0.00127312	0.00120635	0.00200079	0.00680786	0.0167132	0.0287389	0.0435146	0.0447634	0.0240626	0.0278713	0.034458	0.0930372	0.252157	0.423396
a84	0.00611639	0.00523632	0.00792409	0.0186343	0.0350172	0.0452218	0.0577386	0.055504	0.0313623	0.0284118	0.0322979	0.0807036	0.222986	0.372845
a57	0.0132445	0.0111678	0.0166695	0.0310023	0.0453569	0.0516101	0.0660083	0.0702942	0.0500969	0.0429693	0.0516545	0.106582	0.201462	0.241882
a87	0.0171012	0.0109263	0.0134131	0.0228027	0.032423	0.0376316	0.0505009	0.0541219	0.0360634	0.0360341	0.04828	0.137156	0.247442	0.256104
a23	0.0327897	0.0159053	0.0141289	0.0196806	0.0250988	0.0311133	0.0440761	0.0505506	0.0391081	0.0428739	0.0723634	0.172422	0.219332	0.220558
a18	0.0157779	0.00847482	0.00816371	0.00986724	0.0146214	0.023241	0.0412809	0.0483869	0.0335995	0.0448196	0.0870111	0.182524	0.226572	0.25566
a38	0.0020741	0.00133222	0.00151755	0.0036417	0.00608006	0.0131841	0.0282998	0.0362768	0.0337415	0.059048	0.123103	0.169347	0.234825	0.28753
a21	0.00040107	0.000253939	0.000297288	0.00129147	0.00305303	0.00744205	0.0175964	0.0245969	0.0196782	0.0353705	0.0803833	0.197978	0.281264	0.330394
a12	0.000313768	0.000213693	0.000279796	0.000699814	0.00124542	0.00287423	0.0062579	0.0104949	0.0112471	0.0258085	0.0742819	0.250372	0.325526	0.290385
a37	0.000282217	0.000192117	0.000229386	0.000491605	0.000908468	0.00219624	0.00517449	0.00938378	0.0101098	0.0223864	0.0655771	0.221839	0.330141	0.331089
a5	0.00034451	0.000224853	0.000307265	0.000816034	0.0016416	0.00341932	0.00682353	0.0104872	0.00920417	0.0138856	0.036172	0.139286	0.314453	0.462935
a43	0.000158981	0.000105126	0.000148019	0.000407117	0.000819715	0.00160203	0.00310413	0.00453352	0.00297146	0.00519455	0.0165581	0.0998394	0.317897	0.546661
a0	0.00045434	0.000293308	0.000418256	0.00125543	0.0024608	0.00416382	0.00674714	0.00840463	0.00577324	0.00796137	0.0173533	0.0828448	0.275415	0.586454
a24	0.00226606	0.00150048	0.00241898	0.0091087	0.0178759	0.0204644	0.0252829	0.0237359	0.0124077	0.0112724	0.0180935	0.0659581	0.239518	0.550097
a88	0.000644481	0.000462796	0.000674467	0.00232722	0.00416148	0.00626634	0.0100153	0.0117773	0.0068856	0.00736574	0.0121587	0.058229	0.242379	0.636652
a71	0.000666576	0.000529711	0.000782276	0.00234713	0.00431278	0.00573596	0.00872569	0.00993252	0.00551845	0.00662344	0.00972489	0.0522597	0.231778	0.661062
a9	0.00352815	0.00241808	0.0033823	0.0101494	0.0198837	0.0234437	0.0302487	0.0301858	0.0162635	0.0158749	0.0218596	0.0722145	0.240503	0.510044
a87	0.0215551	0.0134606	0.0142752	0.0238341	0.0370776	0.0406213	0.0473747	0.0490189	0.0378469	0.0339798	0.043771	0.0954605	0.215005	0.326719
a23	0.0377864	0.0181135	0.0201138	0.0307882	0.0381769	0.0445788	0.0604683	0.0672056	0.0602594	0.0594922	0.0707639	0.0906666	0.171186	0.230401
a87	0.0086801	0.00398238	0.00253697	0.00373647	0.0050956	0.0108284	0.0250383	0.0439803	0.0605657	0.0614215	0.0761113	0.139397	0.231381	0.327245
</S>	0.00684109	0.00313642	0.00209124	0.00384485	0.00633276	0.0141934	0.0325557	0.0475846	0.0507497	0.0539123	0.0575689	0.124553	0.22346	0.373176
