 	c'	est	l'	amant	de	sa	fille	qu'	il	a	battu	hier	</S>
a23	0.0249764	0.0234876	0.0211244	0.0107255	0.0138223	0.0121035	0.0132244	0.0161078	0.0252762	0.0489112	0.107418	0.242267	0.440555
a87	0.0472557	0.0487915	0.0429682	0.0313498	0.0245871	0.0180475	0.0194938	0.029267	0.0465777	0.0875419	0.13356	0.192871	0.277688
a23	0.0193342	0.0177166	0.0173782	0.0158071	0.0367225	0.0268872	0.0163872	0.017147	0.0275045	0.0533513	0.117429	0.237755	0.396581
a87	0.0452076	0.0450981	0.0465975	0.0434645	0.0425478	0.0308236	0.0233591	0.0298125	0.0448194	0.0732771	0.119554	0.179326	0.276113
a23	0.0197246	0.0162467	0.0157169	0.0172748	0.0378307	0.0310867	0.0212918	0.0226518	0.0343759	0.0570293	0.116358	0.238814	0.371598
a87	0.0546898	0.0501647	0.0517334	0.0427685	0.046908	0.0362619	0.0275251	0.0335242	0.0494909	0.068662	0.113427	0.173126	0.251718
a23	0.0231855	0.0217016	0.0246482	0.0262612	0.0573799	0.0500824	0.0315189	0.032709	0.0439767	0.0602735	0.112573	0.209894	0.305796
a87	0.0565227	0.0573565	0.0616488	0.0448201	0.0446747	0.03944	0.0355251	0.0442222	0.0618989	0.077383	0.116267	0.159485	0.200755
a23	0.0217638	0.0208518	0.0232735	0.0239361	0.039683	0.03828	0.0314099	0.0360011	0.0538265	0.0758747	0.129049	0.21971	0.286341
a87	0.0527271	0.0478205	0.0477538	0.0367779	0.0496381	0.0444831	0.0348331	0.041133	0.0585993	0.0784047	0.122972	0.175131	0.209727
a23	0.0253303	0.0253069	0.0269784	0.0264281	0.0446555	0.0409294	0.0323995	0.0377365	0.0588995	0.0845187	0.147032	0.210473	0.239312
a87	0.0738489	0.067794	0.0678998	0.0479498	0.0482919	0.0385767	0.0304157	0.0361505	0.058195	0.0775561	0.119513	0.156096	0.177713
</S>	0.0163135	0.0180562	0.0206815	0.0263555	0.0503483	0.0464941	0.0360729	0.0395401	0.0597341	0.0843776	0.150636	0.210272	0.241118
