 	l'	embonpoint	qu'	a	la	chèvre	de	monsieur	oko	cache	sa	grossesse	</S>
a7	0.0201391	0.0236302	0.0526815	0.121503	0.1929	0.185387	0.113438	0.0716616	0.0632533	0.0447201	0.0378252	0.0280562	0.0448051
a26	0.0254276	0.0213066	0.0382723	0.0853149	0.163518	0.194612	0.13813	0.0996243	0.0792973	0.0456342	0.0331427	0.0284989	0.0472217
a53	0.0249436	0.0305722	0.0327535	0.060625	0.111295	0.148912	0.180957	0.13875	0.0940479	0.0544737	0.0405512	0.0334779	0.0486412
a94	0.0207909	0.0218709	0.0314986	0.0574868	0.0956339	0.128774	0.150259	0.128967	0.124217	0.0902278	0.0638249	0.0353415	0.051108
a11	0.0142984	0.0143411	0.0168133	0.0353842	0.0719104	0.10608	0.157005	0.146388	0.164318	0.108326	0.0689091	0.0410743	0.0551524
a56	0.0168143	0.0168663	0.0141726	0.0245491	0.0527816	0.0758926	0.143551	0.14145	0.169962	0.112336	0.0780212	0.0620211	0.091581
a44	0.00935246	0.00791702	0.00882398	0.0201616	0.0466034	0.0658785	0.128983	0.139662	0.189607	0.140153	0.0903329	0.0661189	0.0864062
a4	0.00530435	0.00466813	0.00501041	0.012088	0.0300712	0.0417519	0.0954756	0.104858	0.191491	0.186348	0.132129	0.0826482	0.108155
a57	0.00555622	0.00507201	0.00484821	0.010952	0.0244359	0.0329268	0.085873	0.101346	0.198583	0.203653	0.149525	0.0788103	0.0984177
a4	0.00423118	0.00401839	0.00374832	0.00804918	0.018997	0.0229968	0.0555174	0.0619149	0.15909	0.201199	0.1954	0.0931484	0.17169
a57	0.00485212	0.0046364	0.00406432	0.0078535	0.0164344	0.0202394	0.0521017	0.0619989	0.161906	0.226386	0.210144	0.0852493	0.144133
a83	0.00630131	0.00580724	0.00457194	0.0072715	0.014953	0.0170141	0.0456243	0.0548239	0.148187	0.186125	0.207091	0.0895714	0.212658
a50	0.00577386	0.00550685	0.00436964	0.00649174	0.01261	0.0150874	0.041246	0.0538255	0.155217	0.240847	0.21977	0.069979	0.169276
a83	0.00799585	0.00723232	0.00599398	0.0103637	0.0182072	0.019907	0.0390341	0.0440665	0.116382	0.184012	0.198117	0.0980104	0.250677
a71	0.0025707	0.00208686	0.00182052	0.00334025	0.0074795	0.00961236	0.0282133	0.0340635	0.101099	0.174375	0.224389	0.0934722	0.317477
a9	0.0114096	0.00933698	0.00776542	0.0102364	0.0150764	0.0153639	0.0280734	0.0337827	0.0912822	0.143174	0.155982	0.0851884	0.393329
a38	0.0715793	0.0457093	0.0254003	0.0246476	0.0283471	0.0277124	0.0380371	0.0419059	0.0833146	0.14651	0.140343	0.090609	0.235885
a18	0.0343751	0.0151922	0.0101212	0.0114015	0.0160259	0.0151057	0.0238582	0.0262134	0.0622874	0.141143	0.181239	0.157046	0.30599
a38	0.0289971	0.0117284	0.00830868	0.00996171	0.0137977	0.0117024	0.0198238	0.0215805	0.0558971	0.140735	0.202109	0.143008	0.332351
a24	0.0144253	0.00671361	0.00543632	0.00685577	0.00960265	0.00910489	0.0179821	0.0206516	0.0646175	0.167673	0.206427	0.138821	0.331688
a88	0.0147918	0.00727696	0.0058784	0.0070337	0.00976402	0.00903945	0.0176515	0.0204301	0.0611559	0.158634	0.203799	0.137195	0.34735
a9	0.0093651	0.00429076	0.00370584	0.0050039	0.00775391	0.00791549	0.0161606	0.0187857	0.0585799	0.149455	0.195926	0.131915	0.391144
a87	0.0221241	0.00689535	0.00636853	0.00850104	0.0135751	0.012565	0.0192717	0.0192169	0.0413177	0.0874474	0.132862	0.137027	0.492828
a23	0.0537913	0.0140478	0.00938855	0.0102889	0.0150863	0.0163494	0.0225146	0.0232073	0.0457213	0.0743033	0.12418	0.137664	0.453457
a87	0.0642059	0.0188792	0.0135151	0.0129496	0.0157327	0.0202825	0.0317497	0.0356312	0.0740883	0.101189	0.132653	0.135022	0.344101
</S>	0.027776	0.011887	0.0124419	0.0137707	0.0193916	0.0283377	0.0396779	0.0344925	0.0558571	0.0650037	0.104799	0.149254	0.43731
