 	la	manière	dont	il	s'	est	plaint	s'	il	ne	mange	pas	dans	les	heures	qui	suivent	il	va	mourir	</S>
a2	0.0113618	0.0108611	0.0129519	0.0182365	0.0311145	0.0468441	0.0842769	0.104912	0.137664	0.106557	0.0793021	0.0681264	0.0497369	0.0292946	0.0284568	0.0155209	0.0187314	0.014645	0.0221943	0.0453835	0.0638272
a57	0.0264019	0.0244487	0.0287386	0.0351156	0.052218	0.0657859	0.0897024	0.100914	0.120642	0.0954745	0.0598792	0.0506855	0.0367679	0.0259359	0.0407222	0.0213769	0.0139424	0.0143022	0.0192348	0.0378097	0.0399015
a87	0.0299219	0.0234996	0.0233427	0.0228136	0.0330809	0.0422231	0.0604905	0.0700852	0.0879112	0.0737459	0.0555072	0.0513805	0.0538965	0.0482871	0.0642168	0.0429403	0.0275097	0.0325203	0.0340401	0.0628277	0.0597595
a79	0.0678211	0.0346608	0.0310639	0.0206575	0.0265069	0.0373366	0.0462721	0.0588699	0.0571879	0.038974	0.0274772	0.0238698	0.0215552	0.0279822	0.0450653	0.0364756	0.0302304	0.0421255	0.0474848	0.132582	0.145802
a53	0.0429066	0.0263764	0.026508	0.015337	0.021062	0.0277989	0.0387336	0.0497022	0.0563094	0.0481133	0.0345101	0.0261386	0.0263897	0.0264791	0.0239282	0.0146405	0.0241084	0.0543259	0.0712102	0.165269	0.180153
a15	0.0140229	0.00862113	0.00962276	0.0102176	0.0166512	0.0269812	0.0408239	0.0471535	0.0475051	0.0295754	0.0194248	0.0153048	0.0175542	0.02387	0.0398396	0.0359296	0.0512952	0.0623842	0.0679809	0.180189	0.235054
a47	0.00255964	0.00196416	0.00229957	0.00356394	0.00900828	0.0187894	0.0355582	0.0399463	0.0453052	0.034499	0.0246621	0.0183122	0.018517	0.0242665	0.0470952	0.0435986	0.0589696	0.0755756	0.0686546	0.191662	0.235193
a98	0.00434456	0.00320771	0.00375975	0.00521052	0.0106247	0.0189559	0.0356752	0.0437482	0.0553539	0.0417077	0.0301453	0.0235661	0.0228103	0.0271156	0.0470562	0.0372042	0.0592972	0.0679931	0.0645282	0.17845	0.219245
a92	0.00340384	0.0026315	0.00291159	0.00448997	0.0090269	0.0175251	0.0358574	0.0462249	0.0581572	0.0418752	0.0308333	0.0232123	0.0253231	0.0324023	0.056352	0.0502045	0.0642753	0.0667497	0.0607775	0.167208	0.200559
a79	0.00154254	0.00110468	0.00121685	0.00211215	0.00510192	0.0127925	0.0293583	0.0394069	0.0486679	0.0361088	0.0285068	0.0212653	0.0255563	0.0363721	0.0644261	0.0626456	0.0660112	0.0696269	0.0659488	0.168722	0.213506
a56	0.00128718	0.000914901	0.00105226	0.00213629	0.00524798	0.0131238	0.0311291	0.0445214	0.0628455	0.0516243	0.043675	0.0407682	0.0407658	0.0455792	0.0664036	0.0630979	0.0699917	0.0727342	0.0655542	0.123782	0.153766
a75	0.000894643	0.000566557	0.000605935	0.00124581	0.0032724	0.00890866	0.0207552	0.0341517	0.0536785	0.0528924	0.0542627	0.0651654	0.0584336	0.0515463	0.0542562	0.0496658	0.063845	0.0758862	0.0839097	0.133736	0.132322
a47	0.000414444	0.000302121	0.000333155	0.00057084	0.0013669	0.00376852	0.0116892	0.0220569	0.0397594	0.0372398	0.0363475	0.0401766	0.0403496	0.0349734	0.034779	0.0337812	0.0511295	0.0554327	0.083665	0.213897	0.257968
a36	0.000302534	0.000261435	0.000293088	0.000488021	0.00114574	0.00298918	0.00946592	0.0187327	0.0388645	0.0361251	0.0317037	0.0298386	0.0236864	0.0206525	0.0220879	0.0214958	0.0439566	0.0751206	0.126188	0.237703	0.258899
a47	0.00119268	0.00082369	0.000725311	0.00115117	0.00207118	0.0037308	0.00735724	0.0114835	0.0204395	0.0188601	0.0156878	0.015985	0.014791	0.0150486	0.0161913	0.0118147	0.0163953	0.0578225	0.153807	0.291033	0.323589
a36	0.000553291	0.000465805	0.000452173	0.000556981	0.000999494	0.00199888	0.00456402	0.00780142	0.0161541	0.0171593	0.0172256	0.0166317	0.0129919	0.0119264	0.0120656	0.0119171	0.0205896	0.0685587	0.163999	0.317243	0.296145
a2	0.00263	0.00150333	0.00115646	0.00164762	0.00251914	0.00351263	0.00527333	0.00691555	0.0109425	0.0101489	0.00974814	0.0106682	0.0112373	0.0136894	0.0144012	0.0110373	0.0118347	0.0569119	0.178718	0.324572	0.310932
a57	0.0316477	0.0247336	0.0180748	0.019217	0.0190024	0.0199756	0.022565	0.0266176	0.0353511	0.0317148	0.0268118	0.0287531	0.0283443	0.0381255	0.043925	0.0324538	0.0315274	0.0452066	0.0806613	0.193993	0.201298
a38	0.0265228	0.0186302	0.0145839	0.0140494	0.0141216	0.0168743	0.0192178	0.0274844	0.0386992	0.0385878	0.0339688	0.0399577	0.039392	0.0474946	0.0565518	0.0432243	0.0720058	0.0841108	0.086155	0.130165	0.138202
a98	0.0124654	0.00638227	0.00421525	0.00390003	0.00449438	0.00661065	0.00790095	0.0140854	0.0224862	0.0230396	0.0220632	0.028853	0.0262806	0.0256384	0.0233133	0.0172438	0.0365787	0.0792077	0.148694	0.237342	0.249205
a47	0.000456784	0.00032835	0.000329423	0.000482985	0.000757191	0.00134393	0.00194585	0.00304876	0.00533067	0.00552669	0.00503806	0.00611342	0.00543166	0.00560893	0.0073868	0.00662252	0.00961786	0.0290289	0.108939	0.337182	0.459481
a15	0.000268737	0.000222833	0.000251217	0.000342367	0.000595636	0.00119349	0.00225615	0.00363347	0.00640422	0.00678815	0.00644993	0.00634534	0.00602564	0.00597767	0.00680762	0.00677638	0.00979625	0.0453631	0.16213	0.35523	0.367142
a79	0.000436975	0.000256701	0.00022169	0.000312129	0.000512547	0.000873125	0.00145191	0.00241754	0.00480532	0.00510143	0.00543343	0.00599585	0.00556938	0.00620145	0.00646388	0.00595185	0.00998566	0.0571162	0.17713	0.342425	0.361338
a15	0.00061076	0.000387151	0.000344055	0.00063136	0.00100243	0.0015616	0.00225765	0.00358571	0.00690692	0.00715979	0.00754633	0.00884768	0.0068144	0.00699865	0.00761136	0.00704648	0.0114606	0.0597255	0.179617	0.337954	0.341931
a7	0.000462374	0.000299047	0.000292856	0.000513241	0.000886647	0.00147647	0.00222975	0.00373642	0.00803714	0.00889781	0.00972153	0.0104052	0.00681583	0.00634536	0.00624049	0.00562963	0.0106866	0.0548103	0.17583	0.352701	0.333983
a2	0.00114065	0.000820266	0.000772402	0.00139535	0.00198116	0.00249435	0.0028704	0.00368681	0.00648074	0.0064124	0.00624724	0.00698121	0.00442829	0.00425578	0.00487955	0.00373655	0.00775923	0.043839	0.167793	0.336263	0.385762
a10	0.00804056	0.00612606	0.00611626	0.00755037	0.00868037	0.0102553	0.00925998	0.0125088	0.0159017	0.0148478	0.0133118	0.0153499	0.0109109	0.0152768	0.0188926	0.0158171	0.0246766	0.0885832	0.181905	0.268119	0.24787
a87	0.0541271	0.0242387	0.0160152	0.0175074	0.0186848	0.0198588	0.0164185	0.022359	0.0266797	0.0260937	0.0268642	0.0350339	0.0322273	0.0402384	0.044274	0.0577651	0.0820627	0.0981328	0.108584	0.122463	0.110372
a23	0.0613085	0.0266691	0.0187847	0.0262186	0.0266517	0.0288893	0.0235943	0.0348006	0.0422736	0.0370808	0.0340758	0.0398123	0.0337744	0.0500082	0.0644769	0.0725228	0.111281	0.0753169	0.0639142	0.0661368	0.0624097
a87	0.0219537	0.0100648	0.00477175	0.00632272	0.00471713	0.00444994	0.00370893	0.00684124	0.0120025	0.0127843	0.0131317	0.0119904	0.0119098	0.0193239	0.0255737	0.0285689	0.0397807	0.0705339	0.149162	0.258722	0.283686
</S>	0.0033746	0.00183645	0.00110199	0.00144333	0.00164646	0.0027086	0.00316785	0.00486825	0.00670442	0.00687708	0.00602148	0.00438456	0.00405778	0.00722629	0.0150705	0.0200163	0.0224855	0.0500336	0.126908	0.2888	0.421267
