 	cette	femme	a	une	bonne	audition	car	elle	a	entendu	tout	ce	qu'	on	a	dit	</S>
a75	0.00302407	0.00221753	0.00323925	0.00549486	0.00779014	0.0108642	0.0206069	0.0159167	0.0198176	0.0304267	0.0307275	0.0408568	0.0516251	0.084539	0.133305	0.217785	0.321764
a79	0.00185952	0.00255992	0.00414628	0.00566386	0.00663406	0.0166898	0.0491494	0.0516181	0.060708	0.0626255	0.056595	0.0557878	0.0528802	0.0588611	0.0804817	0.165735	0.268005
a69	0.00218504	0.00297952	0.00522535	0.00693274	0.00885006	0.0259492	0.0751026	0.0706842	0.0801172	0.068502	0.0582106	0.0540764	0.0486637	0.0501231	0.0683647	0.140209	0.233825
a4	0.00240578	0.00385153	0.00676995	0.0128411	0.0157926	0.0271066	0.0588908	0.0553373	0.062791	0.0571372	0.0616413	0.0589357	0.0563947	0.0631346	0.0830047	0.143711	0.230255
a93	0.00292836	0.00464725	0.00784233	0.016599	0.0226608	0.0422984	0.0805076	0.0836609	0.0851972	0.0784748	0.0816105	0.0716379	0.0635862	0.0567476	0.0626826	0.0966172	0.142301
a70	0.00273186	0.0041808	0.00640299	0.0131338	0.0207941	0.0409429	0.0780278	0.09299	0.0940655	0.0839976	0.0827052	0.0734544	0.0599568	0.0543063	0.0648607	0.0929629	0.134486
a62	0.00186034	0.00296654	0.00465182	0.010095	0.0178536	0.0307785	0.070828	0.0926315	0.0902654	0.0763067	0.0773279	0.071229	0.054422	0.053073	0.0748714	0.114848	0.155991
a88	0.00127619	0.00178705	0.0029107	0.00622414	0.0112736	0.0264807	0.0707719	0.0998325	0.0952346	0.0741793	0.0735639	0.0656517	0.0520036	0.0542849	0.0795667	0.124412	0.160546
a71	0.00147959	0.00200132	0.00334649	0.00689101	0.0127181	0.0179187	0.0431196	0.0639091	0.0674682	0.0558089	0.0618082	0.0614533	0.0461116	0.0563326	0.103354	0.172347	0.223932
a9	0.00590346	0.00732092	0.0128955	0.0226213	0.0333043	0.0307079	0.0747619	0.0873584	0.0859302	0.0732842	0.0830774	0.0785381	0.0521479	0.0541206	0.0748244	0.0980305	0.125173
a53	0.0188996	0.0157361	0.0227422	0.0283227	0.0342216	0.0381585	0.0786701	0.0812125	0.0796528	0.0799898	0.0905661	0.0833763	0.0652942	0.0616255	0.0668996	0.0743204	0.0803122
a15	0.0093051	0.00654389	0.00770676	0.010904	0.014518	0.0172161	0.0326468	0.0415083	0.0473312	0.0513952	0.0718529	0.073154	0.0537547	0.0636682	0.102326	0.164846	0.231322
a92	0.000316815	0.000308541	0.000439242	0.000788057	0.00140486	0.00287393	0.00872792	0.0146491	0.019245	0.0195924	0.0290871	0.0298675	0.0232361	0.0381087	0.103215	0.251452	0.456687
a56	0.000282449	0.000302633	0.000398971	0.000650938	0.0010421	0.00347483	0.0146149	0.0244463	0.0283667	0.0284026	0.0479746	0.0444699	0.0418674	0.0589194	0.105378	0.21959	0.379818
a37	0.000300926	0.000398133	0.000579589	0.0011405	0.00175001	0.0033019	0.00963517	0.0157029	0.0184825	0.0173282	0.0292728	0.0276666	0.0212243	0.0347067	0.093603	0.244061	0.480846
a11	0.000521375	0.000635915	0.000942997	0.00183434	0.00320393	0.00466858	0.0111375	0.0169336	0.0191619	0.0182886	0.027448	0.0275006	0.0184717	0.0307969	0.093842	0.245739	0.478873
a56	0.00140133	0.0015143	0.00252153	0.00473791	0.00811679	0.009327	0.01886	0.0219619	0.022977	0.0225238	0.0298003	0.0319802	0.0217115	0.0405731	0.115529	0.241108	0.405356
a62	0.000197248	0.000243931	0.000323417	0.000619764	0.000918409	0.00165755	0.00535208	0.00871682	0.0102219	0.0108463	0.0183241	0.0180089	0.0134403	0.0252599	0.0813937	0.248932	0.555544
a21	0.000589415	0.000646059	0.00103639	0.00185878	0.00337623	0.00455631	0.013406	0.0212326	0.0206704	0.019189	0.0227593	0.0218498	0.016728	0.029585	0.0887725	0.24204	0.491704
a47	0.000212063	0.000326681	0.000417746	0.000750559	0.00115024	0.00170389	0.00567188	0.0110009	0.0133615	0.0144561	0.024091	0.0229112	0.017765	0.0313614	0.0930663	0.250274	0.511479
a88	0.000164031	0.00022056	0.000265649	0.000481768	0.000844846	0.00115929	0.00413845	0.0101098	0.0131894	0.0117447	0.0205327	0.018358	0.0137333	0.0238602	0.0729689	0.221328	0.586901
a0	0.000303221	0.000429703	0.000686015	0.00128166	0.00231164	0.00282519	0.00840877	0.0135507	0.0144252	0.0124581	0.0152697	0.0144033	0.010034	0.0202378	0.0742283	0.233568	0.575579
a88	0.00111427	0.00129893	0.00241144	0.00431405	0.00676455	0.00729679	0.0165038	0.0201435	0.0193806	0.0166907	0.0204007	0.0216722	0.0155657	0.0328586	0.100691	0.239264	0.47363
a50	0.00161179	0.00187793	0.00349128	0.00661674	0.0105211	0.0117865	0.0234447	0.0267878	0.0239033	0.0194567	0.0232589	0.0233495	0.0174901	0.0343787	0.0973516	0.225858	0.448815
a88	0.00521687	0.0061353	0.00959985	0.0165674	0.0223165	0.0286278	0.0484031	0.0538959	0.0472772	0.0337366	0.0372526	0.0323569	0.0247534	0.0421572	0.0930558	0.174667	0.32398
a0	0.00781395	0.00750322	0.011521	0.0183585	0.0255319	0.0310493	0.0473687	0.0554155	0.0464545	0.0312628	0.0347505	0.0302617	0.0240017	0.0407952	0.0917399	0.178403	0.317769
a10	0.0151763	0.0121257	0.0152386	0.0208088	0.0257292	0.0340264	0.0470254	0.0509183	0.0427054	0.0318188	0.0359619	0.0326688	0.0291844	0.0501583	0.101285	0.177449	0.27772
a87	0.0393691	0.0226446	0.0205745	0.020318	0.0205209	0.0304547	0.0432774	0.043618	0.0393299	0.0342871	0.0407368	0.0370125	0.037235	0.0622828	0.104044	0.164648	0.239646
a23	0.0727667	0.0405785	0.0283367	0.0206398	0.0143167	0.0165608	0.0483074	0.0432758	0.0477118	0.064498	0.0739854	0.0686288	0.068783	0.0773245	0.0874349	0.107433	0.119419
a87	0.0162115	0.00691396	0.0052356	0.00306301	0.00312714	0.00397842	0.0139724	0.0132828	0.0232228	0.0369694	0.0375476	0.0376895	0.0532697	0.0838408	0.135897	0.218639	0.30714
a23	0.0128123	0.00569933	0.00423049	0.00261088	0.00217198	0.00491104	0.0175439	0.0149402	0.0234267	0.0271892	0.0223872	0.0218734	0.0264041	0.0417775	0.0857365	0.218627	0.467658
a87	0.00912634	0.00450301	0.00349808	0.00211806	0.00217549	0.00502416	0.0245778	0.0257338	0.0475402	0.0572305	0.051071	0.0459322	0.0544792	0.0668103	0.102726	0.187982	0.309472
a23	0.00947081	0.00483916	0.00383391	0.0023493	0.00183515	0.00427568	0.0183019	0.0170185	0.027473	0.0297135	0.0241857	0.02277	0.0263398	0.0399791	0.0876686	0.22503	0.454916
a99	0.00669742	0.00334689	0.00258355	0.00152489	0.00152308	0.00359318	0.0204496	0.0250616	0.045884	0.0526535	0.0489107	0.0429022	0.0489483	0.0610996	0.101306	0.201048	0.332467
a87	0.00328536	0.00190396	0.00198045	0.0015966	0.00183124	0.00402577	0.0148711	0.0188326	0.0317734	0.0422081	0.0478079	0.0442708	0.0509313	0.0645722	0.108613	0.215374	0.346121
</S>	0.00724137	0.00336965	0.00286166	0.00194574	0.00164072	0.00356947	0.0132876	0.0153334	0.023178	0.0232319	0.0207008	0.0182837	0.0197586	0.0289872	0.0702878	0.222314	0.524009
