 	mon	fils	est	tenu	responsable	pour	tout	ce	qui	se	perd	dans	ce	village	</S>
a41	0.00199769	0.00280788	0.00543587	0.00792887	0.0111618	0.00690613	0.00883118	0.0117933	0.0106088	0.0107779	0.0124001	0.0285326	0.0711522	0.192335	0.61733
a26	0.00483156	0.00662271	0.0135112	0.0212849	0.0295413	0.0150827	0.0188367	0.0214304	0.0173349	0.0170939	0.0207578	0.0316679	0.0742499	0.179339	0.528415
a54	0.00114061	0.00139023	0.00197203	0.00274388	0.00366381	0.00248826	0.00315263	0.00437949	0.00393547	0.00428403	0.00519237	0.0185591	0.0719846	0.210002	0.665112
a41	0.00319123	0.00443258	0.00882921	0.0146687	0.0197802	0.0131247	0.0152858	0.0161801	0.0137636	0.0154682	0.0197374	0.034276	0.0826737	0.186981	0.551607
a56	0.00346416	0.00446055	0.00771363	0.0118137	0.0148074	0.00884717	0.0106931	0.0122909	0.0109715	0.0123498	0.0167972	0.032422	0.0932816	0.198884	0.561203
a96	0.00210291	0.00280629	0.0039149	0.00509469	0.00616655	0.00365205	0.00437222	0.0055445	0.00544405	0.00654444	0.00910041	0.0226396	0.0806043	0.205548	0.636465
a70	0.0010762	0.00145665	0.00208177	0.00289253	0.00357643	0.00213444	0.00265547	0.00354527	0.00356036	0.00444231	0.00614081	0.0171146	0.0788846	0.228353	0.642085
a11	0.000682044	0.000945694	0.00135513	0.00192341	0.0024421	0.00161879	0.00205966	0.00285134	0.00292878	0.00363487	0.00488887	0.0140875	0.067181	0.232975	0.660426
a90	0.000798698	0.00104844	0.00141012	0.00192171	0.00223504	0.00157472	0.00193005	0.00241069	0.00242317	0.00292271	0.00357459	0.0145088	0.0762007	0.250197	0.636844
a69	0.000898414	0.001235	0.00195706	0.00268651	0.00340327	0.00220692	0.00301559	0.00421103	0.00425756	0.00504325	0.0072562	0.0192518	0.0848904	0.248425	0.611262
a70	0.000479491	0.000737495	0.00138592	0.00222894	0.00285792	0.00191922	0.00246905	0.00326168	0.0032782	0.00417681	0.00546647	0.0152957	0.0650222	0.222001	0.66942
a44	0.000983482	0.0013541	0.00198609	0.00278815	0.00307067	0.00222456	0.00276876	0.00336196	0.00325837	0.0037905	0.00432468	0.0126161	0.0638262	0.242106	0.65154
a93	0.000903156	0.0012121	0.00185285	0.00262773	0.00308862	0.00237926	0.00295545	0.00353648	0.0034919	0.0039678	0.00498885	0.0159884	0.0747041	0.253081	0.625222
a44	0.00122311	0.00156761	0.00217661	0.00305657	0.00387006	0.00278134	0.003634	0.00493239	0.00531386	0.00695664	0.00924589	0.0204908	0.080396	0.24396	0.610395
a13	0.000776223	0.00108922	0.00156286	0.00214455	0.00260903	0.00186573	0.0024237	0.00309316	0.00314922	0.00398276	0.0051529	0.0150052	0.0706259	0.24032	0.6462
a27	0.00149931	0.00222336	0.00301145	0.00464166	0.00530362	0.0042504	0.0047517	0.00544316	0.00508229	0.00579028	0.00581856	0.0197885	0.0836155	0.248753	0.600027
a26	0.0119125	0.00929802	0.00858349	0.010989	0.0126568	0.0105738	0.0112476	0.0130647	0.0116524	0.0140357	0.0145494	0.0363522	0.102026	0.238412	0.494646
a57	0.0632552	0.0457837	0.0423471	0.0478763	0.0488112	0.0301312	0.0291253	0.0293722	0.0257058	0.0367253	0.0450184	0.0523197	0.0922062	0.158171	0.253151
a97	0.0617356	0.046435	0.0460174	0.0513519	0.0555043	0.0326362	0.0331565	0.0341571	0.0328226	0.0505503	0.068245	0.0661415	0.0982053	0.142485	0.180556
a87	0.059902	0.0437357	0.0453635	0.0589425	0.0768543	0.0464284	0.0509024	0.0591356	0.0585496	0.0840085	0.0948122	0.0561848	0.071056	0.091854	0.10227
a97	0.046889	0.0409252	0.0566677	0.0820741	0.105418	0.0606291	0.0639902	0.0718032	0.0673838	0.0847188	0.0769735	0.0433473	0.0517288	0.0678624	0.0795891
a10	0.054742	0.0524327	0.0817432	0.100915	0.108261	0.0595016	0.0623371	0.0695477	0.0651641	0.0738178	0.0639791	0.0356602	0.040999	0.0567358	0.0741635
a9	0.0608372	0.0635518	0.099662	0.109484	0.11861	0.0507043	0.0540132	0.0608158	0.0565088	0.0620136	0.0533919	0.0328106	0.0370745	0.0548943	0.085628
a10	0.0696531	0.0713965	0.107848	0.112143	0.115659	0.0493729	0.0521489	0.0593866	0.0543337	0.060894	0.0523871	0.0312285	0.0345236	0.0496088	0.0794167
a9	0.0749829	0.0664103	0.089965	0.102137	0.115329	0.0529764	0.0548929	0.0630324	0.0571389	0.063277	0.0524525	0.0326828	0.0365963	0.0538191	0.0843073
a10	0.0926647	0.0922577	0.120109	0.107914	0.109301	0.0445662	0.0464737	0.0530705	0.0481667	0.0497503	0.0418484	0.0282551	0.0325409	0.0483957	0.0846864
a87	0.0849289	0.092104	0.123922	0.109101	0.111277	0.0437439	0.0456315	0.0501033	0.0441331	0.0450695	0.0385434	0.0293922	0.0343582	0.0523776	0.0953147
a97	0.0801136	0.086566	0.114399	0.104548	0.10487	0.0464992	0.0469799	0.0504586	0.0436573	0.0469256	0.0405002	0.0312541	0.0391104	0.0615979	0.102521
a10	0.114386	0.126867	0.139279	0.103914	0.0934774	0.0393757	0.0395996	0.0434761	0.0382099	0.0390573	0.0323886	0.0250207	0.0315307	0.0498108	0.0836076
a97	0.131236	0.128262	0.137162	0.10568	0.0974059	0.0427359	0.0423963	0.0453023	0.0379839	0.0393216	0.033936	0.024916	0.0282255	0.039734	0.065702
a87	0.0970353	0.107972	0.139849	0.111408	0.1034	0.0441364	0.043778	0.047558	0.0397852	0.0402593	0.0331593	0.0250297	0.031406	0.0487499	0.0864727
</S>	0.0754947	0.0798256	0.109494	0.102354	0.104679	0.0497092	0.0481887	0.0536152	0.0463459	0.0473253	0.0390092	0.0310005	0.0409408	0.0651707	0.106847
