 	okomba	a	a	quitté	l'	école	pour	la	campagne	où	il	vit	misérablement	</S>
a92	0.0259588	0.0216112	0.0352183	0.0500044	0.0733604	0.0975943	0.102101	0.128758	0.111966	0.0982329	0.0788011	0.0562462	0.0576673	0.0624799
a37	0.0380985	0.0328649	0.0481521	0.0639751	0.0978315	0.128922	0.137335	0.138806	0.0759228	0.0636551	0.0524956	0.0404972	0.0420917	0.0393515
a85	0.026192	0.02193	0.0327627	0.0496913	0.0821584	0.132457	0.151327	0.180428	0.0961277	0.0706716	0.0536647	0.0387733	0.0327597	0.0310569
a21	0.0283065	0.0272498	0.0342694	0.045007	0.0739111	0.111335	0.133241	0.153906	0.0871562	0.0733635	0.0619773	0.0469197	0.0604869	0.06287
a5	0.0367647	0.0339998	0.0376896	0.0441929	0.0711278	0.118934	0.148481	0.203412	0.102143	0.0725857	0.049218	0.0293135	0.0297186	0.022419
a26	0.0435598	0.0393655	0.0425137	0.0442413	0.0687163	0.107328	0.136071	0.205002	0.102892	0.0730374	0.0487021	0.0293579	0.0320387	0.0271744
a84	0.0144049	0.0137985	0.0193594	0.0232658	0.0275235	0.0475667	0.0664269	0.174107	0.158935	0.140203	0.104782	0.0646262	0.0755822	0.0694184
a53	0.00544441	0.00553975	0.00851386	0.0140531	0.019096	0.0332955	0.0415945	0.0788345	0.134822	0.13969	0.124536	0.121452	0.161928	0.1112
a15	0.0203539	0.0155492	0.0175674	0.0212125	0.0326683	0.0463796	0.0558439	0.110266	0.121201	0.112602	0.0823412	0.0595671	0.13113	0.173317
a92	0.0356567	0.0305239	0.0267735	0.0248217	0.0322893	0.0380167	0.0501666	0.0865377	0.0837171	0.0777199	0.0635872	0.0593507	0.131069	0.259769
a75	0.0329695	0.0261942	0.025499	0.024816	0.0341154	0.0528839	0.0723507	0.142099	0.12516	0.110196	0.0754209	0.0532243	0.0930879	0.131983
a85	0.0340982	0.0273489	0.0263243	0.0253339	0.0333373	0.0456264	0.056242	0.102255	0.102736	0.0956297	0.0704674	0.0553736	0.121419	0.203808
a5	0.0356087	0.0310188	0.0285561	0.0243853	0.0294781	0.0399651	0.0575974	0.115561	0.105944	0.0956551	0.0738095	0.062379	0.0940179	0.206024
a66	0.0569763	0.0419332	0.0449261	0.038663	0.0394969	0.0473817	0.0592788	0.1346	0.149316	0.109139	0.07626	0.049575	0.067409	0.0850451
a62	0.019977	0.0150066	0.0176856	0.018698	0.0221533	0.0317134	0.0382118	0.10168	0.154678	0.13483	0.097077	0.0657758	0.108518	0.173995
a21	0.0254581	0.020029	0.0209902	0.0198125	0.0253923	0.0378917	0.046646	0.136693	0.159881	0.138232	0.0953539	0.0564542	0.0976983	0.119467
a85	0.0588039	0.0414003	0.0395606	0.0334267	0.040762	0.0442	0.0496496	0.114502	0.125233	0.102445	0.0798337	0.0601932	0.101928	0.108062
a37	0.0421224	0.0307182	0.0329522	0.0283345	0.0334855	0.0410343	0.0480272	0.1122	0.121541	0.0996581	0.0737441	0.060463	0.0998082	0.175911
a61	0.0196986	0.0140849	0.0156148	0.0147656	0.0181308	0.0246659	0.0282896	0.0811452	0.124488	0.119432	0.0931483	0.0640982	0.140002	0.242436
a62	0.0202667	0.0144832	0.0163795	0.0145968	0.0188088	0.0254605	0.029	0.0838317	0.117065	0.124724	0.104931	0.078403	0.15547	0.19658
a83	0.010161	0.0079308	0.0088988	0.00842313	0.0109964	0.0173388	0.020116	0.0564299	0.0764985	0.0872355	0.0821637	0.0745523	0.226185	0.313071
a38	0.00604832	0.0043627	0.00481129	0.00464859	0.00602459	0.00884301	0.00969546	0.0275108	0.0455816	0.0570871	0.0590664	0.0680318	0.270246	0.428043
a98	0.00261697	0.00186404	0.00193337	0.00199704	0.00263265	0.00369499	0.00369186	0.00896547	0.0187419	0.0256939	0.0300909	0.0491888	0.280599	0.568289
a6	0.00914501	0.00706868	0.00759748	0.00800512	0.00965304	0.0122908	0.0131827	0.0270713	0.0474018	0.0618735	0.0602096	0.0609441	0.175997	0.49956
a66	0.0103539	0.00765666	0.00822464	0.00823479	0.00989372	0.0125159	0.0132102	0.0285979	0.0500289	0.066821	0.0670974	0.0632607	0.177031	0.477073
a75	0.00260916	0.00170305	0.00178827	0.00177141	0.00220492	0.00290299	0.00280211	0.00721217	0.0140867	0.0198466	0.0230607	0.0345986	0.170907	0.714506
a47	0.00770381	0.00579623	0.00649356	0.00682681	0.00845633	0.0115693	0.0120809	0.0280483	0.0469211	0.0607345	0.0619396	0.0607893	0.184932	0.497708
a44	0.0083141	0.00642265	0.00735715	0.00702303	0.00783139	0.00927961	0.00951702	0.0209705	0.0316581	0.0405885	0.0433226	0.0468525	0.133839	0.627024
a54	0.002336	0.00167695	0.00190448	0.00193258	0.00245758	0.0035048	0.00333571	0.00851773	0.0152369	0.0213857	0.0251774	0.0321014	0.147926	0.732507
a92	0.00463057	0.00373701	0.00412197	0.00435291	0.00488604	0.00574875	0.00520516	0.00905219	0.0146264	0.0214752	0.0251129	0.031307	0.140394	0.72535
a66	0.0030214	0.00225067	0.00254674	0.00276882	0.00311943	0.0047193	0.00462546	0.00925801	0.0140638	0.0216855	0.0248635	0.0294115	0.143937	0.733729
a34	0.000982726	0.000760619	0.000861892	0.000871511	0.000862774	0.000962395	0.000845701	0.00151965	0.00290215	0.00425617	0.00593275	0.0135415	0.128056	0.837644
a56	0.00185658	0.0015191	0.00162587	0.00175672	0.00182056	0.00256819	0.00248153	0.00511479	0.00845319	0.0123206	0.0147831	0.0241476	0.157837	0.763715
a13	0.00229229	0.00197177	0.00200408	0.00209575	0.00203424	0.00269954	0.00255588	0.00471007	0.0074636	0.0110983	0.0131437	0.0201249	0.139974	0.787832
a9	0.000608	0.000441989	0.000484145	0.000555653	0.000481228	0.000583362	0.000606909	0.00117831	0.00275164	0.00340854	0.00458991	0.010245	0.109592	0.864473
a97	0.00338084	0.0017192	0.00157311	0.00167063	0.0012137	0.000925675	0.000791492	0.00125583	0.00538697	0.00625415	0.0103039	0.0380069	0.31393	0.613588
a13	0.0459855	0.0220001	0.0156464	0.016448	0.0117087	0.00916986	0.00857382	0.0125136	0.026808	0.0218956	0.041374	0.110592	0.295609	0.361675
a3	0.0339875	0.0184042	0.012387	0.0114673	0.00854239	0.00840569	0.00899132	0.0133309	0.0183616	0.0167939	0.0295683	0.0642327	0.14376	0.611767
a87	0.0387943	0.0208885	0.0156919	0.0169323	0.015039	0.0174116	0.0197966	0.0232616	0.029387	0.0248922	0.0415628	0.086361	0.168677	0.481305
a23	0.0392226	0.0231939	0.0178852	0.0216914	0.0202616	0.0204733	0.0208902	0.0200416	0.0235853	0.0212914	0.0392715	0.0889202	0.190491	0.45278
a87	0.0178683	0.0120687	0.00718343	0.00842348	0.00819384	0.0105331	0.0112658	0.0124282	0.0104526	0.0120103	0.0231254	0.0548835	0.127278	0.684286
</S>	0.0126424	0.00932465	0.00596168	0.00819129	0.00812289	0.00850301	0.00817097	0.00753949	0.00772998	0.00844098	0.0163933	0.0403116	0.115052	0.743616
