 	sa	joue	s'	est	contusionnée	suite	à	la	giffle	qu'	il	a	reçue	</S>
a47	0.00197679	0.00494532	0.00874295	0.0110846	0.0169351	0.0568716	0.0766671	0.104398	0.0544102	0.0578824	0.0637814	0.0844448	0.156759	0.301101
a7	0.00171273	0.0042169	0.00720173	0.00976193	0.0156399	0.0478227	0.0671858	0.0990787	0.048191	0.0483085	0.0580964	0.0940715	0.192655	0.306057
a98	0.00174296	0.00351865	0.00651543	0.00901406	0.0151959	0.0377029	0.0591224	0.0842967	0.0387094	0.0378328	0.0527324	0.11032	0.233583	0.309713
a85	0.00158393	0.00362431	0.00641585	0.00808847	0.0139151	0.0398853	0.0530415	0.0697593	0.0342231	0.0392193	0.049242	0.0859895	0.202417	0.392595
a5	0.00121732	0.00326023	0.00566657	0.00666355	0.0101574	0.0394406	0.054073	0.0718941	0.0323714	0.0386409	0.0521234	0.0948533	0.200126	0.389513
a24	0.00140182	0.00324681	0.00546657	0.0073086	0.0145459	0.0386403	0.0575847	0.077493	0.0400838	0.0491102	0.0640383	0.112051	0.206489	0.32254
a18	0.0014152	0.00317447	0.00442361	0.00627937	0.0131291	0.0314217	0.0479018	0.0745592	0.0381839	0.03963	0.0470481	0.085081	0.205955	0.401798
a75	0.00136913	0.00271735	0.00301062	0.00357926	0.00569907	0.0132957	0.023851	0.0374225	0.0170945	0.0193533	0.0363904	0.102749	0.261497	0.471972
a41	0.000697903	0.00178362	0.00302324	0.00359955	0.00495691	0.0155427	0.022084	0.0330111	0.0155071	0.0233505	0.0349247	0.0762532	0.212912	0.552353
a94	0.000723754	0.0019881	0.00300123	0.00352354	0.00401234	0.0151354	0.0218015	0.031196	0.0129092	0.0184011	0.0272028	0.0596781	0.18807	0.612357
a24	0.000467663	0.00113796	0.00151625	0.00190514	0.00281311	0.0117959	0.0184868	0.0258403	0.00831229	0.00833919	0.0148297	0.0540601	0.21114	0.639355
a12	0.000357486	0.000957228	0.00132355	0.00162116	0.00309131	0.00974472	0.0148457	0.0238865	0.00950074	0.0101076	0.015971	0.0466964	0.186758	0.675139
a93	0.000389081	0.0011021	0.00166826	0.00226304	0.00464075	0.0126578	0.019403	0.0301229	0.0135625	0.0154277	0.0216219	0.0533579	0.187121	0.636662
a90	0.000189014	0.000537088	0.000815584	0.00109951	0.0023779	0.00831292	0.0140094	0.0214389	0.00793526	0.00927451	0.0168541	0.0586363	0.217102	0.641418
a94	0.000225537	0.000603774	0.000887486	0.00127628	0.00242464	0.00886943	0.0152723	0.0226134	0.00780559	0.00892759	0.0175152	0.0618037	0.224255	0.627521
a38	0.000189897	0.000416003	0.00049459	0.000699199	0.0015866	0.00622989	0.0111672	0.0196293	0.00695091	0.00797171	0.0163635	0.0626896	0.222135	0.643477
a9	0.00156055	0.00236097	0.00171823	0.00193991	0.00351069	0.0126619	0.0235043	0.0370489	0.0142252	0.0165509	0.0316713	0.0909893	0.232187	0.530071
a10	0.0247469	0.0242631	0.0174765	0.0157631	0.0159997	0.0287484	0.0348518	0.0400198	0.0281283	0.0563477	0.0951939	0.157437	0.201646	0.259378
a82	0.0308101	0.0146502	0.0106626	0.011108	0.0233829	0.0234904	0.0196368	0.0296869	0.0326151	0.0660393	0.0946641	0.151522	0.207801	0.28393
a27	0.0277723	0.0137988	0.0135411	0.0167843	0.0438006	0.0408951	0.0377025	0.0570428	0.0487721	0.0638706	0.0710648	0.107226	0.183347	0.274381
</S>	0.0169078	0.0101609	0.0130691	0.0183954	0.0631354	0.0548721	0.0427682	0.05638	0.0547856	0.0535693	0.0564971	0.0864059	0.176125	0.296928
