 	il	y	a	des	punaises	dans	le	lit	je	ne	vais	pas	dormir	dedans	</S>
a23	0.0712286	0.0402406	0.0207138	0.0199683	0.0253686	0.0435329	0.0515733	0.048233	0.0838429	0.116401	0.122493	0.0997724	0.106301	0.0802469	0.0700842
a13	0.0383532	0.0272593	0.0126651	0.0134404	0.0177752	0.0286606	0.0388441	0.0479167	0.075983	0.0825046	0.0763102	0.0666105	0.100918	0.178809	0.19395
a98	0.00371099	0.00248995	0.00248794	0.0046207	0.0101242	0.0258926	0.0328948	0.0351435	0.0547586	0.0611152	0.0652236	0.076195	0.15503	0.248142	0.222171
a6	0.00402427	0.00332192	0.00444189	0.00810743	0.0153039	0.0453413	0.0437549	0.0328181	0.0403089	0.0442767	0.0566595	0.0674548	0.145753	0.230027	0.258407
a37	0.00223801	0.00263135	0.00486188	0.00775057	0.0162748	0.0489266	0.0464747	0.0380438	0.0470918	0.0460698	0.0523241	0.0646452	0.133704	0.195575	0.293388
a93	0.00165768	0.0014146	0.00227928	0.0030898	0.0049559	0.0192592	0.0272336	0.0261255	0.0435288	0.04787	0.0538278	0.0707144	0.139269	0.25286	0.305915
a96	0.00378802	0.00323259	0.00415987	0.00527358	0.00686292	0.0204151	0.0311133	0.0321097	0.0547064	0.0628584	0.0657717	0.0795331	0.131702	0.241404	0.257069
a90	0.0031805	0.00238397	0.00300351	0.00369194	0.00478072	0.0115227	0.0176868	0.0188911	0.0316394	0.0396365	0.0417298	0.0549539	0.111554	0.285854	0.369491
a94	0.00103308	0.00101392	0.00183288	0.00229423	0.00354433	0.0111798	0.0166205	0.0215359	0.0352861	0.0442048	0.0424772	0.0547141	0.103006	0.272841	0.388417
a15	0.000882242	0.000679631	0.00118118	0.00176122	0.00283203	0.00744565	0.0122252	0.0148046	0.0231484	0.0289974	0.0269509	0.0382415	0.0818315	0.308585	0.450433
a7	0.000183806	0.000153616	0.000220746	0.000448635	0.00153543	0.00605387	0.0102471	0.0123998	0.0179262	0.020593	0.0159889	0.0266303	0.0550472	0.311976	0.520596
a40	0.000307579	0.000247187	0.00030942	0.000655328	0.00230974	0.00914847	0.0136079	0.0139099	0.0180701	0.0177128	0.0130711	0.0232042	0.05412	0.312242	0.521084
a36	0.000180598	0.000183935	0.000332025	0.000637085	0.00212535	0.00792902	0.0119705	0.0143322	0.0190301	0.021672	0.0180748	0.0328993	0.0737352	0.327046	0.469852
a26	0.000181808	0.000175747	0.000280168	0.000756084	0.00309523	0.0103499	0.0149122	0.0134845	0.0180748	0.0188347	0.0149159	0.027255	0.0660098	0.319069	0.492605
a57	0.00302075	0.00205307	0.00231776	0.00562895	0.0201968	0.0599194	0.0653158	0.0506716	0.0633495	0.0595004	0.0495858	0.070288	0.0923996	0.227249	0.228503
a87	0.0082636	0.00492573	0.00499847	0.00868173	0.0209927	0.0471945	0.0492908	0.0413078	0.056105	0.0597237	0.0569729	0.0806089	0.106601	0.218083	0.236249
</S>	0.041842	0.02008	0.0163029	0.0197725	0.0228504	0.0356338	0.0429179	0.0519502	0.0706003	0.0829419	0.0826738	0.0921839	0.118246	0.15057	0.151434
