 	prends	soin	de	l'	enfant	je	vais	puiser	de	l'	eau	</S>
a98	0.000404892	0.000672941	0.00120206	0.00225245	0.00518931	0.00668424	0.0111891	0.0117566	0.0509162	0.134909	0.26371	0.511113
a92	0.000269005	0.00101411	0.0022074	0.00355288	0.0062457	0.00545802	0.00762581	0.0056571	0.0230351	0.0789177	0.231726	0.634291
a37	0.000502081	0.00155107	0.00361247	0.00676188	0.0133251	0.0124616	0.0180077	0.0155909	0.0488436	0.110416	0.221049	0.547878
a96	0.000580284	0.000893597	0.00160106	0.00272633	0.00557553	0.00726491	0.0123825	0.0114822	0.0434557	0.114814	0.255971	0.543253
a66	0.000866464	0.00128196	0.00220477	0.0038269	0.00732713	0.0097841	0.0165814	0.0167676	0.05902	0.138412	0.250507	0.49342
a62	0.00999006	0.0068833	0.00916704	0.0117142	0.0162886	0.0202591	0.0298648	0.0326715	0.0697297	0.129941	0.229806	0.433685
a12	0.00284381	0.00334248	0.00497288	0.00743156	0.0119844	0.0156836	0.0252151	0.0269293	0.0662199	0.131349	0.23824	0.465787
a18	0.00170834	0.00224265	0.00324294	0.00499155	0.00789488	0.009958	0.0160087	0.016158	0.0478821	0.110339	0.236215	0.543359
a27	0.0176522	0.011111	0.0138422	0.0166187	0.0208894	0.023412	0.0311341	0.0300851	0.0588374	0.116401	0.222545	0.437472
a82	0.0654569	0.0344737	0.037744	0.0396055	0.0414806	0.0428442	0.0507856	0.0551488	0.0847737	0.117829	0.164836	0.265022
a3	0.0936605	0.0446731	0.0428735	0.0418417	0.042138	0.0418871	0.0459686	0.0592423	0.0917579	0.124247	0.155299	0.216411
a99	0.0819843	0.0445518	0.0394419	0.0396405	0.0419844	0.0435255	0.0474934	0.0633714	0.0955918	0.129208	0.15987	0.213336
a38	0.0443552	0.0301169	0.0331476	0.0367687	0.0458035	0.0440626	0.0480131	0.0610818	0.0920354	0.124379	0.170552	0.269685
a30	0.0105216	0.00785436	0.0125813	0.0163188	0.02279	0.0234799	0.0305173	0.0337081	0.0688479	0.12976	0.223966	0.419654
</S>	0.0109722	0.0095135	0.0165934	0.0195677	0.0247655	0.0247396	0.031159	0.032225	0.0644276	0.121798	0.220166	0.424072
