 	la	lie	du	vin	de	palme	est	restée	dans	le	fond	de	la	calebasse	</S>
a21	0.0317389	0.0601989	0.0487242	0.0628845	0.0683053	0.0851946	0.0971455	0.0867893	0.0905884	0.0798214	0.0631839	0.0359691	0.0457389	0.0628885	0.0808285
a5	0.0255252	0.061415	0.0492972	0.0626171	0.0684674	0.0870139	0.10508	0.109987	0.10184	0.0851058	0.0602482	0.0319495	0.0397207	0.0509474	0.0607847
a21	0.018155	0.0469724	0.0326448	0.0415468	0.0499723	0.0751244	0.106209	0.130202	0.0992931	0.0789079	0.0494781	0.0340987	0.0553691	0.0804089	0.101617
a56	0.01483	0.0414472	0.0311137	0.0428661	0.0496965	0.0723388	0.105837	0.143755	0.0906996	0.0656421	0.0370234	0.0327558	0.0594705	0.0880014	0.124522
a94	0.0133036	0.0366098	0.0213588	0.0298981	0.0366237	0.0595841	0.086586	0.150839	0.105722	0.076522	0.0379567	0.0512178	0.0717388	0.0930623	0.128977
a56	0.0116941	0.0297345	0.0193657	0.026781	0.031943	0.045366	0.0635202	0.109266	0.0823516	0.0655026	0.0345626	0.0641424	0.0982547	0.128687	0.188828
a34	0.0100052	0.0242476	0.0144029	0.0197892	0.0224646	0.03431	0.0520441	0.10126	0.0656908	0.0501148	0.02718	0.0644027	0.121796	0.159327	0.232965
a43	0.00707557	0.0168781	0.00998308	0.0139302	0.0158886	0.0234892	0.0332528	0.0615728	0.0444221	0.0342019	0.0183007	0.0594798	0.152256	0.204596	0.304673
a0	0.00476696	0.0109157	0.0070053	0.0109803	0.0133192	0.0185446	0.0201304	0.0337415	0.0255025	0.0192169	0.0106602	0.0405713	0.150073	0.230649	0.403923
a47	0.00881112	0.0174196	0.0138189	0.0206082	0.0251688	0.0306763	0.0254009	0.0426934	0.0258433	0.0183398	0.0101291	0.0259272	0.0895023	0.182483	0.463178
a62	0.0130329	0.0256555	0.0207333	0.0290926	0.0325513	0.0410934	0.0302857	0.0532434	0.028653	0.0227979	0.0115943	0.026734	0.0863331	0.176079	0.40212
a75	0.0025189	0.00523814	0.00359656	0.00517187	0.00577902	0.00744279	0.00609003	0.0099928	0.00788338	0.00716694	0.00573932	0.0231419	0.0942379	0.219413	0.596588
a98	0.000396512	0.00111325	0.000602805	0.000951321	0.00120792	0.00210316	0.00252699	0.00583011	0.00430998	0.00374184	0.00239783	0.0162953	0.0877165	0.219488	0.651318
a92	0.000264994	0.000878203	0.000395891	0.00063114	0.000832802	0.00174735	0.00220669	0.00637861	0.00359507	0.00245203	0.00119055	0.010293	0.0600539	0.173852	0.735228
a0	0.000360787	0.000991571	0.000468543	0.00074164	0.000893592	0.00167531	0.00184109	0.00516246	0.00328672	0.00238358	0.00131794	0.0107563	0.0643676	0.174197	0.731556
a56	0.000503013	0.00100925	0.00050856	0.000736395	0.000717095	0.00115755	0.000925772	0.00249345	0.00122619	0.00108654	0.000929054	0.00621042	0.043003	0.166883	0.77261
a93	0.00082569	0.00157719	0.000911867	0.00148355	0.00165921	0.0029319	0.00238866	0.00520255	0.00252418	0.00238371	0.00208427	0.0116977	0.068043	0.214796	0.681491
a4	0.000597706	0.0011902	0.000739874	0.00119803	0.00142555	0.00255757	0.00223551	0.00469606	0.00227714	0.00216394	0.00206571	0.0130068	0.0777397	0.230057	0.658049
a57	0.00120032	0.00194637	0.00144724	0.00212854	0.00236514	0.0038165	0.00405666	0.00751447	0.00442483	0.00398604	0.00378911	0.0170521	0.0887873	0.243847	0.613639
a82	0.00816749	0.0121486	0.0102835	0.0127152	0.0130923	0.0151224	0.0136816	0.0242164	0.0151534	0.0144423	0.0124425	0.0327273	0.10024	0.211785	0.503782
a87	0.11016	0.126419	0.0858509	0.0647828	0.0489814	0.0451796	0.031023	0.0443286	0.0373992	0.0535894	0.0299733	0.0310556	0.0407445	0.070543	0.17997
a23	0.107971	0.13232	0.113384	0.0793179	0.0604217	0.050685	0.038633	0.0487676	0.0597466	0.084688	0.0543641	0.0337373	0.0364955	0.0406706	0.0587974
a99	0.0290003	0.0156264	0.00959139	0.00670077	0.00450686	0.00470035	0.00317549	0.00633962	0.00545187	0.0105247	0.0144406	0.0347889	0.134282	0.27987	0.441001
a97	0.0145916	0.00947229	0.00561172	0.00410069	0.0033403	0.00395096	0.00317948	0.0071532	0.00537309	0.00970965	0.0123358	0.0436845	0.137908	0.271987	0.467602
</S>	0.0143544	0.0141463	0.0089778	0.00709034	0.00667561	0.00871243	0.00716517	0.0153327	0.0121749	0.0221322	0.0231213	0.0519968	0.12628	0.248816	0.433025
