 	cette	robe	de	raphia	est	très	ample	c'	est	pourquoi	personne	ne	se	prononce	pour	la	por-	ter	</S>
a34	0.000431515	0.000320724	0.000397988	0.000668935	0.000372336	0.000715572	0.00109302	0.0014502	0.0052089	0.00534016	0.0103088	0.0167045	0.0210854	0.0131845	0.0130399	0.0185199	0.0714074	0.21427	0.605481
a66	0.00177369	0.00149102	0.00195123	0.00291557	0.00224485	0.00370105	0.00456009	0.00655697	0.0138089	0.0135388	0.021589	0.0324306	0.0422267	0.0290659	0.0366803	0.0398905	0.0913842	0.14453	0.509661
a24	0.000154504	0.000121784	0.000166444	0.000299007	0.000149874	0.00034432	0.00062438	0.000800616	0.0030604	0.00289042	0.00512644	0.00844739	0.0107739	0.00660351	0.00665644	0.00979099	0.0477329	0.163459	0.732798
a62	0.000192632	0.000160514	0.000210272	0.000361762	0.000197224	0.000402044	0.000665367	0.000833316	0.00290276	0.00256476	0.00483377	0.00885835	0.0120788	0.0072928	0.00768813	0.0118893	0.0543706	0.155236	0.729261
a75	0.000400234	0.000345857	0.000509686	0.000945392	0.000489361	0.0010619	0.00174452	0.00183187	0.00519902	0.00477648	0.00723006	0.011245	0.0137945	0.00816703	0.00803911	0.0127123	0.0627353	0.188119	0.670653
a25	0.000543214	0.000448925	0.000629972	0.00105793	0.000587165	0.00119991	0.00185181	0.00228596	0.00636619	0.00495281	0.00841763	0.0148461	0.0206006	0.0107087	0.0162404	0.0212232	0.0709946	0.194108	0.622937
a92	0.000121428	0.000112794	0.000158155	0.000302569	0.000137295	0.00032409	0.000577897	0.000650531	0.00212983	0.00162503	0.00266969	0.00483502	0.00671389	0.00274949	0.00377429	0.00562	0.0371184	0.172455	0.757925
a75	0.000143114	0.000128334	0.000173431	0.000326251	0.000147832	0.00031568	0.000548118	0.00061039	0.0020871	0.00174064	0.00331081	0.0068422	0.0110518	0.00553363	0.00847605	0.0123138	0.0522964	0.169451	0.724504
a85	0.000427665	0.000363585	0.000522925	0.00090786	0.000424476	0.00091125	0.00159635	0.00166033	0.00569398	0.00458702	0.00845952	0.0164903	0.0250476	0.0118344	0.01926	0.0225303	0.0711635	0.191809	0.61631
a5	0.000749768	0.000671578	0.000960217	0.00149706	0.000615644	0.00136617	0.00223852	0.00200202	0.00552551	0.00398554	0.00661438	0.0126275	0.0177795	0.00773955	0.0119105	0.0134737	0.0516438	0.164394	0.694205
a62	0.00149589	0.00112992	0.00137923	0.00179945	0.000930565	0.00163701	0.00240717	0.00257649	0.00627895	0.00514175	0.0090023	0.0168425	0.0237461	0.00860176	0.0129054	0.0143177	0.0586339	0.145831	0.685343
a83	0.00102276	0.000796819	0.00101407	0.00154934	0.000754858	0.00123404	0.00203516	0.00182291	0.00372807	0.00303496	0.00477777	0.00883617	0.0123987	0.00539056	0.00671018	0.00817789	0.0441964	0.132413	0.760107
a9	0.000449414	0.000346845	0.000431051	0.000627012	0.000321625	0.00056988	0.000944338	0.00102974	0.00219425	0.00168404	0.00289864	0.00544156	0.00733661	0.00342538	0.00422212	0.00632117	0.0387162	0.127198	0.795843
a38	0.00175743	0.00132031	0.00138892	0.00148966	0.000650551	0.000942642	0.00121147	0.00157317	0.00290863	0.00218687	0.00354676	0.00606603	0.00687121	0.0041478	0.00539751	0.0125405	0.0819107	0.252965	0.611125
a54	0.00211654	0.00136206	0.00162661	0.00202143	0.000817701	0.000995481	0.00134355	0.00148754	0.00219494	0.00209898	0.00276805	0.00428552	0.0049445	0.00336285	0.00444172	0.0119972	0.0842222	0.217207	0.650707
a36	0.000321717	0.000243362	0.00034409	0.000499112	0.000203873	0.000342042	0.000547398	0.000388368	0.000770738	0.000672473	0.00101956	0.00210265	0.00321208	0.00193064	0.00236983	0.00495451	0.0430634	0.168261	0.768753
a57	0.000566047	0.000487759	0.000572629	0.000600022	0.000233745	0.000383865	0.000496586	0.00056269	0.00120618	0.00122397	0.00171215	0.00261768	0.00308853	0.0018567	0.0020167	0.00491835	0.0406837	0.222829	0.713943
a87	0.00907212	0.00591282	0.00581657	0.00740843	0.00369201	0.00383222	0.00481195	0.00529311	0.00720469	0.0076966	0.0101074	0.015214	0.0155331	0.0124589	0.0142876	0.0332712	0.155879	0.293829	0.388679
a23	0.0327275	0.0280043	0.0308775	0.0486655	0.0246895	0.0282927	0.0271178	0.0332084	0.0398114	0.051216	0.0444463	0.0424916	0.0302881	0.0317643	0.0272484	0.0366026	0.114275	0.137773	0.1905
a87	0.023379	0.0148285	0.0136364	0.0205756	0.00930305	0.0124164	0.0163526	0.0201239	0.0276884	0.0356086	0.031794	0.0347077	0.0273991	0.0329685	0.029951	0.0405203	0.119447	0.161191	0.328109
</S>	0.00724009	0.00640038	0.00684735	0.0119427	0.00504016	0.00693341	0.0102492	0.0114727	0.0160378	0.0171545	0.0146249	0.0150944	0.0116943	0.0122264	0.0125309	0.0249889	0.13281	0.202743	0.473969
