 	ils	ont	marché	toute	la	nuit	et	son	arrivés	à	l'	aube	</S>
a47	0.0139871	0.0115336	0.0106556	0.0132815	0.0213572	0.0271315	0.0395108	0.0459034	0.0376329	0.057965	0.0903429	0.151993	0.478706
a43	0.0103571	0.00862544	0.0083344	0.0119917	0.0193104	0.0251364	0.0385248	0.0435819	0.0317104	0.0554905	0.0905	0.160934	0.495503
a75	0.00850252	0.00713545	0.00669727	0.00816705	0.0153408	0.0186626	0.0270882	0.0301625	0.0199403	0.0470672	0.0845614	0.174238	0.552436
a41	0.0208912	0.0167755	0.0164289	0.0206147	0.0336948	0.0393228	0.0524327	0.0523892	0.0314287	0.0574195	0.0931393	0.150308	0.415155
a26	0.0136877	0.0114472	0.0104904	0.0144283	0.0255645	0.0298273	0.0393711	0.0368802	0.0211673	0.0381939	0.071042	0.136222	0.551678
a11	0.0046131	0.00426526	0.00413648	0.00481513	0.00925244	0.0114728	0.0188154	0.01617	0.00707376	0.0182264	0.04351	0.129794	0.727856
a75	0.00498291	0.00377336	0.00319648	0.00323904	0.00600384	0.00715986	0.0114577	0.010853	0.00552134	0.0163093	0.036785	0.122107	0.768611
a41	0.0124474	0.0102046	0.0103703	0.0141958	0.0260757	0.0292176	0.0380093	0.0343845	0.0180151	0.0367277	0.0699181	0.1465	0.553934
a44	0.0118964	0.0102952	0.00880141	0.0105979	0.0187312	0.0217761	0.0303182	0.0275383	0.0142223	0.0319511	0.0660891	0.152663	0.59512
a94	0.00574341	0.00515308	0.00530891	0.00650297	0.0116605	0.0139727	0.0214078	0.0183083	0.00820921	0.0192485	0.0398442	0.115816	0.728824
a93	0.00635765	0.00522658	0.00497612	0.00574219	0.0106777	0.0128064	0.0190174	0.0170433	0.00818096	0.0196909	0.0397639	0.116179	0.734338
a43	0.00696057	0.00620316	0.00688112	0.0103956	0.0197211	0.0248317	0.0391698	0.0362235	0.0169773	0.0371893	0.0609304	0.125476	0.60904
a75	0.00632265	0.00564999	0.00532132	0.00540192	0.0106473	0.0116509	0.0167405	0.0147276	0.00701558	0.0187195	0.0389773	0.11431	0.744515
a76	0.0120879	0.00941228	0.0088233	0.0124385	0.0238994	0.0278644	0.0375643	0.0349836	0.0190654	0.0378417	0.0647947	0.135828	0.575396
a44	0.00970389	0.00909421	0.00970257	0.0140262	0.0265137	0.0292812	0.0381407	0.0314003	0.0144426	0.0283755	0.0506817	0.109053	0.629585
a82	0.00560125	0.0059455	0.00656519	0.00832475	0.014429	0.0155629	0.0220475	0.0180498	0.00706264	0.0164561	0.0298278	0.0827989	0.767329
a87	0.00525689	0.00504916	0.0055019	0.00511074	0.00886615	0.00737614	0.00885683	0.00758208	0.00471136	0.0102486	0.0205691	0.0708565	0.840014
</S>	0.0284066	0.0209372	0.0203623	0.0170866	0.0284802	0.0220199	0.0267933	0.0236505	0.0154008	0.0310311	0.0509132	0.11515	0.599768
