 	son	oncle	est	mort	il	y	a	deux	ans	</S>
a30	0.0917787	0.0546745	0.0400908	0.0426115	0.0594779	0.0640847	0.0889438	0.145532	0.176626	0.236181
a87	0.101345	0.0593564	0.0438409	0.0483139	0.0712292	0.0734218	0.0921927	0.135574	0.161107	0.213619
a57	0.143985	0.0815731	0.0567755	0.0581101	0.0783399	0.0738918	0.0775842	0.112585	0.133929	0.183227
a38	0.176848	0.118778	0.0866192	0.0803033	0.0893824	0.0859943	0.0806362	0.0918454	0.0885639	0.101029
a44	0.120055	0.0777204	0.0701556	0.0756471	0.0995419	0.105146	0.105254	0.120864	0.106752	0.118865
a57	0.0831946	0.0612696	0.0628099	0.0651116	0.0889354	0.0851463	0.0950532	0.13215	0.147808	0.178521
a87	0.0401764	0.0305898	0.0353318	0.0400248	0.0609342	0.0698543	0.0906862	0.146705	0.211193	0.274505
a23	0.108035	0.0603208	0.0532729	0.05606	0.0694001	0.0670724	0.0759855	0.114933	0.163824	0.231096
a87	0.0995468	0.0523034	0.0448783	0.0550577	0.0870585	0.0927849	0.104681	0.140293	0.154111	0.169286
a23	0.131319	0.0664195	0.0521099	0.0497782	0.0651497	0.0696551	0.080983	0.124136	0.159382	0.201068
a87	0.159718	0.0801369	0.0617842	0.0637503	0.0897407	0.0942418	0.0992384	0.117019	0.11288	0.12149
a23	0.166054	0.0837039	0.0571272	0.049482	0.0653051	0.0725291	0.0819295	0.122822	0.135915	0.165133
a87	0.238194	0.108309	0.0752751	0.0658503	0.0808758	0.0818559	0.0789361	0.0925069	0.082631	0.0955659
</S>	0.163908	0.0853072	0.0560352	0.0506625	0.0656247	0.0738559	0.0837847	0.124497	0.134326	0.161999
